Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,0,1,30.0,0,30.0,0.0,6,10.0,5,0.12,2.56621,62.339,127.95
8,0,1,30.0,0,30.0,0.0,6,1.0,5,0.12,2.56621,59.53648,120.961
8,0,1,28.0,0,28.0,0.0,4,0.0,6,0.06,0.36,62.06,92.191
8,0,1,28.0,0,28.0,0.0,4,10.0,6,0.06,0.36,58.69,89.9438
6,0,1,56.0,0,56.0,0.0,11,0.0,5,0.1,1.10285,56.03,64.17
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.72783,55.0,105.63
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.72783,55.0,98.2
6,0,1,56.0,0,56.0,0.0,11,10.0,5,0.1,0.72783,55.0,101.85
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,0.51157,53.59,86.0078
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.69609,61.283,101.859
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,103.327
3,0,1,30.0,4,30.0,40.0,4,0.0,5,0.06,6.57073,61.283,87.7691
8,0,1,50.0,0,50.0,0.0,5,0.0,5,0.1,3.78283,58.0,93.06
8,0,1,50.0,0,50.0,0.0,5,10.0,5,0.1,2.04041,61.16146,99.34
8,0,1,50.0,0,50.0,0.0,5,10.0,5,0.1,2.04041,61.16146,98.21
8,0,1,50.0,0,50.0,0.0,5,20.0,5,0.1,0.97605,61.72246,102.41
6,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,103.21
6,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,97.4
6,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,120.31
6,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,111.0
8,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,98.3399
8,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,108.142
8,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,62.91953,100.553
8,0,1,35.0,0,0.0,0.0,6,10.9,5,0.06,0.25,62.673,78.419
5,0,1,43.4613,0,23.19054,3.90898,9,4.45139,5,1.00714,0.74405,63.94368,120.707
5,0,1,50.0,0,50.3,6.525,9,2.0,5,0.1,3.31758,60.0,127.02
8,0,1,50.0,0,50.0,0.0,9,0.0,5,0.1,0.3,55.0,93.1417
