Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,43.9172
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,53.0759
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,5,1.00714,0.74405,63.94368,51.6414
8,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,81.0,24.9
8,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,75.8,31.4
1,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,77.3,31.6
1,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,77.0,40.8
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,35.0
1,0,0,84.0,0,0.0,0.0,0,22.28321,8,0.12,0.0,84.1,14.9
1,0,0,84.0,0,0.0,0.0,0,9.53373,8,0.12,0.0,80.7,32.3
1,0,0,84.0,0,0.0,0.0,0,15.84383,8,0.12,0.0,81.5,25.3
0,0,1,60.0,0,60.0,0.0,4,4.19709,8,0.045,0.22,60.0,44.0
0,0,1,60.0,0,60.0,0.0,4,4.19709,8,0.045,0.44,60.0,51.0
0,0,1,60.0,0,60.0,0.0,4,4.19709,8,0.045,0.66,60.0,54.0
0,0,1,60.0,0,60.0,0.0,4,3.66746,8,0.045,0.22,65.0,42.0
0,0,1,60.0,0,60.0,0.0,4,3.66746,8,0.045,0.44,65.0,56.0
0,0,1,60.0,0,60.0,0.0,4,3.66746,8,0.045,0.66,65.0,51.0
0,0,1,60.0,0,60.0,0.0,4,3.13636,8,0.045,0.22,70.0,47.0
0,0,1,60.0,0,60.0,0.0,4,3.13636,8,0.045,0.44,70.0,36.0
0,0,1,60.0,0,60.0,0.0,4,3.13636,8,0.045,0.66,70.0,50.0
1,0,1,28.0,0,28.0,0.0,0,0.0,8,0.01,0.28,69.0,23.5
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,63.0,20.6
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,66.0,21.8
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,16.8
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,67.0,19.2
1,0,1,28.0,0,28.0,0.0,0,25.0,8,0.01,0.28,65.0,8.9
1,0,1,28.0,0,28.0,0.0,0,14.28571,8,0.01,0.28,67.0,13.4
1,0,1,28.0,0,28.0,0.0,0,0.0,8,0.01,0.28,65.0,29.5
1,0,1,28.0,0,28.0,0.0,0,0.0,2,0.01,0.28,65.0,18.6
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,65.0,43.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,65.0,50.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,65.0,53.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,70.0,41.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,70.0,55.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,70.0,50.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,75.0,46.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,75.0,34.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,75.0,49.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,64.1,42.7
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,65.2,51.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,63.7,50.7
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,71.3,41.6
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,70.6,54.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,70.8,50.3
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,75.7,45.6
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,76.8,33.8
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,74.0,48.9
5,2,0,87.0,0,0.0,0.0,11,0.0,5,0.144,0.0,73.564,63.12
5,2,0,87.0,0,0.0,0.0,11,0.0,5,0.144,0.0,73.564,69.28
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.1559,0.39258,66.03,52.90177
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.2984,0.43721,65.69,55.63031
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.5697,0.39258,66.14,55.11272
