V3_Ventilation Duration (min),Additive_2,Turning times,Material_2,M1_is Enclosed,Additive_4,Initial GI (%),Material_3,V2_Ventilation Interval (min), Composting Method,Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Period (d),Initial pH,Initial Moisture Content (%),Additive_1,Material_Main,Initial C/N (%),V1_Ventilation Type,V4_Ventilation Day,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,Ca-superphosphate,4.0,Plastic tube pieces,1.0,None,27.32884658064516,None,0.0,Reactor,8.594431941865484,0.0551315789473684,1.4680777574728696,76.0,11.909798630223651,71.17500610142551,Calcium magnesium phosphate fertilizer,Food waste,27.0,Continuous,71.0,None,1.938857678018576,47.89248504418148,111.38758700000004,8.655928321381875,0.422848492860794,0.213348627884702,1000000.0
0.0,Calcium magnesium phosphate fertilizer,9.0,Husk,1.0,None,27.32884658064516,None,0.0,Windrow,2.179592923141309,0.0551315789473684,0.267376123713867,49.0,8.09548846049538,51.0,Sodium salt,Food waste,25.0,Continuous,46.0,None,1.938857678018576,60.50052574648929,115.71966400000004,7.681533065019401,0.5750455856323242,0.2105572532112012,1000000.0
0.0,Mg(OH)₂,26.0,Byproduct,1.0,None,27.32884658064516,None,0.0,Reactor,7.754340805522086,0.0551315789473684,0.7566766346019993,65.0,12.00823042257069,70.08172703448798,Sodium salt,Food waste,22.0,Continuous,51.0,None,1.938857678018576,29.161566853160696,116.52824400000004,7.1943950599955855,0.6599997282028198,0.1855559439506007,1000000.0
0.0,Microbiological agent,25.0,Husk,1.0,None,27.32884658064516,None,0.0,Reactor,4.961614516224776,0.0551315789473684,0.9448910927759928,118.0,8.232940343513988,55.0,MgCl₂,Food waste,28.0,Continuous,38.0,None,1.938857678018576,50.69945018635898,112.59933700000003,9.087338693378904,0.4047639667987823,0.2162657320953654,1000000.0
0.7884290919510307,Inorganic acid,8.0,Husk,1.0,None,27.32884658064516,None,0.0,Windrow,7.557644270784397,0.0551315789473684,0.237784874370486,98.0,5.0,71.01241502492715,LB Culture,Food waste,35.0,Continuous,58.0,None,1.938857678018576,11.93132435252648,114.35044400000004,7.514946420146277,0.2658228576183319,0.1734726554234354,1000000.0
0.0,DCD,13.0,Straw,1.0,None,27.328846580645163,Byproduct,0.0,Reactor,4.10667699925321,0.0551315789473684,1.4529307891796923,78.0,10.201393959905968,77.5616165702956,Sand,Food waste,12.0,Continuous,64.0,None,1.938857678018576,49.813139726824176,116.76398800000008,8.278084900844236,0.7143415212631226,0.2027433006298862,1000000.0
0.0,Gypsum,6.0,Husk,1.0,None,27.328846580645163,Green waste,0.0,Reactor,4.480323591878235,0.0551315789473684,0.1270631915862756,99.0,7.809893415809742,78.75842040274904,Mature compost,Food waste,25.0,Continuous,55.0,None,1.938857678018576,39.50495525507046,115.78266200000006,7.355075106265467,0.5890401601791382,0.2086964164691773,1000000.0
0.0,None,30.0,Soil,1.0,None,27.32884658064516,Byproduct,0.0,Windrow,6.446540058014144,0.0551315789473684,0.9569745658852156,80.0,8.0,63.00000000000001,MgSO₄,Food waste,21.0,Continuous,72.0,None,1.938857678018576,19.83917710956664,113.71553300000004,7.52180227583417,0.6186498403549194,0.2231232800643618,1000000.0
0.0,Gypsum,30.0,Soil,1.0,None,27.32884658064516,Green waste,0.0,Trough,7.544321613660163,0.0551315789473684,0.9782035552548722,115.0,11.91052415617292,77.47977824843755,Zeolite,Food waste,30.0,Continuous,45.0,None,1.938857678018576,61.30686113017293,115.50997000000002,6.707309894848718,0.6710142493247986,0.1944936271672978,1000000.0
0.0,Ca-superphosphate,6.0,Straw,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,7.707564185040593,0.0551315789473684,1.9017048860992,78.0,8.29277354964852,57.0,Forsterite,Food waste,25.0,Continuous,31.0,None,1.938857678018576,11.049919987871448,114.73848000000004,7.709340068857292,0.422848492860794,0.2324133376033882,1000000.0
0.0,Zeolite,27.0,Green waste,1.0,None,27.32884658064516,Byproduct,0.0,Windrow,7.133991243346835,0.0551315789473684,0.0875211845586285,112.0,5.0,54.0,Forsterite,Food waste,24.0,Continuous,69.0,None,1.938857678018576,67.53499171597385,113.63629500000005,7.053130484463254,0.6066598296165466,0.1669818532071605,1000000.0
0.0,Mg(OH)₂,29.0,Green Waste,1.0,None,27.32884658064516,Straw,0.0,Reactor,3.4912724518061538,0.0551315789473684,1.8375438401228,62.0,8.45044414475754,51.0,Labile carbon source,Food waste,33.0,Continuous,52.0,None,1.938857678018576,53.92764622613862,113.49657699999996,8.379258812060431,0.5955862998962402,0.2022639538598592,1000000.0
0.0,DCD,27.0,Husk,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.4854976985393655,0.0551315789473684,0.239562446532433,100.0,5.0,74.93587917991167,Sand,Food waste,22.0,Continuous,72.0,None,1.938857678018576,61.53626646734459,116.00661400000004,8.278084900844236,0.7415295243263245,0.1849548786222249,1000000.0
0.0,Inorganic acid,31.0,Woody peat,1.0,None,27.32884658064516,None,0.0,Trough,7.808690863179639,0.0551315789473684,1.0996756226174904,59.0,5.0,79.45115990950899,Sulfur,Food waste,19.0,Continuous,43.0,None,1.938857678018576,49.844730028194405,115.60282000000004,7.232942278661066,0.6805493831634521,0.2140241928377845,1000000.0
0.0,Calcium magnesium phosphate fertilizer,18.0,Plastic tube pieces,1.0,None,27.32884658064516,Byproduct,0.0,Trough,4.140432798367412,0.0551315789473684,0.7253075316841062,101.0,9.847561735190286,75.15409420212912,Gypsum,Food waste,26.0,Continuous,36.0,None,1.938857678018576,59.12471930570176,115.29063300000004,8.560089042329448,0.4246125519275665,0.2050092068975825,1000000.0
0.0,Calcium magnesium phosphate fertilizer,31.0,Plastic tube pieces,1.0,None,27.32884658064516,Byproduct,0.0,Trough,6.436879749904858,0.0551315789473684,0.7449757706898963,50.0,10.1009224648792,68.0,Microbiological agent,Food waste,28.0,Continuous,48.0,None,1.938857678018576,53.1753976469615,115.19234400000003,7.874696642416249,0.6854894757270813,0.207885938307724,1000000.0
0.0,Gypsum,12.0,None,1.0,None,27.32884658064516,Green waste,0.0,Reactor,7.2904708189084,0.0551315789473684,1.5838981644937689,79.0,7.0,75.4850855476578,Mg(OH)₂,Food waste,18.0,Continuous,31.0,None,1.938857678018576,48.08076726642072,115.11051400000004,6.707309894848718,0.4308637678623199,0.2311551712118153,1000000.0
0.0,Inorganic acid,21.0,None,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,6.433550113482524,0.0551315789473684,0.430115304790168,119.0,10.356547819549451,71.93376205955298,MgO,Food waste,26.806205623183512,Continuous,42.0,None,1.938857678018576,71.75435469993734,115.34413400000004,7.232942278661066,0.6868885159492493,0.2071033143309199,1000000.0
0.0,Mg(OH)₂,1.0,Husk,1.0,None,27.32884658064516,None,0.0,Reactor,7.999156281005765,0.0551315789473684,0.4925520799636731,100.0,8.40452160791903,78.02498865791678,Inorganic acid,Food waste,27.0,Continuous,37.0,None,1.938857678018576,30.84177573036864,114.66782300000004,8.164618014545344,0.445986658334732,0.1886361976972417,1000000.0
0.0,Organic acid,10.0,Green waste,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,5.332089983324889,0.0551315789473684,1.7569262601926423,35.0,8.744996185126517,70.86226814949212,Mg(OH)₂,Food waste,14.0,Continuous,31.0,None,1.938857678018576,9.751921421247808,113.80427000000005,8.784228313688892,0.4027280509471893,0.2121832282875427,1000000.0
0.0,Mg(OH)₂,1.0,Green waste,1.0,None,27.32884658064516,Green waste,0.0,Reactor,7.985933898529278,0.0551315789473684,1.6085744731850384,114.0,11.600960993634551,82.58148631743408,MgSO₄,Food waste,15.0,Continuous,34.0,None,1.938857678018576,54.77961178388349,116.64214200000006,7.8826138730601345,0.6758031249046326,0.1866656228989422,1000000.0
0.0,Biochar,11.0,Straw,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,5.140462690446387,0.0551315789473684,0.1989014562633753,95.0,6.0,66.0,Ferric salt,Food waste,29.0,Continuous,36.0,None,1.938857678018576,12.482258360834525,113.87781400000004,6.495651769113864,0.4237240850925445,0.1730308826292559,1000000.0
0.0,Mg(OH)₂,24.0,Straw,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.33803139766276,0.0551315789473684,1.4094870948324412,73.0,8.0,73.52427446641336,Zeolite,Food waste,33.0,Continuous,37.0,None,1.938857678018576,41.621774489014655,115.55616000000002,8.04162517849936,0.7478362917900085,0.2230443975133461,1000000.0
0.0,Mg(OH)₂,2.0,Green waste,1.0,None,27.32884658064516,Mature compost,0.0,Windrow,6.617467315959492,0.0551315789473684,1.9545103612362944,118.0,8.0,57.0,Microbiological agent,Food waste,14.0,Continuous,41.0,None,1.938857678018576,33.5381804187411,117.00394800000008,7.8826138730601345,0.6765661239624023,0.1693146809842989,1000000.0
0.0,Zeolite,6.0,Sawdust,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,7.142553572019304,0.0551315789473684,0.7012417422289507,112.0,5.1988559400328525,60.0,MgCl₂,Food waste,13.0,Continuous,71.0,None,1.938857678018576,65.02333858985821,113.56796000000004,7.77900589250712,0.5902382135391235,0.1722861834097585,1000000.0
0.0,Calcium magnesium phosphate fertilizer,8.0,Green Waste,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.765873960625662,0.0551315789473684,0.5163151665070231,126.0,10.942151495996267,50.0,Clay,Food waste,23.0,Continuous,37.0,None,1.938857678018576,44.08513691724513,113.62382700000003,9.274474352175448,0.4291259348392486,0.2208587401197745,1000000.0
0.0,Inorganic acid,18.0,Plastic tube pieces,1.0,None,27.32884658064516,Green waste,0.0,Reactor,8.544807599890834,0.0551315789473684,0.7753422722929646,88.0,6.0,52.0,K₂SO₄,Food waste,18.0,Continuous,67.0,None,1.938857678018576,58.959606705753565,114.71429300000004,7.514946420146277,0.4402725398540497,0.1655366482413868,1000000.0
0.0,Inorganic acid,30.0,None,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,5.596512325975341,0.0551315789473684,0.8543516869747692,75.0,9.25386279409872,72.05867547218622,Forsterite,Food waste,12.0,Continuous,33.0,None,1.938857678018576,31.027128347660916,116.99714800000004,6.751443823605959,0.4014304578304291,0.2042416997681273,1000000.0
0.0,Gypsum,22.0,Sawdust,1.0,None,27.32884658064516,Poultry manure,0.0,Reactor,8.466656643335956,0.0551315789473684,0.038238148425036,129.0,11.460049926737875,64.0,Phosphogypsum,Food waste,23.0,Continuous,57.0,None,1.938857678018576,47.60000521161616,116.17207000000002,6.707309894848718,0.6710142493247986,0.1676104488107555,1000000.0
0.0,Gypsum,15.0,Straw,1.0,None,27.32884658064516,Poultry manure,0.0,Reactor,9.566974224242406,0.0551315789473684,1.5246496797664686,100.0,6.0,59.0,Organic acid,Food waste,37.0,Continuous,56.0,None,1.938857678018576,57.499108780694776,114.38827000000003,6.707309894848718,0.6668567061424255,0.185840484062051,1000000.0
0.0,Inorganic acid,18.0,Sawdust,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,4.067330933832606,0.0551315789473684,1.9627966601487603,38.0,7.0,62.0,Lignite,Food waste,30.0,Continuous,30.0,None,1.938857678018576,39.2895816922733,113.07486000000004,7.636330537089057,0.5939921736717224,0.2395028694381748,1000000.0
0.0,Gypsum,14.0,Plastic tube pieces,1.0,None,27.32884658064516,Byproduct,0.0,Trough,9.203721553603405,0.0551315789473684,1.4797771227405745,93.0,10.08104338604311,75.07962724115474,Labile carbon source,Food waste,14.0,Continuous,64.0,None,1.938857678018576,12.600863853635396,116.78729800000006,6.989314036333929,0.3967309892177582,0.201419184864847,1000000.0
0.0,Inorganic acid,11.0,Byproduct,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.943629477717498,0.0551315789473684,1.8337309046148549,116.0,10.559609522725207,50.0,MgO,Food waste,12.0,Continuous,44.0,None,1.938857678018576,76.17430690045907,116.41734800000006,8.238202191892801,0.6408637762069702,0.176624381607018,1000000.0
0.5459054067764172,Calcium magnesium phosphate fertilizer,8.0,Soil,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,4.595579434493277,0.0551315789473684,1.279384176966819,101.0,11.33232081768406,82.06741234076515,MgSO₄,Food waste,24.535820746192865,Continuous,33.0,None,1.938857678018576,11.121700424995064,115.91594000000003,9.32379841572378,0.5235117673873901,0.2445948468798141,1000000.0
0.0,Calcium magnesium phosphate fertilizer,28.0,Straw,1.0,None,27.32884658064516,None,0.0,Reactor,7.660980798596808,0.0551315789473684,1.2593865541612492,84.0,8.06674231925357,71.14533816643888,Inorganic acid,Food waste,37.0,Continuous,73.0,None,1.938857678018576,47.971227152098734,113.24478900000004,8.156700783901458,0.4307375252246856,0.2178542324966949,1000000.0
0.0,Ca-superphosphate,29.0,Plastic tube pieces,1.0,None,27.32884658064516,Straw,0.0,Reactor,7.456166450956167,0.0551315789473684,1.2180560723215084,132.0,10.64638724313658,72.5257723594574,Clay,Food waste,19.0,Continuous,76.0,None,1.938857678018576,47.80223266232446,111.14979500000004,8.054695500668124,0.434847742319107,0.2161002377692972,1000000.0
0.0,Gypsum,25.0,Husk,1.0,None,27.328846580645163,Mature compost,0.0,Trough,7.457759393282059,0.0551315789473684,0.6586217278520361,71.0,6.0,80.1738000631733,Gypsum,Food waste,27.0,Continuous,49.0,None,1.938857678018576,74.07964817811343,114.95991300000004,6.989314036333929,0.4307375252246856,0.1828011809498044,1000000.0
0.0,Gypsum,25.0,Soil,1.0,None,27.32884658064516,Byproduct,0.0,Windrow,1.7309216391638391,0.0551315789473684,0.5073587446009573,89.0,10.094843410481223,57.0,MgHPO₄,Food waste,34.0,Continuous,74.0,None,1.938857678018576,37.28899822966591,114.97539000000002,6.51414631745187,0.3792062103748321,0.1876680869425604,1000000.0
0.0,Mg(OH)₂,6.0,Byproduct,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,5.458742556726085,0.0551315789473684,1.5041386539017931,76.0,10.246277644619417,59.0,Urea,Food waste,11.0,Continuous,72.0,None,1.938857678018576,39.38741091314642,116.75251900000006,8.887873786291873,0.6425721645355225,0.1864718036988655,1000000.0
0.0,Mg(OH)₂,21.0,Plastic tube pieces,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,4.491472038553213,0.0551315789473684,0.2100690169384112,100.0,11.019386404572142,55.0,Sodium salt,Food waste,22.0,Continuous,83.0,None,1.938857678018576,45.24838951620225,116.58908500000004,8.04162517849936,0.7478362917900085,0.1682250960643458,1000000.0
0.0,Ca-superphosphate,30.0,Straw,1.0,None,27.32884658064516,Mature compost,0.0,Windrow,4.734919030390064,0.0551315789473684,1.198128978055708,99.0,9.947994174205878,53.0,MgO,Food waste,14.0,Continuous,48.0,None,1.938857678018576,9.5090097083767,116.38507800000004,9.208887608778362,0.6556406617164612,0.1516896988361787,1000000.0
0.0,MgO,0.0,Sawdust,1.0,None,27.32884658064516,Green waste,0.0,Windrow,3.603811414580342,0.0551315789473684,1.699365261530447,70.0,11.21895546709072,50.0,Organic acid,Food waste,20.0,Continuous,40.0,None,1.938857678018576,67.32959689011957,114.17278200000004,8.425782693725331,0.7724000215530396,0.1675340135465147,1000000.0
0.0,Ca-superphosphate,6.0,Green Waste,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,7.06162628541378,0.0551315789473684,0.6326345356743479,59.0,9.46028253697986,56.0,Zeolite,Food waste,30.00232779223197,Continuous,55.0,None,1.938857678018576,56.31943295357439,115.05281400000004,8.190838523912397,0.6631252765655518,0.1941249868770686,1000000.0
0.0,Zeolite,14.0,Sawdust,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,7.599756848003772,0.0551315789473684,0.3326194971165785,66.0,6.0,76.11936272921054,Potassium phosphate,Food waste,11.0,Continuous,52.0,None,1.938857678018576,20.18565054397943,114.20504100000004,7.534628939518361,0.8264862895011902,0.1782017080939021,1000000.0
0.0,Inorganic acid,23.0,None,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,3.545910480881491,0.0551315789473684,1.928265673206245,80.0,8.031423378925751,67.0,Organic acid,Food waste,20.0,Continuous,57.0,None,1.938857678018576,36.99453404954246,115.84615400000004,7.636330537089057,0.751064658164978,0.2207474760416899,1000000.0
