 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Trough,5.0,28.0,Mg(OH)₂,0.06,0.0167037414947555,134.0,27.328846580645163,None,1.0,12.0,None,Green Waste,None,78.78398870179208,Food Waste,Intermittent ,2.0,Biochar,14.0,6.740263245562657,23.71781459410734,1.775,28.21029126276421,89.48662799999998,6.380099939160544,0.559183657169342,0.1451811957723258,1000000.0
Windrow,5.904673821129361,116.0,Forsterite,0.06,0.0,0.0,27.328846580645163,None,0.0,39.0,None,Sawdust,Straw,61.67824712932049,Food Waste,None,0.0,Ca-superphosphate,11.0,9.06774846021158,0.0,1.775,30.459702495450745,89.74292399999996,6.0563132340288615,0.7068976759910583,0.1459722008552427,1000000.0
Reactor,6.0,25.0,Forsterite,0.06,0.0,0.0,27.32884658064516,None,1.0,16.0,None,None,Straw,65.0,Food Waste,None,0.0,Mg(OH)₂,1.0,5.299860843324539,0.0,1.775,47.50485824762832,90.29024099999998,6.091020771332633,0.209239199757576,0.178112626269573,1000000.0
Windrow,5.0,33.0,None,0.06,0.0,0.0,27.328846580645163,None,0.0,14.0,None,Green waste,Green waste,54.03653624521006,Food Waste,None,0.0,None,2.0,2.238145202131494,0.0,1.775,28.13956402444385,88.62028900000003,5.403193188626875,1.0420184135437012,0.1291373876580919,1000000.0
Trough,6.0,125.0,Zeolite,0.06,0.0,0.0,27.32884658064516,None,1.0,35.0,None,Sawdust,Byproduct,50.0,Food Waste,None,0.0,MgSO₄,16.0,6.824808678506789,0.0,1.775,19.32569389325868,89.822082,3.644639067463058,0.2791295647621155,0.1835303115891089,1000000.0
Windrow,5.0,21.0,Gypsum,0.06,0.0,0.0,27.32884658064516,None,1.0,40.80434781631181,None,Plastic tube pieces,Byproduct,74.14506503296806,Food Waste,None,0.0,Zeolite,5.0,6.062526502693024,0.0,1.775,72.34250783534036,90.410476,6.712237533486703,0.1980376541614532,0.1941499777121214,1000000.0
Trough,6.999999999999998,121.0,Urea,0.06,0.0,0.0,27.32884658064516,None,1.0,13.868855376310613,None,Soil,Mature compost,57.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,31.0,5.022842692946552,0.0,1.775,57.20253952951386,88.98728,6.091020771332633,0.5715669393539429,0.131755226052853,1000000.0
Trough,5.0,75.0,Carbonatite,0.06,0.6069359129077687,686.0,27.32884658064516,None,0.0,39.0,None,Soil,Byproduct,50.0,Food Waste,Intermittent ,66.0,Calcium magnesium phosphate fertilizer,28.0,2.48327090971352,41.0842174074253,1.775,45.78346092938185,87.85933600000003,5.621885122552182,0.4949917495250702,0.1500363891169542,1000000.0
Trough,5.0,106.0,Sulfur,0.06,0.8946963970488644,0.0,27.32884658064516,None,0.0,31.0,None,Green Waste,Green waste,53.0,Food Waste,Continuous,4.0,Ca-superphosphate,31.0,9.983025673473977,0.0,1.775,24.39702319088238,88.14125,4.639520210564354,0.6232751607894897,0.1816189667248367,1000000.0
Reactor,7.0,121.0,Sodium phosphates,0.06,0.0,0.0,27.32884658064516,None,1.0,40.58872677765247,None,Green waste,None,56.01206711572882,Food Waste,None,0.0,DCD,19.0,7.327334768015712,0.0,1.775,73.91101669069491,88.04954400000001,6.091020771332633,0.3360001444816589,0.1797328788520965,1000000.0
