M1_is Enclosed,Additive_4,Compost volume (m3),V1_Ventilation Type,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Material_3,Additive_3,Initial pH, Composting Method,Additive_2,Initial C/N (%),Material_2,Additive_1,Initial GI (%),Period (d),Turning times,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,None,2.147162565177521,None,0.0,79.34571198133838,8.499185218699868,0.0,0.0,Cattle manure,Mature compost,None,11.752384282814203,Reactor,Biochar,35.0,Woody peat,Ca-superphosphate,27.32884658064516,69.0,25.0,0.0,1.596639959668374,15.905601823413608,105.71801100000005,9.445440630265244,0.3751074969768524,0.2358362643184383,1000000.0
1.0,None,2.147162565177521,Intermittent ,373.0,64.0,8.379937460139228,14.0,0.6901785046510311,Cattle manure,Straw,None,6.0,Trough,Organic acid,41.62648679992406,Straw,Forsterite,27.32884658064516,27.0,31.0,21.37782159149213,1.596639959668374,66.46251220536685,107.86969,7.689391250916974,0.3205441236495971,0.1876644283227979,26.11676849400916
1.0,None,2.147162565177521,Intermittent ,1060.0,56.0,8.897950135916467,41.0,0.1060817423227598,Cattle manure,Poultry manure,None,8.597702715183612,Reactor,MgO,29.0,Plastic tube pieces,Biochar,27.32884658064516,96.0,31.0,25.618120170471418,1.596639959668374,28.689579617707764,108.31633900000004,10.92848606064439,0.3369610905647278,0.143584216690965,1000000.0
1.0,None,2.147162565177521,Continuous,0.0,62.0,7.780279794207,35.0,0.6064379648376308,Cattle manure,None,None,8.0,Reactor,Microbiological agent,39.0,Straw,MgSO₄,27.32884658064516,102.0,30.0,0.0,1.596639959668374,42.873148369285225,104.22517700000004,11.211954772696194,0.4176546931266784,0.2548612440056157,1000000.0
1.0,None,2.147162565177521,None,0.0,77.85235718294538,2.757186018485282,0.0,0.0,Cattle manure,Byproduct,None,8.517558383783786,Reactor,Potassium phosphate,38.0,Sawdust,MgSO₄,27.32884658064516,92.0,31.0,0.0,1.596639959668374,44.18524200446488,104.41156200000005,10.779389138615992,0.3754989802837372,0.2474857054080732,1000000.0
1.0,None,2.147162565177521,None,0.0,64.0,8.404983610300539,0.0,0.0,Cattle manure,Mature compost,None,10.8090143107955,Trough,DCD,21.0,Plastic tube pieces,Ca-superphosphate,27.32884658064516,23.0,31.0,0.0,1.596639959668374,32.621312358067456,103.80482500000004,7.792050638939739,0.2505995333194732,0.2189438315968898,1000000.0
1.0,None,2.147162565177521,Intermittent ,27.0,53.0,2.098476464732697,41.0,0.8435913694348063,Cattle manure,Poultry manure,None,7.0,Reactor,DCD,39.0,Sawdust,Sodium phosphates,27.32884658064516,53.0,31.0,44.59003854829769,1.596639959668374,26.896950407999213,106.160816,7.477127470919319,0.2646431922912597,0.2180116429825605,1000000.0
1.0,None,2.147162565177521,None,0.0,67.0,2.540904751289021,0.0,0.0,Cattle manure,Poultry manure,None,8.88658033793652,Reactor,Organic acid,37.0,Woody peat,Carbonatite,27.32884658064516,84.0,31.0,0.0,1.596639959668374,18.117549467684647,107.03441,10.779389138615992,0.3635051846504211,0.2108378054449934,1000000.0
1.0,None,2.147162565177521,None,0.0,67.0,9.96785559195816,0.0,0.0,Cattle manure,Byproduct,None,7.0,Reactor,Calcium magnesium phosphate fertilizer,14.0,Woody peat,Ferric salt,27.32884658064516,47.0,30.0,0.0,1.596639959668374,47.0405314832082,106.70532100000004,8.38987602264436,0.2684173882007599,0.1874542341442814,1000000.0
1.0,None,2.147162565177521,Intermittent ,894.0,76.04883834645295,3.034539329855368,60.0,1.398412795269067,Cattle manure,Mature compost,None,9.332548136688514,Reactor,Gypsum,29.0,Woody peat,MgSO₄,27.32884658064516,88.0,26.0,40.58467633327198,1.596639959668374,9.088316966913732,104.01207900000004,9.84929268606471,0.2621654868125915,0.1754932958424311,1000000.0
