Material_2,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,Period (d),V1_Ventilation Type,Material_3,Application Rate (%DW),Additive_1,Initial GI (%),M1_is Enclosed,Material_Main,Compost volume (m3), Composting Method,V4_Ventilation Day,Additive_4,Turning times,V3_Ventilation Duration (min),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.5829885079947528,MgO,24.843189285952327,946.0,None,93.0,Intermittent ,Mature compost,6.217362185494216,Lime,27.328846580645163,0.0,Poultry manure,0.6292491869918699,Trough,29.0,None,0.0,37.40868665721432,70.0,9.531249875115556,2.4967368849582217,26.62715179720893,112.198899,6.53272286825003,0.6770153641700745,0.1445844054473685,1000000.0
None,1.9472539552298695,None,12.0,220.0,None,94.0,Intermittent ,Mature compost,4.60009654510268,Lime,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,83.0,None,7.0,56.16835618656228,61.0,5.0,2.4967368849582217,56.94386813258715,111.11882900000002,11.699812882089216,0.8251699209213257,0.1466565876828935,1000000.0
Byproduct,1.16717804559896,Gypsum,18.0,1396.0,None,125.0,Intermittent ,Mature compost,2.629899788899655,Carbonatite,29.75043946063777,0.0,Poultry manure,0.6292491869918699,Trough,79.0,None,1.0,0.5120788930722853,81.22178148505263,10.815348616146036,2.4967368849582217,89.12799064087682,114.27209700000004,7.911875267078407,0.687896728515625,0.1449682956755995,1000000.0
Green waste,0.2827116653129251,MgSO₄,31.0,1073.0,None,114.0,Intermittent ,Byproduct,3.9809484192216367,Gypsum,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,36.0,None,11.0,6.302462016896862,55.0,5.0,2.4967368849582217,84.47089656428645,114.90116000000006,8.76230742108279,0.8451642990112305,0.1535611190956849,1000000.0
Sawdust,0.3408254206184875,Biochar,41.59793220598432,1192.0,None,103.0,Intermittent ,Straw,7.109527430539131,Microbiological agent,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,44.0,None,4.0,1.1198171150142078,51.0,7.0,2.4967368849582217,103.85909167667256,113.13218400000008,9.270834378106352,0.9648852348327636,0.1444296181124552,18.358572386277224
Straw,0.4039140567936066,None,26.0,555.0,None,133.0,Intermittent ,Straw,7.535522383025984,Forsterite,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,27.0,None,15.0,0.3299479245773495,72.10223674826979,5.0,2.4967368849582217,44.66566543347062,111.86550400000006,8.783803447532907,0.9536141157150269,0.1628691341526556,1000000.0
Plastic tube pieces,0.7474312400182777,MgO,23.0,629.0,None,81.0,Intermittent ,Byproduct,9.730748828392317,Calcium magnesium phosphate fertilizer,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,13.0,None,4.0,44.68174124724224,71.91521985384914,5.736961728525179,2.4967368849582217,56.59635451064254,111.022058,9.236328971751991,0.3927236795425415,0.1508747379369293,1000000.0
Green Waste,1.217398323398737,Inorganic acid,14.999999999999998,672.0,None,119.0,Intermittent ,Poultry manure,5.53906848201691,Urea,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,80.0,None,5.0,36.45077293758028,60.0,6.0,2.4967368849582217,51.0449788439002,111.601602,8.802989582512176,0.7638311982154846,0.1433070213179187,1000000.0
Byproduct,1.655691282794532,Calcium magnesium phosphate fertilizer,42.31758645866426,380.0,None,24.0,Intermittent ,Mature compost,9.902877529734532,Lignite,27.328846580645163,0.0,Poultry manure,0.6292491869918699,Trough,7.0,None,11.0,5.622396098330336,75.6493606598865,8.0,2.4967368849582217,105.65587899375562,111.86225500000006,8.853767251814178,0.3646349310874939,0.181142091230181,23.48270147971517
Byproduct,0.7400240688971089,None,40.0,1383.0,None,79.0,Intermittent ,Straw,3.259908668110537,None,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,70.0,None,15.0,2.689221901914234,78.1568476621544,6.0,2.4967368849582217,31.41237841373482,113.02762400000007,8.823312990203428,0.5918298959732056,0.1489126498973699,1000000.0
Soil,1.8638791391754557,Potassium phosphate,14.0,160.0,None,56.0,Intermittent ,Mature compost,3.222049453424982,Sulfur,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,52.0,None,3.0,3.206572836440169,83.30515208293234,6.0,2.4967368849582217,88.38970017305081,113.26225300000006,8.426997006559706,0.7352257966995239,0.0992511095977024,1000000.0
Soil,0.2338817067714793,Zeolite,10.0,623.0,None,94.0,Intermittent ,Mature compost,6.490606060561408,Calcium magnesium phosphate fertilizer,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,75.0,None,23.0,6.7736901472014015,83.2234579396371,8.0,2.4967368849582217,75.28378374379663,112.95188100000004,8.783803447532907,0.6102354526519775,0.1559832375928865,1000000.0
Plastic tube pieces,1.659683478574414,MgSO₄,38.0,169.0,None,78.0,Intermittent ,Poultry manure,3.441635282354975,Urea,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,29.0,None,21.0,4.305711368385882,71.34476887127907,7.731979837714484,2.4967368849582217,83.91235266022315,112.85183500000008,8.76230742108279,0.9167888760566713,0.1589201115354505,1000000.0
Byproduct,0.3801824788005661,Biochar,30.0,1118.0,None,23.0,Intermittent ,Straw,5.684493859278673,Clay,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,20.0,None,6.0,2.114681565408325,84.02310100105348,6.0,2.4967368849582217,54.64557498937286,112.72014600000008,8.832494733527628,0.2972496449947357,0.1734616952020679,1000000.0
Green Waste,0.3018301041946274,None,11.0,567.0,None,121.0,Intermittent ,Byproduct,9.305820645330666,None,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,78.0,None,4.0,0.4854941753892228,67.0,10.70734766713364,2.4967368849582217,74.09237696757805,114.78116400000005,8.558612629523415,0.945617139339447,0.1636494075916333,1000000.0
Plastic tube pieces,1.8665868326348216,None,18.0,48.0,None,89.0,Intermittent ,Green waste,9.547386985008568,None,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,69.0,None,0.0,1.2359847320826267,57.000000000000014,7.0,2.4967368849582217,27.369720503519297,114.65524500000004,6.53272286825003,1.1428377628326416,0.1326329364128492,1000000.0
Husk,0.2222651426504145,None,14.0,1363.0,None,55.0,Intermittent ,Green waste,4.189057138475784,Sand,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Reactor,23.0,None,12.0,2.331755585032924,62.0,11.754529715026358,2.4967368849582217,17.39119513674725,114.36543400000004,8.76230742108279,0.4547498822212219,0.1053675786973623,1000000.0
Green Waste,1.2393153389115168,Organic acid,25.0,115.0,None,41.0,Intermittent ,None,4.249816730700603,Mg(OH)₂,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,16.0,None,6.0,48.30489895767059,66.0,8.0,2.4967368849582217,41.08598657328763,111.55570200000004,9.044311562568002,0.7156356573104858,0.2013511134443171,1000000.0
Byproduct,1.3095163062377293,MgO,22.0,1273.0,None,93.0,Intermittent ,Green waste,4.574508863263906,Sodium phosphates,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,38.0,None,21.0,52.89914653953001,54.0,11.757735367975611,2.4967368849582217,88.28010365702347,110.737691,9.966726137808276,0.6078653335571289,0.1591724224190607,1000000.0
Straw,0.9392821900125088,Gypsum,11.0,334.0,None,103.0,Intermittent ,Green waste,7.510306361735567,Sodium phosphates,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,18.0,None,17.0,6.1776197733836336,80.0888056291512,11.869854857982505,2.4967368849582217,71.1351166249625,111.93032300000006,9.028180400521668,0.4353944063186645,0.1365071922862727,1000000.0
