Additive_3,M1_is Enclosed,Initial GI (%),V1_Ventilation Type,Material_2,Turning times, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Additive_4,Application Rate (%DW),Initial Moisture Content (%),Additive_2,Compost volume (m3),Material_3,Material_Main,Additive_1,Initial pH,V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,1.0,27.32884658064516,None,Woody peat,29.0,Trough,35.0,0.0,0.0,None,2.804152429304253,70.0,Gypsum,0.0996875,Green waste,Digestate,Ca-superphosphate,11.231711811954876,0.0,0.0,15.0,2.754411318174137,91.82895464182896,92.94809300000006,7.318709724107015,1.152613401412964,0.0850733146178325,1000000.0
None,1.0,27.32884658064516,None,Plastic tube pieces,10.0,Trough,58.0,0.0,0.0,None,2.041732696790188,70.0,Biochar,0.0996875,Byproduct,Digestate,Zeolite,9.40828174774296,0.0,0.0,29.0,2.754411318174137,43.51842899832274,93.32769200000004,10.463796610478926,1.1704564094543457,0.1518353610975181,1000000.0
None,0.0,27.32884658064516,None,Plastic tube pieces,22.0,Windrow,127.0,0.0,0.0,None,4.666981012363857,50.99999999999999,Biochar,0.0996875,Byproduct,Digestate,MgO,5.0,0.0,0.0,29.0,2.754411318174137,109.82152452164613,92.84024000000004,10.156416103628802,1.166084051132202,0.1291649770386855,1000000.0
None,1.0,27.32884658064516,None,None,10.0,Windrow,27.0,0.0,0.0,None,6.449311167509179,70.74356200806707,Ca-superphosphate,0.0996875,Green waste,Digestate,Biochar,6.0,0.0,0.0,24.0,2.754411318174137,86.73821669114123,93.95272100000004,9.346623497008828,1.154769778251648,0.1690579548731518,1000000.0
None,1.0,27.32884658064516,None,Woody peat,0.0,Reactor,78.0,0.0,0.0,None,5.385471983789839,69.0,None,0.0996875,Mature compost,Digestate,Ca-superphosphate,10.800098673988858,0.0,0.0,30.0,2.754411318174137,92.3124693384,95.21589100000004,11.201548040073302,1.155907392501831,0.133991357578691,1000000.0
None,1.0,27.32884658064516,None,Sawdust,20.0,Trough,89.0,0.0,0.0,None,8.625351377712155,83.64778949472816,Biochar,0.0996875,Straw,Digestate,Biochar,6.0,0.0,0.0,11.0,2.754411318174137,107.1191388019762,94.40927900000004,8.54228070032037,1.1295812129974363,0.1497463248581285,1000000.0
None,0.0,27.32884658064516,None,Green waste,0.0,Trough,53.0,0.0,0.0,None,4.331575423219103,67.0,Biochar,0.0996875,Green waste,Digestate,Gypsum,8.0,0.0,0.0,35.0,2.754411318174137,92.31777735156132,93.26812900000004,10.01740882462086,1.1321228742599487,0.137880070712685,1000000.0
None,1.0,27.32884658064516,None,None,31.0,Reactor,46.0,0.0,0.0,None,7.49948100926028,59.97073224878887,Biochar,0.0996875,Green waste,Digestate,Zeolite,10.925124114058786,0.0,0.0,20.0,2.754411318174137,50.21635410950922,93.41641100000004,10.219472564403736,1.126430630683899,0.1356915080059823,1000000.0
None,1.0,27.32884658064516,None,Green Waste,0.0,Trough,77.0,0.0,0.0,None,2.148416425366777,50.0,Ca-superphosphate,0.0996875,Poultry manure,Digestate,Sodium phosphates,11.52489698195081,0.0,0.0,10.0,2.754411318174137,37.496191061040754,93.26392800000002,7.832739168280456,1.1383527517318726,0.1223314859505154,1000000.0
None,1.0,27.328846580645163,None,Green Waste,22.0,Windrow,101.0,0.0,0.0,None,9.727814186570694,82.56310857122409,Biochar,0.0996875,Poultry manure,Digestate,Ferric salt,5.365320078226034,0.0,0.0,27.0,2.6939704832545663,49.29572133558456,92.78227300000002,1000000.0,1000000.0,1000000.0,1000000.0
None,0.0,27.32884658064516,None,None,7.0,Windrow,121.0,0.0,0.0,None,4.1924329302902,67.0,Biochar,0.0996875,Green waste,Digestate,Inorganic acid,6.0,0.0,0.0,26.0,2.754411318174137,89.97365444058826,92.70583000000003,9.666333335862731,1.1262034177780151,0.1265102310409974,1000000.0
None,1.0,27.328846580645163,None,Woody peat,9.0,Trough,104.0,0.0,0.0,None,6.881184684771906,73.7281775104069,Biochar,0.0996875,Byproduct,Digestate,Phosphogypsum,7.000000000000001,0.0,0.0,18.0,2.754411318174137,52.184807325628086,93.18989600000003,10.69112575954564,1.1798193454742432,0.1573736928283212,1000000.0
None,0.0,27.32884658064516,None,None,0.0,Trough,85.0,0.0,0.0,None,7.023157777208986,77.74746692415067,Biochar,0.0996875,Poultry manure,Digestate,Labile carbon source,11.64328204622176,0.0,0.0706949323051512,43.81031974103373,2.754411318174137,120.67164054753113,94.29298000000004,10.01740882462086,1.1304048299789429,0.1210745650834423,11.145870201223795
None,1.0,27.32884658064516,None,Green waste,23.0,Reactor,18.0,0.0,0.0,None,7.7688316473454,84.05058292479532,Biochar,0.0996875,Green waste,Digestate,Labile carbon source,8.697362963361584,0.0,0.0,45.00934175836733,2.754411318174137,123.9742403628148,93.10685600000004,9.61661785047088,1.1323575973510742,0.1533561675346129,25.93484426210319
None,1.0,27.32884658064516,None,Woody peat,1.0,Trough,128.0,0.0,0.0,None,4.084471279216431,83.74959921118587,Inorganic acid,0.0996875,Mature compost,Digestate,Sodium salt,8.981399433097977,0.0,0.0,29.0,2.754411318174137,18.033850614222548,93.11100600000005,11.212586791996724,1.155974268913269,0.1839543903773293,1000000.0
None,1.0,27.32884658064516,Continuous,None,30.0,Reactor,78.0,30.0,0.0,None,8.433329492327102,61.0,Biochar,0.0996875,Green waste,Digestate,Microbiological agent,10.228535885985886,0.0,1.1547400257034155,20.0,2.754411318174137,21.43965176628018,93.061297,12.092338166260454,1.1604920625686646,0.1915779460653346,1000000.0
None,1.0,27.32884658064516,Continuous,Husk,10.0,Reactor,97.0,79.0,0.0,None,3.284386457565198,61.0,Biochar,0.0996875,Byproduct,Digestate,Microbiological agent,10.239365198281934,0.0,1.9406512913375973,15.0,2.754411318174137,31.55366659254181,93.17052700000002,10.444980004768864,1.174387812614441,0.1576092954767839,1000000.0
None,1.0,27.32884658064516,None,Woody peat,8.0,Trough,122.0,0.0,0.0,None,9.180371359142487,80.43593573693954,Biochar,0.0996875,Poultry manure,Digestate,Biochar,11.841042633820267,0.0,0.0,37.0,2.754411318174137,15.587917702339553,93.35043800000008,9.61661785047088,1.1303797960281372,0.1792896962039878,1000000.0
None,0.0,27.32884658064516,None,Green waste,15.0,Windrow,63.0,0.0,0.0,None,3.5999180477403048,61.0,Biochar,0.0996875,Straw,Digestate,Labile carbon source,11.815109117437116,0.0,0.0,15.0,2.754411318174137,62.523647909278544,92.82398000000003,8.326337190322887,1.1264116764068604,0.1108564770073078,1000000.0
None,1.0,27.328846580645163,None,Sawdust,2.0,Windrow,57.0,0.0,0.0,None,7.010591749176502,54.0,Ca-superphosphate,0.0996875,Mature compost,Digestate,Ca-superphosphate,9.247001783893191,0.0,0.0,31.533759690877677,2.754411318174137,24.199994543427817,94.09791200000004,9.352702560113688,1.15471351146698,0.1516591300136434,1000000.0
None,0.0,27.32884658064516,Continuous,Green Waste,2.0,Windrow,116.0,33.0,0.0,None,6.891372426115234,58.0,Biochar,0.0996875,Byproduct,Digestate,Microbiological agent,5.0,0.0,1.864387006136042,26.0,2.754411318174137,37.45215310218227,92.17954400000004,11.212956334242737,1.1626489162445068,0.1508982908328472,1000000.0
None,0.0,27.32884658064516,None,Soil,1.0,Trough,133.0,0.0,0.0,None,2.5814187803447157,70.0,Calcium magnesium phosphate fertilizer,0.0996875,Mature compost,Digestate,Labile carbon source,11.791560884894343,0.0,0.0,37.0,2.754411318174137,50.31810137826567,93.018609,7.7408550179946145,1.153368592262268,0.1321288056609365,1000000.0
