Turning times,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,V4_Ventilation Day,V1_Ventilation Type,Application Rate (%DW),Additive_2,Material_3,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Compost volume (m3),Material_Main,Initial Moisture Content (%),Material_2, Composting Method,Initial GI (%),V3_Ventilation Duration (min),Period (d),Initial pH,Additive_1,M1_is Enclosed,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
15.0,40.0,0.0,None,9.0,Continuous,5.350795953914558,Potassium phosphate,Straw,0.6911644694126962,None,0.08,Goat manure,63.0,None,Windrow,27.32884658064516,0.0,14.0,8.386229037605743,Phosphogypsum,0.0,1.2943765127986695,11.87776568589134,104.26572700000004,1000000.0,1000000.0,1000000.0,1000000.0
11.0,41.46054687747259,0.0,None,32.0,Continuous,2.217343925125612,Calcium magnesium phosphate fertilizer,Mature compost,1.996023942478388,None,0.08,Goat manure,50.0,Woody peat,Trough,27.32884658064516,0.0,121.0,10.710466685304793,Sodium phosphates,1.0,0.875,36.27797851778851,106.266372,4.056511487753556,0.6051058769226074,0.2095466791031299,25.61835923256331
4.0,30.0,0.0,None,5.0,Continuous,8.389126002610055,Ca-superphosphate,Poultry manure,0.3221774707990625,None,0.08,Goat manure,53.99999999999999,Sawdust,Windrow,27.328846580645163,0.0,83.0,7.1535690432565495,Zeolite,0.0,0.875,12.115225195277954,111.15722900000004,6.146842403341082,0.7328010201454163,0.1752465584024538,1000000.0
4.0,16.0,0.0,None,0.0,None,4.874529506640482,Gypsum,Byproduct,0.0,None,0.08,Goat manure,61.0,None,Reactor,27.32884658064516,0.0,60.0,9.095642459633272,Phosphogypsum,1.0,0.875,24.33771843504384,105.24065249999998,6.983507570094593,0.6785809993743896,0.1545781921894943,1000000.0
6.0,30.0,0.0,None,15.0,Continuous,2.961166140460364,Gypsum,Green waste,1.7745890828333342,None,0.08,Goat manure,58.3536485194545,Green Waste,Windrow,27.32884658064516,1.5887988972861904,80.0,6.0,Urea,0.0,0.875,31.73809387929733,112.98907700000004,7.333374395399731,0.7791847586631775,0.1895674708344802,1000000.0
3.0,13.0,0.0,None,71.0,Continuous,8.485223101945143,DCD,Green waste,1.9883269820032656,None,0.08,Goat manure,70.0,Straw,Reactor,27.32884658064516,0.0,80.0,10.674340441267749,Zeolite,1.0,0.875,20.30221080893991,108.06827099999998,7.683199621911805,0.7032893896102905,0.1649737720369186,1000000.0
0.0,41.61432982525435,0.0,None,28.0,Continuous,6.640130340430135,Ca-superphosphate,Straw,1.078009246198536,None,0.08,Goat manure,75.30395818240376,Husk,Trough,27.328846580645163,0.3870364081387502,34.0,7.26068415406762,Sodium phosphates,0.0,0.875,36.41253859709755,110.90904600000005,1.6765024950879746,0.307547777891159,0.1649870748618016,1000000.0
22.0,16.0,0.0,None,54.0,Continuous,6.383828741701421,Calcium magnesium phosphate fertilizer,Mature compost,1.5689390684550453,None,0.08,Goat manure,82.48914698214847,Green waste,Trough,27.32884658064516,0.0,107.0,7.0,MgHPO₄,0.0,0.875,20.638789557544037,106.07660900000003,6.039919879856204,0.5497182011604309,0.1765753330487505,1000000.0
19.0,31.0,0.0,None,20.0,Continuous,9.51446910145619,MgSO₄,Mature compost,0.4509992771297941,None,0.08,Goat manure,63.0,Green Waste,Windrow,27.32884658064516,0.0,132.0,6.000000000000001,Sulfur,0.0,0.875,28.361624072806745,106.46633500000004,6.319816847203826,0.5634625554084778,0.1807455067993797,1000000.0
0.0,40.15144423361374,1233.0,None,51.0,Intermittent ,7.348557362574723,Ca-superphosphate,Mature compost,0.4548453007655273,None,0.08,Goat manure,74.44387662732794,Green waste,Trough,27.32884658064516,57.44737558659546,126.0,7.0,Zeolite,0.0,0.875,35.13251370441202,106.75208200000004,7.193991744654727,0.4050272405147552,0.1215471414908242,18.98312610494981
17.0,15.0,0.0,None,49.0,Continuous,5.660087307771011,Gypsum,Green waste,0.1703047596072144,None,0.08,Goat manure,66.0,None,Windrow,27.32884658064516,0.0,85.0,10.711172656069568,Sodium salt,0.0,0.875,25.06291984082723,106.72808299999998,6.0852309752587805,0.5618592500686646,0.1269410626522265,1000000.0
8.0,40.0,0.0,None,33.0,Continuous,5.954919329169939,Ca-superphosphate,Green waste,1.2972241681876429,None,0.08,Goat manure,71.63363869487601,Green Waste,Trough,27.32884658064516,0.0,58.0,5.0,Phosphogypsum,0.0,0.875,7.229689400910519,109.63862200000004,6.039919879856204,0.6371518969535828,0.1797609030331904,1000000.0
13.0,37.0,439.0,None,41.0,Intermittent ,7.332296967662467,Inorganic acid,Poultry manure,0.4293026196477723,None,0.08,Goat manure,76.75150196581154,Husk,Reactor,27.328846580645163,1.200598739768659,115.0,5.0,Potassium phosphate,1.0,0.875,13.49691451738869,107.54793799999996,8.053622201829283,0.7587405443191528,0.1780662601227078,1000000.0
1.0,18.0,0.0,None,0.0,Continuous,7.449631125364734,DCD,Byproduct,1.567514120443999,None,0.08,Goat manure,72.69802547939736,Woody peat,Reactor,27.32884658064516,0.0,63.0,7.0,Sand,1.0,0.875,21.55870621915688,108.82058000000004,6.909376151583489,0.4462033212184906,0.2080175784401197,1000000.0
29.0,21.0,174.0,None,30.0,Intermittent ,2.962904730432392,Inorganic acid,Green waste,1.357031232380759,None,0.08,Goat manure,75.56196685436697,Green Waste,Reactor,27.32884658064516,0.4769237608973098,101.0,6.0,Sodium phosphates,1.0,0.875,18.33249414607901,108.218939,1.7903240274204084,0.6998283863067627,0.2043430938069156,1000000.0
