Additive_3,V4_Ventilation Day,V2_Ventilation Interval (min),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,M1_is Enclosed,Material_Main,Material_2,Initial C/N (%),Additive_4,Application Rate (%DW),V1_Ventilation Type,Initial pH,Compost volume (m3),Material_3,Period (d),Initial Moisture Content (%),V3_Ventilation Duration (min),Initial GI (%), Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,6.0,0.0,Forsterite,0.6216960032914354,11.0,None,1.0,Sheep manure,Soil,24.0,None,5.377091380024857,Continuous,8.33742889496814,0.045,Green waste,116.0,71.30291746247327,0.0,27.32884658064516,Reactor,1.97,15.907398485498366,103.90992800000002,21.588418913580828,0.8465873599052429,0.2410433339124065,1000000.0
None,50.0,0.0,Sodium phosphates,1.3678756132778052,2.0,Organic acid,0.0,Sheep manure,Soil,34.0,None,6.828170548892431,Continuous,9.81695535729559,0.045,Straw,92.0,83.04436718720072,0.0,27.32884658064516,Trough,1.97,61.61448793238789,101.164599,20.4685857980362,0.8594545125961304,0.1700462103596325,1000000.0
None,8.0,0.0,Zeolite,0.5653149046243622,17.0,None,1.0,Sheep manure,Husk,22.0,None,3.9645937626705248,Continuous,8.122617883019792,0.045,Straw,51.0,57.0,0.0,27.328846580645163,Reactor,1.97,67.84839923634813,104.86124700000002,14.662533462649684,1.0745182037353516,0.2278710872166356,1000000.0
None,5.0,0.0,Sodium phosphates,0.9732659617914614,25.0,Potassium phosphate,1.0,Sheep manure,Soil,38.0,None,3.3066415247311163,Continuous,5.458662995487446,0.045,Green waste,84.0,53.0,0.0,27.664543757656325,Trough,1.97,38.88326847251656,103.638915,10.957653650842133,0.8486365675926208,0.2335666251582109,1000000.0
None,0.0,0.0,Organic acid,1.5490104741298347,28.0,Microbiological agent,1.0,Sheep manure,Plastic tube pieces,26.0,None,9.44687533216286,Continuous,12.05984604449386,0.045,Poultry manure,67.0,78.74682331887207,0.0,27.32884658064516,Reactor,1.97,17.178765888687966,103.050845,14.512352817966883,0.752956211566925,0.2270795578662111,1000000.0
None,2.0,0.0,Zeolite,1.936509862270128,25.0,DCD,1.0,Sheep manure,Soil,24.0,None,8.399170718168602,Continuous,8.907670128206778,0.045,Green waste,85.0,64.0,0.0,27.32884658064516,Reactor,1.97,15.515981313441063,104.136148,16.064032029825867,0.7791622877120972,0.2139513354602057,1000000.0
None,7.0,0.0,Ca-superphosphate,1.307972925756198,29.0,Zeolite,0.0,Sheep manure,Byproduct,30.0,None,8.412679241154857,Continuous,10.3208319567011,0.045,Straw,86.0,60.0,0.0,27.32884658064516,Windrow,1.97,58.71988548707619,106.62038200000002,12.483718088051685,0.6000140905380249,0.2122078470064851,1000000.0
None,0.0,0.0,Phosphogypsum,1.460362967390132,2.0,Inorganic acid,0.0,Sheep manure,Husk,30.0,None,2.5938456073152816,Continuous,9.779832962349072,0.045,Green waste,66.0,60.00000000000001,0.0,27.32884658064516,Trough,1.97,36.54087550565236,103.34607500000004,8.250158115788048,0.9477746486663818,0.2038966051473028,1000000.0
None,38.0,0.0,Microbiological agent,1.5734674006725966,4.0,Inorganic acid,1.0,Sheep manure,None,42.79522083390027,None,3.0584263655999635,Continuous,10.620292168331757,0.045,Straw,109.0,57.0,0.0,27.32884658064516,Reactor,1.97,84.30658504278352,101.06193400000002,15.284900122111376,0.7948300242424011,0.2132712546506034,22.10857488758985
None,6.0,0.0,Inorganic acid,0.525522979449272,4.0,Organic acid,1.0,Sheep manure,Woody peat,17.0,None,5.839831237792469,Continuous,8.141523400292943,0.045,Green waste,21.0,64.0,0.0,28.89823992121579,Windrow,1.97,32.09251502632558,105.55053900000004,20.10602176699967,0.7387018799781799,0.22461106565451,1000000.0
None,4.0,0.0,Calcium magnesium phosphate fertilizer,1.5272258183251968,3.0,Gypsum,1.0,Sheep manure,Sawdust,15.0,None,4.70862031570332,Continuous,7.0,0.045,Mature compost,91.0,60.99999999999999,0.0,27.328846580645163,Reactor,1.97,63.59337919067278,103.777869,14.919103233654273,0.72276771068573,0.2058817818588368,1000000.0
None,67.0,0.0,Potassium phosphate,1.9122881186609104,24.0,Inorganic acid,0.0,Sheep manure,Straw,29.0,None,5.436060173273895,Continuous,11.333043727789548,0.045,Straw,83.0,78.17506849449433,0.0,27.32884658064516,Windrow,1.97,60.553861262703485,101.164599,17.85263296330155,0.8168792724609375,0.1800973674645078,1000000.0
None,0.0,0.0,Sodium salt,0.0,6.0,MgO,1.0,Sheep manure,Woody peat,30.0,None,4.552455126160277,None,7.0,0.045,Straw,120.0,54.04583816595035,0.0,28.124221766324563,Reactor,-0.2064731780310678,64.83928850078227,99.822794,1000000.0,1000000.0,1000000.0,1000000.0
None,6.0,0.0,Ca-superphosphate,1.8018727777816577,19.0,Mg(OH)₂,1.0,Sheep manure,Straw,16.0,None,7.524966495605511,Continuous,6.0,0.045,Mature compost,60.0,73.38297061886345,0.0,27.32884658064516,Trough,1.97,62.80611229116055,103.603934,18.86732121896952,0.8128936290740967,0.2679418622036367,1000000.0
None,6.0,0.0,Sodium phosphates,1.5713864327497806,1.0,Mg(OH)₂,1.0,Sheep manure,Husk,30.0,None,7.319082036884003,Continuous,8.0,0.045,Green waste,127.0,55.0,0.0,27.328846580645163,Windrow,1.97,10.550535591544405,104.030707,8.65614606060825,1.07008159160614,0.2144584303325755,1000000.0
None,2.0,0.0,Ferric salt,0.6949822703986548,7.0,Biochar,0.0,Sheep manure,Husk,27.0,None,6.860361799675016,Continuous,5.0,0.045,Byproduct,91.0,76.67688143031945,0.0,27.32884658064516,Windrow,1.97,41.56830220909396,102.82076500000002,12.252037309935831,1.045360445976257,0.1669234222641432,1000000.0
None,2.0,0.0,None,1.4278712741443778,5.0,None,1.0,Sheep manure,None,10.0,None,5.874730200608261,Continuous,8.0,0.045,Byproduct,118.0,83.56316120969748,0.0,27.32884658064516,Reactor,1.97,62.76835012361305,102.83209200000002,18.359733197066134,1.0813363790512085,0.2564449588817015,1000000.0
None,4.0,0.0,Clay,1.6595115360511106,23.0,Gypsum,0.0,Sheep manure,Husk,15.0,None,9.197417845973774,Continuous,7.0,0.045,Mature compost,106.0,70.2962182216011,0.0,27.32884658064516,Trough,1.97,22.126204015352315,104.11011800000004,12.269613172522789,0.9854710698127748,0.2255107055543305,1000000.0
None,7.0,0.0,Sodium salt,1.173090050981841,26.0,Mg(OH)₂,1.0,Sheep manure,Green Waste,43.56078878196188,None,9.13206562159692,Continuous,7.0,0.045,Green waste,96.0,81.92123632579622,0.0,27.32884658064516,Reactor,1.97,85.81475390046491,102.59426600000002,14.759954464506588,1.094935417175293,0.21903038185089,21.097361321492045
None,1.0,0.0,Lignite,0.7163515121812138,3.0,MgO,0.0,Sheep manure,Soil,16.0,None,3.4042586941195694,Continuous,10.071019797866768,0.045,Green waste,54.0,65.0,0.5060086586529075,35.10013364609045,Windrow,1.969336437545732,62.79174443187348,108.50848800000004,1000000.0,1000000.0,1000000.0,1000000.0
None,60.0,0.0,Sulfur,0.5771649368750502,28.0,Zeolite,0.0,Sheep manure,Byproduct,42.263479681736776,None,9.727019456255949,Continuous,5.0,0.045,Straw,70.0,59.0,0.0,27.32884658064516,Windrow,1.97,83.25905497302145,100.74302600000004,12.067081222669351,0.7918461561203003,0.1693545750143295,26.82868794214223
