Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Mg(OH)₂,None,Poultry manure,59.0,None,8.0,27.32884658064516,0.0,Trough,Green waste,0.0,Sodium salt,1.0,Green waste,0.0,0.0,None,2.099020382127597,0.314,5.0,36.0,43.0,1.4280600332415827,28.95482613171742,111.65130500000004,6.56750803278196,0.465963214635849,0.2069374021361195,1000000.0
MgSO₄,None,Mature compost,57.0,None,17.0,27.32884658064516,0.0,Windrow,Woody peat,0.0,Biochar,0.0,Green waste,0.0,0.0,None,4.536474444426755,0.314,5.0,41.19339861363601,28.0,1.4280600332415827,58.82664619352281,107.56188500000002,7.188111752585724,0.5777148008346558,0.1108243638065867,26.21741679166326
None,None,Mature compost,78.74292341270888,None,23.0,27.32884658064516,0.0,Windrow,Woody peat,0.0,Carbonatite,1.0,Green waste,44.0,0.1838828104664651,Continuous,2.9544967319091864,0.314,6.0,37.0,45.0,1.4280600332415827,47.06412165299688,107.89955200000004,5.1128538434931405,0.674693763256073,0.1986430157759638,1000000.0
Organic acid,None,None,64.0,None,23.0,27.32884658064516,563.0,Reactor,Byproduct,17.170498301790904,Urea,1.0,Green waste,4.0,1.2051481307815144,Intermittent ,4.103593835333755,0.314,6.0,40.0,14.0,1.4280600332415827,56.41906815743586,108.37867300000002,8.889357844194343,0.8329366445541382,0.1775819075515617,1000000.0
Mg(OH)₂,None,Green waste,66.0,None,18.0,27.32884658064516,0.0,Windrow,Green Waste,0.0,LB Culture,1.0,Green waste,0.0,0.0,None,1.947744339722573,0.314,5.0,34.0,101.0,1.4280600332415827,42.663212376545424,109.76702600000004,6.56750803278196,0.3858150839805603,0.205885708769709,1000000.0
Inorganic acid,None,Byproduct,58.0,None,3.0,27.32884658064516,184.0,Reactor,Woody peat,8.298836713908118,Inorganic acid,1.0,Green waste,28.0,1.218896141143906,Intermittent ,4.07640754205344,0.314,7.000000000000001,30.12648041506419,86.0,1.4280600332415827,20.05798522115185,107.80557899999997,8.437215832011232,0.8717060685157776,0.1988806827840164,1000000.0
Mg(OH)₂,None,None,58.0,None,31.0,27.32884658064516,0.0,Windrow,Sawdust,0.0,Sand,0.0,Green waste,0.0,0.0,None,5.0771477248199925,0.314,5.0,31.0,33.0,1.4280600332415827,42.31880913471692,108.84224900000004,6.56750803278196,0.6602253317832947,0.1467706352181043,1000000.0
Potassium phosphate,None,None,66.0,None,21.0,27.328846580645163,0.0,Windrow,Green waste,0.0,Inorganic acid,0.0,Green waste,0.0,0.6059368792725333,None,2.042828908218701,0.314,11.93213331733413,41.46137401145855,38.0,1.4280600332415827,59.20933114904519,106.05381000000004,6.565161149340946,0.2476643323898315,0.1778507465355636,25.988179877436927
None,None,None,63.061277857005045,None,22.0,27.32884658064516,0.0,Reactor,Woody peat,0.0,None,1.0,Green waste,0.0,0.0,None,2.045544604016125,0.314,6.0,31.0,126.0,1.4280600332415827,50.76965918123025,108.469024,6.565161149340946,0.2378148138523101,0.2463980833870339,1000000.0
MgSO₄,None,Byproduct,63.0,None,24.0,27.32884658064516,0.0,Trough,Straw,0.0,Inorganic acid,1.0,Green waste,0.0,0.0,None,2.106572477869165,0.314,5.0,44.964274287505205,21.0,1.4280600332415827,64.21168303369832,110.78882400000003,7.328542906046571,0.4319206774234772,0.2375731709457203,29.204538521355733
Ca-superphosphate,None,Straw,83.5959255272158,None,20.0,27.32884658064516,0.0,Trough,Sawdust,0.0,Inorganic acid,0.0,Green waste,0.0,0.0,None,3.4647848662090244,0.314,6.0,36.0,76.0,1.4280600332415827,32.732632045290885,108.43442300000002,6.683555807408292,0.4068969488143921,0.1680188497660723,1000000.0
MgSO₄,None,Poultry manure,82.72790960679112,None,10.0,27.32884658064516,0.0,Windrow,None,0.0,Gypsum,1.0,Green waste,0.0,0.0,None,3.547349331436266,0.314,5.0,35.0,55.0,1.4280600332415827,24.099060137210547,109.69068700000004,6.565161149340946,0.6057537794113159,0.1926455550646358,1000000.0
Microbiological agent,None,Straw,72.20614972809388,None,5.0,27.32884658064516,0.0,Reactor,None,0.0,Sodium salt,1.0,Green waste,0.0,0.0,None,3.455926225072528,0.314,7.0,38.0,96.0,1.4280600332415827,13.89294933972053,107.885868,6.565161149340946,0.6020774245262146,0.2148362178599062,1000000.0
