Additive_3,Additive_4,Material_3,V4_Ventilation Day,Initial GI (%),Material_Main,V3_Ventilation Duration (min), Composting Method,Compost volume (m3),M1_is Enclosed,Turning times,Period (d),Initial Moisture Content (%),Application Rate (%DW),Initial pH,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Material_2,V2_Ventilation Interval (min),Additive_1,Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,Green waste,60.0,27.32884658064516,Sewage sludge,10.79027538212377,Reactor,4.210797122302158,1.0,6.0,71.0,52.0,9.070912103572365,11.258390112955404,Intermittent ,1.5057275278056133,Gypsum,Soil,918.0,Potassium phosphate,34.0,2.1457865217391303,52.85926178880942,104.11304299999998,15.031252681030155,0.8358082175254822,0.1329876432086093,1000000.0
None,None,Green waste,50.0,27.32884658064516,Sewage sludge,34.142962459558056,Trough,4.210797122302158,0.0,11.0,82.0,59.0,7.7184878074972145,11.19914564981612,Intermittent ,1.6956707355405305,Gypsum,Straw,1201.0,Phosphogypsum,19.0,2.1457865217391303,12.227435385109052,103.147306,17.758448688641877,0.8385961055755615,0.1487878782755755,1000000.0
None,None,Mature compost,4.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,12.0,33.0,54.0,5.59875438744386,11.028945610555503,Continuous,0.9674096942353424,Gypsum,Sawdust,0.0,Potassium phosphate,36.0,2.1457865217391303,11.36904173195518,106.42977800000006,9.365321225355608,1.0014325380325315,0.2104325369723525,1000000.0
None,None,None,32.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,4.0,57.0,72.44803490072125,3.627250610197474,6.0,Continuous,0.6534740420047276,DCD,Husk,0.0,Urea,10.0,2.1457865217391303,22.64200652127128,109.00301600000004,8.551369938395728,1.0090758800506592,0.1637705667994288,1000000.0
None,None,None,41.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,30.0,83.0,53.0,7.459000461214244,5.0,Continuous,1.156672620009253,Calcium magnesium phosphate fertilizer,Green waste,0.0,Sulfur,30.0,2.1457865217391303,66.67093460279287,109.74512600000004,9.989954682928378,0.3842815458774566,0.195164517510228,1000000.0
None,None,Straw,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,3.0,133.0,60.0,8.197901835646785,6.0,None,0.0,Biochar,Sawdust,0.0,Zeolite,17.0,2.1457865217391303,80.93942943244684,108.13758500000004,6.731958057054141,0.2940323650836944,0.1870945311703622,1000000.0
None,None,Poultry manure,41.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,21.0,71.0,70.0,5.943636351708622,10.62306845732611,Continuous,0.396982438310103,DCD,Green waste,0.0,Phosphogypsum,37.0,2.1457865217391303,27.10625415375878,106.18947900000003,10.284286659576566,0.54008549451828,0.1965954482242778,1000000.0
None,None,None,28.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,28.0,110.0,61.0,8.392228628723885,7.0,Continuous,1.287302940206792,Gypsum,Green waste,0.0,Sodium salt,10.0,2.1457865217391303,63.72414164603772,107.24649000000004,9.155375618962555,0.5415041446685791,0.2309536069144021,1000000.0
None,None,Byproduct,21.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,4.0,118.0,60.0,2.322633660173696,6.0,Continuous,0.9739219188105426,Biochar,Straw,0.0,Phosphogypsum,18.0,2.1457865217391303,69.2192441542944,106.47856600000004,7.014668710724384,0.2386062890291214,0.1716346839287659,1000000.0
None,None,Byproduct,2.0,27.32884658064516,Sewage sludge,10.170494937324564,Reactor,4.210797122302158,1.0,23.0,111.0,83.76005374945363,3.209057901683948,5.0,Intermittent ,0.1987215319234023,Gypsum,Husk,757.0,Potassium phosphate,35.0,2.1457865217391303,29.891314618517683,104.328966,16.2089393372108,0.8245951533317566,0.1447302955740612,1000000.0
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,23.0,124.0,70.08323278204242,3.2690203218592293,8.556514033995562,None,0.0,Microbiological agent,Woody peat,0.0,Sodium phosphates,24.0,2.1457865217391303,53.816418778118205,102.83957600000002,10.414143245286938,0.3882769346237182,0.2021586801832544,1000000.0
None,None,Mature compost,1.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,13.0,81.0,83.1333975978983,3.143508847097367,7.0,Continuous,0.7272537772662235,DCD,Woody peat,0.0,Sodium salt,33.0,2.1457865217391303,67.66960807679426,109.55190600000005,9.891613305191958,1.0005192756652832,0.1931764199544265,1000000.0
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,16.0,79.0,66.0,5.0540882454986695,6.0,None,0.0,Ca-superphosphate,Green Waste,0.0,Sulfur,34.0,2.1457865217391303,23.480671014856807,107.19588200000004,10.233466697964976,0.5097139477729797,0.2487749543601373,1000000.0
None,None,Green waste,57.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,10.0,59.0,55.0,7.326315778294453,5.0,Continuous,1.2782750335502473,Ca-superphosphate,Straw,0.0,Urea,21.0,2.1457865217391303,39.26457744213633,106.14229000000005,9.48091091110084,0.8417602777481079,0.1567026165884353,1000000.0
