Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
30.0,None,None,70.0,6.0,0.0,Byproduct,27.32884658064516,Trough,0.0,1.0,None,9.420282600763224,8.0,Clay,Ca-superphosphate,0.0,0.0,Sheep manure,0.045,82.0,Plastic tube pieces,1.97,59.894830553085534,108.087744,7.059615195210737,0.3342889249324798,0.2452988949927049,1000000.0
23.0,Intermittent ,None,70.44127094248387,8.0,1.565987334679514,Straw,27.32884658064516,Windrow,49.62240358626066,0.0,None,5.4463377043461865,10.15181374554388,Zeolite,DCD,1109.0,2.0,Sheep manure,0.045,62.0,Straw,1.97,68.19502356705165,111.77245500000002,6.88119761455935,0.7210758328437805,0.1600302221738135,1000000.0
13.0,None,None,51.0,26.0,0.0,Poultry manure,27.32884658064516,Reactor,0.0,1.0,None,8.034335843533945,10.958521292618707,Carbonatite,Calcium magnesium phosphate fertilizer,0.0,0.0,Sheep manure,0.045,44.0,Green Waste,1.97,17.684631311931568,108.067173,7.059615195210737,0.3342889249324798,0.1938988459358676,1000000.0
24.0,None,None,70.24728509653019,21.0,0.0,Straw,27.32884658064516,Trough,0.0,0.0,None,3.614128267327816,9.0086155497594,Inorganic acid,Calcium magnesium phosphate fertilizer,0.0,0.0,Sheep manure,0.045,110.0,Woody peat,1.97,19.567751921598493,108.067173,6.709171383028814,0.3378571569919586,0.1648673408870372,1000000.0
40.92788825570695,Intermittent ,None,60.0,3.0,0.8259933493885643,Poultry manure,27.32884658064516,Reactor,16.422599657707234,1.0,None,4.777400681632005,8.0,MgO,Potassium phosphate,872.0,3.0,Sheep manure,0.045,54.0,Byproduct,1.97,80.62793986374268,112.46139700000003,7.1799952068139685,0.9920374751091005,0.1654883995278727,21.50130068066622
21.0,Intermittent ,None,52.0,13.0,1.952006875143772,Straw,27.32884658064516,Trough,22.734522509357443,0.0,None,9.781738341586207,10.33482795557202,MgHPO₄,Ca-superphosphate,724.0,1.0,Sheep manure,0.045,97.0,Green Waste,1.97,21.969920723793333,110.10450200000002,8.019779918217933,0.6637909412384033,0.1454253657370141,1000000.0
31.0,Intermittent ,None,76.38701642769783,18.0,1.4722419577011214,Poultry manure,27.32884658064516,Windrow,59.78288718340263,0.0,None,8.610457068283374,8.933343013613456,Sulfur,Ca-superphosphate,495.0,2.0,Sheep manure,0.045,47.0,Soil,1.97,26.94798632991441,112.115441,7.436132575472917,0.674423336982727,0.1525100346306319,1000000.0
10.0,Intermittent ,None,74.50660721269452,18.0,1.0401965653755805,None,27.32884658064516,Windrow,16.55380705065187,0.0,None,6.9481410542511925,6.0,LB Culture,Gypsum,852.0,3.0,Sheep manure,0.045,101.0,Sawdust,1.97,12.243645828036511,112.51232100000004,7.161046634690967,0.9920374751091005,0.1616348722710651,1000000.0
32.0,Intermittent ,None,60.0,21.0,0.1875072156733304,Straw,27.32884658064516,Reactor,53.319044954883935,1.0,None,6.061078876062282,9.994127429835633,Biochar,None,1063.0,4.0,Sheep manure,0.045,95.0,Sawdust,1.97,27.30803112369108,111.38071100000003,7.484090323344575,0.9894246459007264,0.1409239806247128,1000000.0
43.36998986894089,Intermittent ,None,54.0,17.0,0.0028194562440591,Straw,27.32884658064516,Trough,52.04616208531319,0.0,None,2.1002642074294275,5.0,LB Culture,MgSO₄,1038.0,5.0,Sheep manure,0.045,124.0,None,1.97,85.43888004181355,110.06623200000004,7.484090323344575,0.9894246459007264,0.1309772602559531,22.46757356679813
26.0,Intermittent ,None,50.0,20.0,0.2402830649691185,None,27.32884658064516,Windrow,9.791561759192351,0.0,None,9.845542493446713,7.0,Biochar,Ca-superphosphate,1017.0,5.0,Sheep manure,0.045,40.0,Byproduct,1.97,69.39742677831322,111.107886,7.161046634690967,0.9920374751091005,0.1653759124115865,1000000.0
