M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,Clay,27.328846580645163,None,1064.0,Mg(OH)₂,57.0,Green Waste,95.0,56.31585660889646,None,4.0,17.0,Reactor,9.687411966620154,0.9014450199519216,Digestate,28.000000000000004,9.298728804210064,Intermittent ,0.0996875,None,2.754411318174137,85.42148244871407,91.68384500000002,6.326642137222288,0.2418697327375412,0.1434661458716875,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,1116.0,Zeolite,51.0,Husk,111.0,9.619367808321543,None,45.0,16.0,Windrow,8.0,0.4776452191879337,Digestate,40.80417284095032,4.607393743677115,Intermittent ,0.0996875,Byproduct,2.754411318174137,112.39147550184728,90.76977100000003,5.79166810206523,0.2284448742866516,0.1544852815863448,21.38908292794024
1.0,Calcium magnesium phosphate fertilizer,27.885560661892928,None,940.0,MgSO₄,65.0,Green Waste,125.0,9.973191512010604,None,63.0,11.0,Reactor,7.0,0.4932904789912859,Digestate,38.0,5.215798397366323,Intermittent ,0.0996875,Green waste,2.754411318174137,19.080877555615487,92.19431000000004,5.666598762264189,0.2263052314519882,0.1399859523758913,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,681.0,Calcium magnesium phosphate fertilizer,83.36906188150334,Green waste,91.0,32.71918313660478,None,19.0,30.0,Reactor,11.989005271567606,0.6361975826204647,Digestate,19.0,3.484022276331282,Intermittent ,0.0996875,Poultry manure,2.754411318174137,90.5371566186369,92.17707800000004,7.353748039752674,0.0696834027767181,0.1556888274403751,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,0.0,Organic acid,61.0,Byproduct,45.0,0.0,None,28.0,6.0,Windrow,9.823978969582075,0.2382667291363016,Digestate,20.0,7.366136649058387,Continuous,0.0996875,Straw,2.754411318174137,43.0329147338708,88.41396100000001,4.374496602426119,0.3333795964717865,0.2092830406553966,1000000.0
0.0,Ca-superphosphate,27.32884658064516,None,657.0,DCD,73.13881219611343,Green Waste,47.0,45.91313455759946,None,3.0,6.0,Windrow,8.6381167951783,1.618031618648173,Digestate,12.0,7.454556461648267,Intermittent ,0.0996875,None,2.754411318174137,19.08543034313395,90.99717300000005,4.818338462501911,0.2556454837322235,0.1588376093783126,1000000.0
0.0,Clay,27.32884658064516,None,193.0,Organic acid,72.71985171657417,Byproduct,82.0,23.33307237966016,None,40.0,13.0,Windrow,5.0,1.079434616223777,Digestate,20.0,2.4280402983918306,Intermittent ,0.0996875,Mature compost,2.754411318174137,30.321222529627512,88.94825200000002,6.451711477023329,0.371555358171463,0.1626458967510282,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,118.0,Microbiological agent,74.62213359320128,Green Waste,103.0,3.286575300441943,None,21.0,12.0,Reactor,9.624301022096812,1.1145145934215328,Digestate,34.0,3.955616552606548,Intermittent ,0.0996875,Poultry manure,2.754411318174137,66.81622419887759,91.54662100000004,5.950924326550336,0.2265859395265579,0.1938448412578652,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,0.0,Zeolite,60.0,Byproduct,36.0,0.0,None,14.0,3.0,Windrow,8.104636870903033,1.5567321849901783,Digestate,39.0,9.610633847174777,Continuous,0.0996875,Byproduct,2.754411318174137,84.97852987644706,87.86657500000003,4.374496602426119,0.2875860631465912,0.1995966184053935,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,72.0,Mg(OH)₂,64.0,Byproduct,89.0,58.84662532766656,None,64.0,20.0,Reactor,9.882356566262056,1.1957390718326275,Digestate,21.0,9.002347841908147,Intermittent ,0.0996875,Straw,2.754411318174137,56.15548806849254,93.12716400000004,5.950924326550336,0.2386440485715866,0.1844867773921785,1000000.0
1.0,Clay,27.32884658064516,None,542.0,Biochar,76.15692533268864,Green Waste,58.0,14.9328594273497,None,49.0,19.0,Trough,7.0,1.1538631802726749,Digestate,11.0,5.6793090416384535,Intermittent ,0.0996875,Straw,2.754411318174137,30.85807111634819,90.39803400000002,6.980036407924739,0.3238275945186615,0.1562794456811404,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,0.0,Ca-superphosphate,55.0,Husk,109.0,0.0,None,36.0,2.0,Reactor,6.0,1.742549199278747,Digestate,39.0,7.264061162885563,Continuous,0.0996875,None,2.754411318174137,41.93312984395925,90.103276,6.035407397375954,0.3048005998134613,0.1715077324487207,1000000.0
1.0,Ca-superphosphate,27.328846580645163,None,0.0,Ca-superphosphate,74.10614428029182,Byproduct,32.0,0.0,None,8.0,9.0,Reactor,8.171952219469063,1.9678041635794996,Digestate,14.999999999999998,4.259498597417816,Continuous,0.0996875,Byproduct,2.754411318174137,90.36098334932544,90.91665600000002,6.035407397375954,0.2717339396476745,0.2056528194575239,1000000.0
1.0,Biochar,27.32884658064516,None,0.0,Mg(OH)₂,59.0,Green waste,59.0,0.0,None,54.0,30.0,Reactor,9.430021371487882,0.2765649349555803,Digestate,28.0,8.085107019091069,Continuous,0.0996875,Poultry manure,2.754411318174137,57.80343814121163,89.98919400000001,7.951130285555708,0.1557966917753219,0.1792633688020412,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,0.0,MgSO₄,56.0,Green Waste,120.0,0.0,None,0.0,26.0,Reactor,11.771430918677268,0.0,Digestate,24.0,9.752770384406654,None,0.0996875,Byproduct,2.754411318174137,55.67179235978804,90.799783,6.625580615390738,0.2156414091587066,0.1546491480464527,1000000.0
0.0,Clay,27.32884658064516,None,520.0,Zeolite,62.0,Green waste,110.0,0.2136975278607278,None,31.0,7.0,Trough,7.0,0.4999306617102652,Digestate,17.0,5.266395175118332,Intermittent ,0.0996875,Mature compost,2.754411318174137,36.90735965999827,89.02374600000005,6.451711477023329,0.2531858086585998,0.0947739816502265,1000000.0
1.0,Biochar,27.32884658064516,None,897.0,Microbiological agent,60.0,None,49.0,10.05501744457607,None,42.0,0.0,Windrow,5.0,1.163193363413194,Digestate,36.0,6.6673374235428975,Intermittent ,0.0996875,Poultry manure,2.754411318174137,15.09763232124276,90.21388000000006,5.859562568380741,0.2477003782987594,0.177590390617022,1000000.0
1.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,899.0,Ca-superphosphate,77.0469289010845,Green Waste,101.0,51.964863909997256,None,84.0,15.0,Trough,7.0,1.5353178292006977,Digestate,36.0,9.8253968499314,Intermittent ,0.0996875,Byproduct,2.754411318174137,55.16512039959344,93.738599,6.319993032966641,0.224060520529747,0.1568933748584078,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,1217.0,MgO,52.0,Green waste,52.0,44.44516784370968,None,30.0,5.0,Windrow,5.0,0.3273603537453513,Digestate,32.0,4.802976940821619,Intermittent ,0.0996875,Straw,2.754411318174137,19.854812875529504,90.95650300000004,5.79166810206523,0.2681259512901306,0.1594567512504207,1000000.0
1.0,Ca-superphosphate,27.32884658064516,None,953.0,Gypsum,64.0,Woody peat,60.0,2.306418190290729,None,20.0,9.0,Reactor,8.76800015729377,0.7861419044123552,Digestate,44.56744081089334,8.422015485973624,Intermittent ,0.0996875,Mature compost,2.754411318174137,122.75706339158054,90.06677700000004,6.932993641095584,0.2429161667823791,0.1374751711168441,25.19608053713599
0.0,Biochar,27.32884658064516,None,313.0,Microbiological agent,66.0,None,103.0,31.220454178715748,None,46.0,9.0,Trough,5.0,1.3594868450372246,Digestate,20.0,2.0450063448763265,Intermittent ,0.0996875,Poultry manure,2.754411318174137,75.21634118989006,92.91243000000006,5.859562568380741,0.3687770068645477,0.1872731377270165,1000000.0
1.0,Clay,27.32884658064516,None,1337.0,Ca-superphosphate,55.0,Plastic tube pieces,49.0,25.47248473981339,None,49.0,19.0,Reactor,8.019384154234597,1.0526325338006015,Digestate,12.0,8.85126991417524,Intermittent ,0.0996875,None,2.754411318174137,72.60115661398578,91.052426,6.854967068123698,0.2467447519302368,0.1476114985475194,1000000.0
0.0,Calcium magnesium phosphate fertilizer,27.32884658064516,None,96.0,Ca-superphosphate,76.49180173510845,Straw,59.0,47.595277469865,None,19.0,25.0,Windrow,6.0,0.8392562129471377,Digestate,24.0,4.411487457923546,Intermittent ,0.0996875,Straw,2.754411318174137,51.09018002247596,89.04578600000002,9.879797970480285,-0.0238110050559043,0.1820350423965068,1000000.0
