Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,None,31.785545129862008,Gypsum,7.980853911674249,1.0,3.0,27.862112138900912,Mature compost,66.0,0.15181,43.0,0.0,0.0,0.0,Gypsum,Reactor,OFMSW,Green waste,7.0,None,1.411,38.71765268358872,102.99798500000004,5.086799997217233,0.0497075542807579,0.2075771421576634,1000000.0
None,0.0,None,29.0,Inorganic acid,2.2996509456606136,1.0,6.0,27.32884658064516,Green waste,60.0,0.15181,28.0,0.0,0.0,0.0,Sodium salt,Windrow,OFMSW,Green waste,6.0,None,1.411,28.545434164064183,103.88551700000004,7.215501510097604,0.0081225037574768,0.1961822662057468,1000000.0
None,0.0,None,34.0,Gypsum,8.39705078235356,0.0,5.0,27.32884658064516,Mature compost,56.0,0.15181,20.0,0.0,0.0,0.0,Mature compost,Windrow,OFMSW,Green Waste,10.488021773017902,None,1.411,11.958736435509095,104.51983600000004,7.062650297646414,0.0924359112977981,0.1557611953274761,1000000.0
None,0.0,None,20.0,DCD,3.0853816625450667,1.0,5.0,27.328846580645163,Straw,69.0,0.15181,104.0,0.0,0.0,0.0,Sulfur,Windrow,OFMSW,Plastic tube pieces,5.869680005408108,None,1.411,48.78689157821051,105.29550600000005,7.00917532250195,0.0397121906280517,0.2076709667494257,1000000.0
None,0.0,None,42.64886959054879,Zeolite,4.442242356193502,1.0,31.0,27.32884658064516,Poultry manure,66.0,0.15181,46.0,0.0,0.0,0.0,Potassium phosphate,Windrow,OFMSW,Husk,6.0,None,1.411,60.17755499226435,100.8646136666667,9.66447085849077,-0.0105894757434725,0.1833366741939852,22.02791085221805
None,0.0,None,26.0,Organic acid,7.49784432026633,0.0,2.0,27.32884658064516,Byproduct,66.0,0.15181,71.0,0.0,0.0,0.4353794587980312,Sodium salt,Trough,OFMSW,Byproduct,6.0,None,1.411,25.20718316666667,103.18401700000004,7.544864917375314,-0.0165062975138425,0.1885648068308394,1000000.0
None,0.0,None,43.843722939022896,Microbiological agent,4.70955100506554,1.0,4.0,28.229805130929712,Mature compost,70.0,0.15181,30.0,0.0,0.0,0.0,Labile carbon source,Trough,OFMSW,Green Waste,7.349410138919206,None,1.411,61.86349306696131,103.20137700000004,8.046449748067673,0.0589738637208938,0.213630548399077,20.75787644284085
None,0.0,None,37.0,None,2.155931614482624,0.0,2.0,27.32884658064516,Straw,52.0,0.15181,100.0,0.0,0.0,0.0,None,Trough,OFMSW,None,10.202391384576366,None,1.411,42.16681285479329,103.46189700000004,7.544864917375314,0.2963132262229919,0.1566969464425273,1000000.0
None,0.0,None,37.0,Calcium magnesium phosphate fertilizer,7.747297525920667,0.0,29.0,27.32884658064516,Straw,52.0,0.15181,20.0,0.0,0.0,0.0,Lignite,Windrow,OFMSW,None,5.0,None,1.411,23.25474617275344,101.47154866666668,9.108520757587472,0.2975321412086487,0.1503550065712385,1000000.0
None,0.0,None,37.0,None,3.295076961395828,0.0,1.0,27.32884658064516,Mature compost,82.89570606752328,0.15181,16.0,0.0,0.0,0.0,Lignite,Windrow,OFMSW,Green Waste,8.0,None,1.411,53.69989223141009,104.76029600000004,7.062650297646414,0.0751255378127098,0.1446187428280436,1000000.0
None,0.0,None,14.0,Inorganic acid,6.172564858714308,1.0,6.0,27.32884658064516,Straw,56.0,0.15181,74.0,0.0,0.0,0.0,Mature compost,Windrow,OFMSW,Green waste,8.605161622370268,None,1.411,34.65016243781261,103.88934100000004,6.843563131890467,0.1443576067686081,0.1620699968406898,1000000.0
None,0.0,None,43.10819567461473,Organic acid,7.734444604845626,1.0,6.0,27.32884658064516,Straw,66.0,0.15181,77.0,0.0,0.0,0.0,Forsterite,Windrow,OFMSW,None,8.272208447654144,None,1.411,60.82566409688138,103.39061100000004,6.156452055608983,0.1168500930070877,0.1829921688961905,16.1188911130668
None,0.0,None,44.46906986386654,Mg(OH)₂,7.901037291353903,1.0,5.0,27.32884658064516,Green waste,64.0,0.15181,69.0,0.0,0.0,0.0,Inorganic acid,Windrow,OFMSW,Plastic tube pieces,6.0,None,1.411,62.745857577915686,104.67537500000005,7.369115856952888,-0.0330398231744766,0.1743888067715623,13.37270705495614
None,0.0,None,32.0,Calcium magnesium phosphate fertilizer,0.7118636228841575,1.0,25.0,27.32884658064516,Mature compost,50.0,0.15181,112.0,0.0,0.0,0.0,Microbiological agent,Windrow,OFMSW,None,8.660661454781039,None,1.411,51.09535837252906,102.9958406666667,8.191090875904605,0.1746852546930313,0.1743554911937923,1000000.0
None,0.0,None,37.0,MgSO₄,4.356981349994275,1.0,8.0,27.328846580645163,Byproduct,61.0,0.15181,119.0,0.0,0.0,0.0,Potassium phosphate,Windrow,OFMSW,Byproduct,8.547453461785889,None,1.411,7.178907113565737,103.59309000000005,6.843563131890467,0.3003602623939514,0.1815056591558578,1000000.0
None,0.0,None,16.0,Mg(OH)₂,5.875521512330852,1.0,4.0,27.32884658064516,Byproduct,60.0,0.15181,36.0,0.0,0.0,0.0,Gypsum,Reactor,OFMSW,Byproduct,7.0,None,1.411,26.070850854026308,102.82564500000002,5.179210793832546,0.0405418872833251,0.1958175281956145,1000000.0
None,0.0,None,37.0,None,3.2693444074089832,1.0,1.0,28.761362240217764,Poultry manure,66.0,0.15181,25.0,0.0,0.0,0.0,LB Culture,Windrow,OFMSW,Green Waste,8.769328470383034,None,1.411,11.04270871852025,105.49172600000004,7.663117842194298,0.1069934219121933,0.1928388788918193,1000000.0
None,0.0,None,29.0,MgO,4.244578144324896,1.0,1.0,27.32884658064516,Straw,57.0,0.15181,34.0,0.0,0.0,0.0,Sulfur,Reactor,OFMSW,None,11.064782504875664,None,1.411,48.23298884987941,103.24949600000002,4.897206652347335,0.2912561297416687,0.1811336492146755,1000000.0
None,0.0,None,40.050694686229335,None,7.084615806260272,0.0,4.0,27.32884658064516,None,77.30244665723254,0.15181,129.0,0.0,0.0,0.0,Ferric salt,Windrow,OFMSW,Plastic tube pieces,9.171185037803774,None,1.411,56.51153020226959,103.69467100000004,6.322064246220466,0.1397630274295807,0.1286656944861102,13.043979998953317
None,0.0,None,32.0,MgO,2.7323199730063057,1.0,1.0,27.32884658064516,Mature compost,50.0,0.15181,33.0,0.0,0.0,0.0,Mg(OH)₂,Windrow,OFMSW,Byproduct,8.97529807912782,None,1.411,12.574338456230429,104.56579600000003,7.17952251208299,0.1057045757770538,0.1882352304888602,1000000.0
None,0.0,None,24.0,Calcium magnesium phosphate fertilizer,7.64582264136232,0.0,15.0,27.88032456542577,Straw,65.0,0.15181,41.0,0.0,0.0,0.0,MgSO₄,Windrow,OFMSW,Green waste,9.301190606810115,None,1.411,17.204239284025245,101.93852066666668,7.203473603851611,0.2928545475006103,0.1686728978577331,1000000.0
None,0.0,None,37.0,Organic acid,2.853883091344951,1.0,1.0,27.32884658064516,Green waste,64.0,0.15181,109.0,0.0,0.0,0.0,MgHPO₄,Reactor,OFMSW,Green Waste,8.310337548617227,None,1.411,52.07794526065409,102.99822600000005,4.726859462766296,0.2453757673501968,0.2110613035864888,1000000.0
None,0.0,None,10.0,Organic acid,3.1282876014295384,0.0,4.0,27.32884658064516,Poultry manure,60.0,0.15181,49.0,0.0,0.0,0.0,Lignite,Windrow,OFMSW,Plastic tube pieces,6.0,None,1.411,37.19683925934695,105.29268600000005,7.087111715467677,-0.0867657884955406,0.1458663814736215,1000000.0
None,0.0,None,21.0,None,4.422548281846839,0.0,4.0,27.32884658064516,Byproduct,72.21993776231153,0.15181,107.0,0.0,0.0,0.0,MgSO₄,Windrow,OFMSW,Plastic tube pieces,7.0,None,1.411,43.660016260543024,105.01762600000004,7.00917532250195,0.1485122293233871,0.1653183978797678,1000000.0
None,0.0,None,17.349806176757543,None,6.918968278707753,1.0,2.0,27.32884658064516,Byproduct,55.0,0.15181,20.0,0.0,0.0,0.0,None,Windrow,OFMSW,Plastic tube pieces,8.233363284695002,None,1.411,11.519123294858424,105.06358600000004,7.062650297646414,0.3022379875183105,0.169314829926902,1000000.0
None,0.0,None,12.0,Gypsum,3.4486536327884814,1.0,7.0,27.328846580645163,None,51.0,0.15181,89.0,0.0,0.0,0.0,Inorganic acid,Reactor,OFMSW,Green waste,5.682834749059659,None,1.411,24.95182077650829,100.57617300000004,4.843251413640023,0.0871349275112152,0.157222376461276,1000000.0
