Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial GI (%),Initial C/N (%),Initial Moisture Content (%),Final GI (%)
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,0.13,1.0,56.0,0.0,18.0,1.11111,8.2,16.30297,20.40002,55.0,125.3
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,0.0,0.3,8.23053,27.4332,18.4,69.2,103.463
10,13,4,13,7,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,2.956,0.3,8.02421,54.0642,18.4,69.2,108.116
10,13,4,31,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,1.4,0.3,7.96947,31.2834,18.4,69.2,93.0356
10,13,4,4,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,3.25,0.3,8.16316,39.6258,18.4,69.2,100.415
10,13,4,13,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,3.4,0.3,6.85368,28.877,18.4,69.2,72.9821
10,4,4,25,11,4,1,0,1.0,240.0,8.0,50.0,0.18,1.0,50.0,10.0,2.38663,5.96659,8.03,5.61233,26.90253,58.1,69.2
10,4,4,25,11,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,2.5,6.25,7.50192,0.82569,17.6,60.0,46.8
10,4,4,25,11,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,2.5,6.25,7.49704,2.84404,24.0,60.0,52.5
10,4,4,25,11,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,2.5,6.25,7.49704,2.11009,32.4,60.0,60.0
10,4,4,25,11,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,2.5,6.25,7.36254,1.74312,40.3,60.0,59.0
10,4,4,4,10,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,2.5,6.25,8.18053,2.69729,24.0,60.0,52.5
10,4,4,4,10,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,5.0,6.25,8.08772,4.34863,24.4,60.0,50.2
10,4,4,4,10,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,7.5,6.25,8.03508,3.72434,24.1,60.0,51.8
10,4,4,4,10,4,1,0,1.0,240.0,7.0,50.0,0.18,1.0,50.0,10.0,10.0,6.25,7.92372,6.12233,24.1,60.0,51.5
10,4,4,38,10,4,1,0,1.0,240.0,5.0,35.0,0.18,1.0,35.0,10.0,2.5,6.25,8.35331,6.30372,27.0,60.0,57.7
10,4,4,38,10,4,1,0,1.0,240.0,5.0,35.0,0.18,1.0,35.0,10.0,9.23077,6.25,8.3426,14.212,26.0,60.0,63.6
10,4,4,38,10,4,1,0,1.0,240.0,5.0,35.0,0.18,1.0,35.0,10.0,16.92308,6.25,8.23822,23.8395,26.3,60.0,60.5
10,4,4,38,10,4,1,0,1.0,240.0,5.0,35.0,0.18,1.0,35.0,10.0,24.61538,6.25,8.19063,46.1891,25.3,60.0,74.6
10,8,4,27,11,4,1,1,0.0,0.0,62.0,81.0,16.0,2.0,0.0,0.0,0.0,0.0,8.12,0.30256,14.42029,65.0,103.982
10,8,4,2,11,4,1,1,0.0,0.0,66.0,81.0,16.0,2.0,0.0,0.0,8.8,0.0,8.12,0.77841,15.14815,65.0,116.847
10,13,4,27,11,4,1,0,1.0,0.0,6.0,30.0,0.12,0.0,30.0,0.0,0.0,2.56621,7.25571,3.77994,17.57895,66.11478,97.5734
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,0.12,0.0,30.0,0.0,5.0,2.56621,6.60761,5.93047,26.51507,60.03118,114.509
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,0.12,0.0,30.0,0.0,10.0,2.56621,6.57182,5.39284,23.77895,63.42,127.95
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,0.12,0.0,30.0,0.0,20.0,2.56621,6.38097,1.89856,21.62311,64.26,139.778
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,0.12,0.0,30.0,0.0,1.0,2.56621,7.07281,4.58605,25.30068,60.53118,120.961
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,0.06,0.0,28.0,0.0,0.0,0.36,7.79826,46.6854,17.91,62.06,92.191
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,0.06,0.0,28.0,0.0,10.0,0.36,7.89913,51.1798,18.23,58.69,89.9438
8,13,4,27,11,4,1,0,1.0,0.0,11.0,56.0,0.1,0.0,56.0,0.0,0.0,1.7961,7.1,8.01028,25.17,56.03,64.17
8,13,4,38,11,4,1,0,1.0,0.0,11.0,56.0,0.1,0.0,56.0,0.0,10.0,1.81444,7.6,13.60774,25.17972,55.0,105.63
8,13,4,8,11,4,1,0,1.0,0.0,11.0,56.0,0.1,0.0,56.0,0.0,10.0,1.75444,8.6,12.76817,25.67343,55.0,98.2
8,13,4,8,11,4,1,0,1.0,0.0,11.0,56.0,0.1,0.0,56.0,0.0,10.0,1.75444,8.7,12.76817,25.43875,55.0,101.85
3,13,4,27,11,4,1,0,1.0,20.0,4.0,30.0,0.06,1.0,30.0,40.0,0.0,1.5611,7.01129,4.40313,32.46,53.59,86.0078
3,13,3,27,11,4,1,0,1.0,20.0,4.0,30.0,0.06,1.0,30.0,40.0,0.0,3.06084,7.06416,3.22896,17.95878,62.83096,101.859
3,13,4,16,11,4,1,0,1.0,20.0,4.0,30.0,0.06,1.0,30.0,40.0,1.88608,3.58016,6.81014,7.04539,17.88206,62.73197,103.327
3,13,4,25,11,4,1,0,1.0,20.0,4.0,30.0,0.06,1.0,30.0,40.0,1.88608,3.58016,6.81014,5.87123,17.9312,62.73197,87.7691
10,13,4,27,11,4,1,0,1.0,30.0,2.0,35.0,0.06,1.0,35.0,30.0,0.0,0.38,7.779,69.0698,17.4312,67.6,139.535
10,13,4,30,11,4,1,0,1.0,30.0,2.0,35.0,0.06,1.0,35.0,30.0,0.408,0.38,6.76537,96.2791,14.83745,63.94,162.209
10,13,4,6,11,4,1,0,1.0,30.0,2.0,35.0,0.06,1.0,35.0,30.0,0.408,0.38,8.01878,83.7209,16.20429,67.38,144.767
10,13,4,30,2,4,1,0,1.0,30.0,2.0,35.0,0.06,1.0,35.0,30.0,0.408,0.38,7.24492,77.093,13.97506,68.3,136.395
10,13,4,27,11,4,1,0,1.0,0.0,5.0,50.0,0.1,0.0,50.0,0.0,0.0,2.712,7.3394,29.01787,25.0,58.0,93.06
10,13,4,2,11,4,1,0,1.0,0.0,5.0,50.0,0.1,0.0,50.0,0.0,10.0,0.426,7.04739,35.91537,19.51,64.5,99.34
10,13,4,38,11,4,1,0,1.0,0.0,5.0,50.0,0.1,0.0,50.0,0.0,10.0,0.426,7.04739,35.91537,19.51,64.5,98.21
10,13,4,2,15,4,1,0,1.0,0.0,5.0,50.0,0.1,0.0,50.0,0.0,20.0,0.426,7.84631,35.91537,19.17524,65.42,102.41
8,13,4,27,11,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,0.0,0.0,0.27211,7.92644,38.53,11.37,65.0,103.21
8,13,4,4,11,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,0.0,10.0,0.26291,7.57825,38.63,11.37,65.0,97.4
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,0.0,10.28571,0.26265,7.53957,58.62,11.37,65.0,120.31
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,0.0,14.57143,0.2589,7.59268,51.69,11.37,65.0,111.0
10,13,4,27,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.0,0.0,0.25,8.2,27.668,18.43351,69.2,98.3399
10,13,4,13,8,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.0,6.98571,0.25,8.0,54.2292,18.43351,69.277,108.142
10,13,4,4,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.0,4.0,0.25,7.25,25.4545,18.43351,65.04,100.553
10,13,4,13,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.0,6.10714,0.25,6.75,36.0474,18.43351,69.756,78.419
7,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,28.7,7.0,0.0,1.7166,6.53,22.4747,31.0074,60.0,120.707
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,38.1,7.0,2.0,3.17666,6.85,14.6465,30.0553,60.0,127.02
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,25.0,8.0,4.0,2.05671,6.46,20.7071,30.3317,60.0,137.879
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,25.0,9.0,6.0,2.86333,6.52,14.6465,30.5467,60.0,147.98
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,15.5,7.0,8.0,0.78171,6.5,22.7273,31.0381,60.0,170.202
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,17.0,4.0,10.0,0.91162,6.55,19.9495,30.7924,60.0,177.525
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,0.0,0.3,7.74382,0.0,25.0,55.0,93.1417
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,10.0,0.3,8.21499,0.0,25.37914,57.0,99.5483
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,20.0,0.3,8.13921,0.0,22.94238,58.92,102.259
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,20.5,0.3,8.0173,0.0,22.47375,60.34,104.723
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,21.0,0.3,7.84926,0.0,21.88843,61.34,103.737
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,22.0,0.3,7.82949,0.0,22.81319,61.34,105.955
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,49.6,7.0,0.0,3.97389,7.99441,0.0,20.0,60.0,77.6786
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,43.6,2.0,12.5,1.50225,7.90629,0.0,20.0,60.0,107.143
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,40.8,2.0,12.5,1.50225,7.55385,0.0,20.0,60.0,90.5357
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,41.2,0.0,25.0,0.29112,7.45315,0.0,20.0,60.0,109.286
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,49.6,7.0,0.0,3.97389,7.61678,0.0,25.0,60.0,84.6429
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,40.8,2.0,12.5,1.50225,7.67972,0.0,25.0,60.0,117.321
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,40.8,2.0,12.5,1.50225,7.17622,0.0,25.0,60.0,95.8929
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,41.2,0.0,25.0,0.29112,7.26434,0.0,25.0,60.0,126.429
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,49.6,7.0,0.0,3.97389,7.55385,0.0,30.0,60.0,96.9643
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,40.8,2.0,12.5,1.50225,7.5035,0.0,30.0,60.0,129.643
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,40.8,2.0,12.5,1.50225,7.15105,0.0,30.0,60.0,103.393
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,41.2,0.0,25.0,0.29112,7.12587,0.0,30.0,60.0,130.179
