Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
8,7.14286,10,1,0,50.0,50.0,10.0,10.0,2,0.18,6.25,60.0,24.1,1.84651,1,47.99453,1,0.22222,51.5
8,7.0,10,1,0,35.0,35.0,10.0,2.5,2,0.18,6.25,60.0,27.0,1.8811,1,50.7897,20,0.22222,57.7
8,7.0,10,1,0,35.0,35.0,10.0,9.23077,2,0.18,6.25,60.0,26.0,1.76278,1,45.83228,20,0.22222,63.6
8,7.0,10,1,0,35.0,35.0,10.0,16.92308,2,0.18,6.25,60.0,26.3,1.55575,1,40.91622,20,0.22222,60.5
8,7.0,10,1,0,35.0,35.0,10.0,24.61538,2,0.18,6.25,60.0,25.3,1.48814,1,37.64994,20,0.22222,74.6
8,1.30645,0,0,1,81.0,0.0,0.0,0.0,3,16.0,0.0,65.0,14.42029,2.76,0,39.8,0,1.17979,103.982
8,1.22727,0,0,1,81.0,0.0,0.0,8.8,3,16.0,0.0,65.0,15.14815,2.7,0,40.9,0,1.18519,116.847
8,5.0,0,1,0,30.0,30.0,0.0,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,0,0.575,97.5734
8,5.0,0,1,0,30.0,30.0,0.0,5.0,5,0.12,2.56621,66.49348,19.48477,1.94767,0,29.89034,16,0.58474,114.509
8,5.0,0,1,0,30.0,30.0,0.0,10.0,5,0.12,2.56621,65.03548,20.32877,1.94767,0,35.6945,16,0.59448,127.95
8,5.0,0,1,0,30.0,30.0,0.0,1.0,5,0.12,2.56621,64.62448,25.61489,1.94767,0,29.67784,16,0.57695,120.961
8,7.0,0,1,0,28.0,28.0,0.0,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,92.191
8,7.0,0,1,0,28.0,28.0,0.0,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,1,0.78068,89.9438
6,5.09091,0,1,0,56.0,56.0,0.0,0.0,5,0.1,0.68556,56.03,25.17,1.86,0,46.82,0,0.5,64.17
6,5.09091,0,1,0,56.0,56.0,0.0,10.0,5,0.1,0.76167,55.0,25.17972,1.80701,0,45.5,20,0.5,105.63
6,5.09091,0,1,0,56.0,56.0,0.0,10.0,5,0.1,0.76167,55.0,25.67343,1.77226,0,45.5,3,0.5,98.2
6,5.09091,0,1,0,56.0,56.0,0.0,10.0,5,0.1,0.76167,55.0,25.43875,1.78861,0,45.5,3,0.5,101.85
3,7.5,4,1,0,30.0,30.0,40.0,0.0,5,0.06,0.3444,53.59,32.46,1.1,1,35.52,0,0.64438,86.0078
3,7.5,4,1,0,30.0,30.0,40.0,0.0,5,0.06,0.52357,59.14902,22.72871,1.73399,1,36.07717,0,0.58322,101.859
3,7.5,4,1,0,30.0,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,8,0.57909,103.327
3,7.5,4,1,0,30.0,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,15,0.57909,87.7691
8,10.0,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.60044,58.0,25.0,1.8,0,45.0,0,0.5,93.06
8,10.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.59944,59.3,27.29944,1.66964,0,46.74137,0,0.5,99.34
8,10.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.55433,59.3,27.29944,1.62118,0,46.21337,20,0.5,98.21
8,10.0,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.5,24.61247,1.53825,0,41.91399,0,0.5,102.41
6,5.66667,0,1,0,34.0,34.0,0.0,0.0,5,0.06,0.27211,65.0,11.37,2.18513,0,37.37812,0,0.58333,103.21
6,5.66667,0,1,0,34.0,34.0,0.0,10.0,5,0.06,0.26291,65.0,11.37,2.15071,0,36.96312,1,0.60375,97.4
6,5.66667,0,1,0,34.0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,11.37,2.16358,0,36.96312,1,0.60433,120.31
6,5.66667,0,1,0,34.0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,11.37,2.19286,0,37.31912,1,0.61308,111.0
8,5.83333,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,98.3399
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,6,0.66417,108.142
8,5.83333,0,1,0,35.0,35.0,0.0,4.0,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,1,0.64394,100.553
8,5.83333,0,1,0,35.0,35.0,0.0,0.856,5,0.06,0.25,69.21,18.43351,2.03653,0,37.5404,6,0.66417,78.419
5,5.55556,0,1,0,50.0,34.6,0.0,0.0,5,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,0,0.5,120.707
5,5.55556,0,1,0,50.0,34.6,0.0,2.0,5,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,3,0.5,127.02
8,5.55556,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,93.1417
8,5.55556,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,59.866,26.39749,1.96662,0,43.81105,0,0.4992,99.5483
8,5.55556,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.907,21.42811,2.10632,0,44.83815,0,0.46474,102.259
8,5.55556,0,1,0,50.0,50.0,0.0,20.5,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,104.723
8,5.55556,0,1,0,50.0,50.0,0.0,21.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,103.737
8,5.55556,0,1,0,50.0,50.0,0.0,22.0,5,0.1,0.3,60.907,22.01853,2.10632,0,44.83815,0,0.46474,105.955
5,7.0,0,1,0,91.0,7.6,0.0,0.0,5,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,77.6786
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,107.143
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,5,0.47904,90.5357
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,109.286
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,84.6429
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,117.321
5,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,5,0.41667,95.8929
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,126.429
5,7.0,0,1,0,91.0,7.6,0.0,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,96.9643
5,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.43077,129.643
5,7.0,0,1,0,91.0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,5,0.43077,103.393
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,130.179
0,12.0,0,1,0,60.0,60.0,0.0,4.39709,5,0.045,0.22,60.0,16.0,2.3,0,36.9,1,0.5,57.1649
0,12.0,0,1,0,60.0,60.0,0.0,3.29709,5,0.045,0.44,60.0,19.0,2.0,0,38.2,1,0.5,82.0
0,12.0,0,1,0,60.0,60.0,0.0,6.29709,5,0.045,0.66,60.0,22.0,1.8,0,39.8,1,0.5,87.0482
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,5,0.045,0.22,65.0,19.0,2.0,0,38.4,1,0.4055,81.0978
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,5,0.045,0.44,65.0,22.0,1.8,0,40.4,1,0.4055,86.9231
0,12.0,0,1,0,60.0,60.0,0.0,1.16746,5,0.045,0.66,65.0,16.0,2.3,0,37.2,1,0.38494,66.8675
0,12.0,0,1,0,60.0,60.0,0.0,1.29709,5,0.045,0.22,70.0,22.0,1.8,0,40.6,1,0.32607,73.0185
0,12.0,0,1,0,60.0,60.0,0.0,0.43598,5,0.045,0.44,70.0,16.0,2.3,0,37.5,1,0.30422,58.9231
0,12.0,0,1,0,60.0,60.0,0.0,0.29709,5,0.045,0.66,70.0,19.0,2.0,0,38.5,1,0.29872,82.0783
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.24,65.0,14.5,2.4,1,34.8,0,0.51305,62.2568
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.48,65.0,18.09524,2.1,1,38.0,0,0.5949,90.856
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.72,65.0,20.73684,1.9,1,39.4,0,0.62305,83.6576
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.24,70.0,18.09524,2.1,1,38.0,0,0.5928,81.5175
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.48,70.0,21.10526,1.9,1,40.1,0,0.58559,85.7977
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.72,70.0,14.66667,2.4,1,35.2,0,0.5605,66.1479
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.24,75.0,21.52632,1.9,1,40.9,0,0.48326,73.7354
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.48,75.0,14.70833,2.4,1,35.3,0,0.62249,53.3074
8,9.25,1,1,0,37.0,37.0,25.0,0.0,5,0.06,0.72,75.0,17.90476,2.1,1,37.6,0,0.54503,85.9922
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.56418,62.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.62554,90.9
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63455,83.5
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,81.4
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.58559,85.7
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.59114,66.2
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,73.5
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.60789,53.2
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.54503,86.1
5,1.5,0,0,2,21.0,0.0,0.0,0.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,0,0.43263,83.2288
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,90.7011
