Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
9.0,2,0,26.21913725482741,1.0,86.0,14.0,21.0,4,0.0,0,0.05513157894736841,12.0,52.118400015258665,27.32884658064516,0,1,0,3,5.0,5.675900990802856,6.0,1.938857678018576,50.83517557754501,94.45532300000002,6.2086702177155315,0.3216550648212433,0.20022483958332785,21.29384905074324
2.0,2,0,28.95365203607732,1.0,100.0,12.0,2.0,4,1.0,0,0.05513157894736841,3.0,57.0,27.32884658064516,0,1,0,3,6.0,9.810320717716163,7.503548112384179,1.938857678018576,56.13701055682669,95.39932100000004,8.478918865824749,0.5920646786689758,0.16456635394575864,13.411518159817062
4.0,2,0,25.011315162826424,1.0,34.0,4.0,4.0,4,0.0,0,0.05513157894736841,13.0,51.1281979660402,27.32884658064516,0,1,0,3,5.0,4.790714306904072,5.990769046121207,1.938857678018576,48.49338044078844,96.35393100000005,5.151403874306048,0.8026872873306274,0.18282317762497724,22.072277169748904
3.0,2,0,21.769388471576594,1.0,19.0,0.0,38.0,4,0.0,0,0.05513157894736841,6.0,55.79546231690732,27.32884658064516,0,1,0,3,8.0,6.572024055497775,7.0,1.938857678018576,42.20774598388535,94.31417700000002,9.992847094296113,0.07716802507638931,0.17322071716618392,27.001552600918494
9.0,2,0,27.899705674089056,1.0,51.0,2.0,23.0,4,0.0,0,0.05513157894736841,13.0,61.0,27.32884658064516,0,1,0,3,1.0,6.851954214988919,6.0,1.938857678018576,54.093558560666,94.45532300000002,8.19560487913038,1.001788854598999,0.21610491399987986,21.601347666823315
4.0,2,0,13.498948252809509,1.0,101.0,12.0,4.0,4,0.0,0,0.05513157894736841,16.0,64.47278260673828,27.32884658064516,0,1,0,3,5.0,6.374129463213942,7.0,1.938857678018576,26.17253946513516,96.30457200000002,8.478918865824749,0.5581517815589905,0.14001108661810718,21.097765807902483
4.0,2,0,39.2842762661749,1.0,31.0,3.0,23.0,4,0.0,0,0.05513157894736841,2.0,57.0,27.32884658064516,0,1,0,3,8.0,5.506546066755543,6.420083891812801,1.938857678018576,76.16662066407612,93.22204600000003,5.347460176279382,0.12123700976371765,0.18628717697334235,19.555254046164425
5.0,2,0,36.0,1.0,30.0,13.0,2.0,4,0.0,0,0.05513157894736841,18.0,67.51859545615513,27.32884658064516,0,1,0,3,2.0,2.9979732751214643,5.989911125475212,1.938857678018576,77.55430712074303,95.99554100000003,8.058470170552543,1.7303013801574707,0.15802906706452902,1000000.0
9.0,2,0,21.0,0.0,18.0,2.0,2.0,4,1.0,0,0.05513157894736841,18.0,55.33335836712377,27.32884658064516,0,1,0,3,1.0,5.276624760083674,7.0,1.938857678018576,40.716011238390095,94.253691,7.999548577157045,1.0681841373443604,0.21077155195839892,1000000.0
9.0,2,0,28.0,1.0,102.0,5.0,2.0,4,0.0,0,0.05513157894736841,14.0,62.0,27.32884658064516,0,1,0,3,1.0,4.143795415712952,8.0,1.938857678018576,54.28801498452013,96.95020000000004,7.999548577157045,1.4587405920028687,0.2220622075493054,1000000.0
2.0,2,0,21.0,1.0,36.0,14.0,33.0,4,2.0,0,0.05513157894736841,13.0,64.40757320636402,27.32884658064516,0,1,0,3,3.0,5.871681066259065,7.051374089406956,1.938857678018576,40.716011238390095,93.65048500000005,9.096405912334081,0.5138298273086548,0.17815294782991933,1000000.0
5.0,2,0,28.0,1.0,33.0,8.0,25.0,4,1.0,0,0.05513157894736841,14.0,69.0,27.32884658064516,0,1,0,3,5.0,3.537797949962388,6.0,1.938857678018576,54.28801498452013,94.23516400000004,10.200944502578638,0.9380366206169128,0.21124265680017124,1000000.0
2.0,2,0,38.97222733174282,1.0,91.0,4.0,12.0,4,1.0,0,0.05513157894736841,9.0,64.94414873574799,27.32884658064516,0,1,0,3,8.0,5.869851026573474,7.0,1.938857678018576,75.56160219163498,93.86938100000003,7.918332712270553,0.16462182998657227,0.19243211396493448,18.22320465613969
9.0,2,0,21.0,1.0,15.0,2.0,38.0,4,1.0,0,0.05513157894736841,15.0,52.0,27.32884658064516,0,1,0,3,5.0,8.838855490276462,7.538606327123153,1.938857678018576,40.716011238390095,94.49136400000002,8.161914822662416,0.08458985388278961,0.19192340931316493,1000000.0
2.0,2,0,34.54120560307254,1.0,123.0,2.0,22.0,4,2.0,0,0.05513157894736841,4.0,57.075268003840236,27.32884658064516,0,1,0,3,8.0,6.319931013394583,6.852850665928026,1.938857678018576,66.97048169153545,93.19424700000003,8.147214891873904,0.31129005551338196,0.19266756845878596,12.404003514089345
3.0,2,0,29.685355294155922,1.0,36.0,12.0,8.0,4,2.0,0,0.05513157894736841,8.0,69.0,27.32884658064516,0,1,0,3,0.0,7.10767348896436,6.353879845737448,1.938857678018576,57.555679036783594,94.30408100000004,8.446092988194733,1.2928253412246704,0.16896912380348736,25.657301355647075
9.0,2,0,34.45553735156081,0.0,91.0,8.0,2.0,4,2.0,0,0.05513157894736841,20.0,62.163227477566664,27.32884658064516,0,1,0,3,5.0,4.845424841907687,6.0,1.938857678018576,66.8043831443295,94.792546,7.999548577157045,0.9574294090270996,0.17454398401785162,20.58184567798582
2.0,2,0,30.845552596701705,1.0,96.0,6.0,22.0,4,1.0,0,0.05513157894736841,13.0,56.0,27.32884658064516,0,1,0,3,5.0,3.288909098617097,7.634040233420366,1.938857678018576,59.80513648484092,93.65048500000005,8.147214891873904,0.7629446387290955,0.1943512861107882,19.07442275231351
2.0,2,0,36.064770060435116,0.0,45.0,3.0,2.0,4,2.0,0,0.05513157894736841,28.0,61.0,27.32884658064516,0,1,0,3,1.0,7.354011274909462,5.242855851958731,1.938857678018576,69.92445633764909,93.42421199999998,7.951158589900569,1.4780960083007812,0.18679187643182948,23.67295604272332
4.0,2,0,36.0,1.0,88.0,0.0,18.0,4,0.0,0,0.05513157894736841,12.0,55.0,27.32884658064516,0,1,0,3,5.0,5.357796225286473,6.0,1.938857678018576,69.79887640866873,93.80366400000004,8.147214891873904,0.16307546198368073,0.18357054379893256,1000000.0
