Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,5.922328240449703,2.0,0.0,5.0,1.0,18.0,0,0.15181,27.32884658064516,6,36.159601482252,37.0,0,21.0,1.1072929262425548,4,98.0,7.096596276650484,3.0,65.0,1,1.411,51.02119769145757,110.18148000000005,8.371895738780387,0.5714786052703857,0.19482721013698892,22.571276719688253
4.0,7.0,2.0,0.0,1.0,0.0,7.0,0,0.15181,27.32884658064516,6,33.19275593040392,13.0,0,1.0,0.4314608131876796,4,18.0,9.015024256889875,0.0,55.0,1,1.411,46.83497861779993,110.64851000000006,8.45038473800894,0.6911823153495789,0.16427634648988246,24.538148592564504
2.0,6.2346100782863685,2.0,0.0,7.0,1.0,13.0,0,0.15181,27.32884658064516,6,22.766573505850545,30.0,0,31.0,1.1967736034717167,4,53.0,5.69152766041307,3.0,62.1270326151931,1,1.411,32.12363521675512,110.31584100000005,7.142532650653051,0.5611900687217712,0.21792407806837383,25.357981661092342
4.0,5.90690446155597,0.0,0.0,2.0,1.0,13.0,0,0.15181,27.32884658064516,6,21.563048852908473,18.0,0,11.0,0.7895739690671477,4,22.0,9.278296152116605,0.0,59.0,1,1.411,30.425461931453857,110.88673000000006,8.904796106513553,0.7763517498970032,0.2191673190623415,27.409066909463252
5.0,6.0,0.0,0.0,13.0,1.0,34.0,0,0.15181,27.32884658064516,6,29.949605204296876,51.0,0,16.0,1.0906018624118892,4,123.0,6.740929560991114,5.0,67.0276715875894,1,1.411,42.25889294326289,110.32385000000004,9.697000004726874,0.4574732482433319,0.21330719562254846,23.845059903630954
2.0,7.0,0.0,0.0,7.0,1.0,35.0,0,0.15181,27.32884658064516,6,16.60135187287541,46.0,0,2.0,0.3017476431582238,4,132.0,9.904330749729407,0.0,54.83797172360936,1,1.411,23.424507492627203,110.48487500000005,9.124849550852174,0.7572137117385864,0.15331767617035713,20.818280276054715
5.0,7.0,0.0,0.0,9.0,1.0,12.0,0,0.15181,27.32884658064516,6,11.0,43.0,0,15.0,1.3359727129925913,4,108.0,8.939496208288624,4.0,54.83561522972306,1,1.411,15.521,110.69257500000005,9.823762758488536,0.5896834135055542,0.1849025172248452,1000000.0
5.0,6.0,0.0,0.0,11.0,1.0,10.0,0,0.15181,27.32884658064516,6,23.305723954214724,9.0,0,10.0,1.7029647183546681,4,20.0,7.758758665634006,5.0,53.0,1,1.411,32.88437649939698,110.48817000000004,9.167004256558743,0.603441059589386,0.2429487836877629,27.195207978649385
5.0,7.0,0.0,0.0,10.0,1.0,8.0,0,0.15181,27.32884658064516,6,13.22862878844133,24.0,0,5.0,0.16436307354166235,4,30.0,7.5224057716567,5.0,65.45924112342334,1,1.411,18.66559522049072,110.09167500000005,9.480739964154346,0.4776405394077301,0.18584707398116698,19.508621201974687
0.0,6.0,0.0,0.0,9.0,1.0,4.0,0,0.15181,27.32884658064516,6,36.34132658549521,54.0,0,2.0,1.3864303408208511,4,121.0,2.9828167589326577,3.0,58.28136080310743,1,1.411,51.27761181213374,109.31851700000004,7.742335321780716,0.40716972947120667,0.21737395736178333,20.012718912778453
3.0,5.0,0.0,0.0,10.0,1.0,4.0,0,0.15181,27.32884658064516,6,24.791769885155773,76.0,0,29.0,1.9207617870697244,4,82.0,8.531401036881025,6.0,67.0,1,1.411,34.9811873079548,111.29649300000004,6.554729004555805,0.6419920325279236,0.21953609068144211,27.615723037186374
3.0,5.3553386213964576,0.0,0.0,2.0,1.0,38.0,0,0.15181,27.32884658064516,6,30.26242142624633,68.0,0,14.0,0.8362468284371893,4,102.0,9.248175755827901,5.0,60.674750620309425,1,1.411,42.70027663243357,110.84082000000006,8.858000576825242,0.4825435280799866,0.19425053479895665,25.80707273227844
3.0,8.0,0.0,0.0,15.0,1.0,19.0,0,0.15181,27.32884658064516,6,38.0,30.0,0,19.0,1.9945550302908452,4,79.0,8.979005177182819,6.0,55.0,1,1.411,53.618,110.90633300000005,9.12226227888176,0.5990402698516846,0.20984506538729952,1000000.0
4.0,6.0,2.0,0.0,9.0,1.0,19.0,0,0.15181,27.32884658064516,6,13.0,58.0,0,6.0,0.5626267949504495,4,79.0,4.819635568904558,5.0,62.48647551497595,1,1.411,18.343,110.09536100000007,9.109178388316748,0.38521724939346313,0.16216995409993712,1000000.0
4.0,8.0,0.0,0.0,5.0,1.0,21.0,0,0.15181,27.32884658064516,6,25.327577790337116,23.0,0,28.0,1.682228234785263,4,46.0,7.666343578833713,5.0,59.0,1,1.411,35.73721226216567,110.46197000000004,7.867429213883058,0.6000886559486389,0.23081651093463557,26.14779922577016
5.0,6.727806369563335,1.0,0.0,13.0,0.0,19.0,0,0.15181,27.32884658064516,6,21.779279404458574,36.0,0,16.0,0.26917192647930843,4,75.0,9.674799404323874,5.0,59.0,1,1.411,30.730563239691048,110.48130500000005,9.34286474631349,0.46558862924575806,0.18447442652992513,23.96692110619975
5.0,6.0,2.0,0.0,11.0,1.0,18.0,0,0.15181,27.32884658064516,6,17.01444535699228,29.0,0,28.0,0.7559563459345917,4,83.0,6.530137210839875,6.0,53.04815355292775,1,1.411,24.007382398716107,110.96149300000005,8.428715913938113,0.46374595165252686,0.1807027544737024,22.68152658838568
3.0,8.0,1.0,0.0,9.0,0.0,34.0,0,0.15181,27.32884658064516,6,11.925206147503513,21.0,0,8.0,0.6048149656695634,4,35.0,7.005304661138865,6.0,65.75966596195373,1,1.411,16.826465874127457,110.27744300000003,9.056925773097275,0.5089540481567383,0.15237634127968536,27.999063945059664
2.0,6.0,0.0,0.0,5.0,1.0,7.0,0,0.15181,27.32884658064516,6,10.376638275593418,15.0,0,5.0,1.3651241176854458,4,15.0,8.937044487277616,3.0,65.0,1,1.411,14.641436606862314,110.88137000000006,8.293081313960524,0.5961406230926514,0.1828794384217965,22.94576331408791
5.0,7.0,2.0,0.0,10.0,1.0,37.0,0,0.15181,27.328846580645163,6,15.891297515170951,36.0,0,21.0,0.8900097249320642,4,61.0,8.352089576113853,3.0,56.248219974583634,1,1.411,22.422620793906212,109.99804500000003,9.595523775795561,0.6011362671852112,0.1656512575972071,26.163378035319305
5.0,8.0,0.0,0.0,8.0,1.0,24.0,0,0.15181,27.32884658064516,6,16.759088575012356,64.0,0,6.0,1.806422265658293,4,130.0,8.730693711343914,5.0,55.980852875526075,1,1.411,23.647073979342434,111.04852000000007,8.95137539968831,0.574571430683136,0.20525538693752818,24.791029445181813
0.0,6.0,0.0,0.0,10.0,1.0,17.0,0,0.15181,27.32884658064516,6,24.41011996689344,40.0,0,28.0,0.3671179604437149,4,116.0,9.187953946572808,0.0,53.0,1,1.411,34.44267927328664,110.71978200000005,7.223537054719184,0.2999352514743805,0.20115605845602258,23.501357414818514
2.0,6.0,2.0,0.0,3.0,0.0,31.0,0,0.15181,27.32884658064516,6,27.06133499361257,54.0,0,27.0,0.5470920789245337,4,119.0,9.764349475398074,6.0,62.0,1,1.411,38.18354367598734,111.04338300000005,6.778721153785924,0.42244407534599304,0.16442452208292976,25.82613529783708
5.0,7.0,2.0,0.0,6.0,0.0,28.0,0,0.15181,27.32884658064516,6,34.28800346153434,52.0,0,29.0,1.6160879040454807,4,90.0,9.843298151598216,4.0,69.39116463860728,1,1.411,48.380372884224954,110.72610500000005,7.969443834085104,0.625092625617981,0.173289926066536,23.902638374298572
5.0,6.0,0.0,0.0,11.0,1.0,27.0,0,0.15181,27.32884658064516,6,24.57488356687645,47.0,0,12.0,0.6814381319063496,4,99.0,7.238910582978191,3.0,61.0,1,1.411,34.67516071286267,110.49353000000005,10.140049244049418,0.49724259972572327,0.23231372489257884,25.042137298766338
2.0,5.5386007435541025,2.0,0.0,11.0,1.0,27.0,0,0.15181,27.32884658064516,6,12.179179485806966,69.0,0,24.0,0.005103381297236753,4,82.0,8.790091723614442,4.0,64.0,1,1.411,17.18482225447363,110.80381000000006,7.7746960516629695,0.6221746802330017,0.16727078927965988,26.189664391260845
5.0,6.79698278454021,2.0,0.0,8.0,0.0,8.0,0,0.15181,27.32884658064516,6,19.82834842066075,55.0,0,3.0,0.22237318068714873,4,133.0,7.72235746664392,6.0,56.0,1,1.411,27.977799621552318,110.27455800000003,8.361659778814076,0.36322900652885437,0.16898235363738404,22.459762575094352
2.0,6.0,2.0,0.0,10.0,1.0,19.0,0,0.15181,27.32884658064516,6,18.136154237050157,11.0,0,1.0,1.228503263112087,4,13.0,9.163823617163677,0.0,62.0,1,1.411,25.590113628477773,110.88137000000006,7.903327139376695,0.8653897047042847,0.19257066394124578,23.79372623928711
2.0,7.0,1.0,0.0,2.0,0.0,35.0,0,0.15181,27.32884658064516,6,28.82695713807031,45.0,0,21.0,1.9064331663495224,4,46.0,8.28809685774946,3.0,59.29538015094985,1,1.411,40.674836521817205,109.58731500000003,8.93155427237848,0.5843678712844849,0.18087715662492027,27.844342482087804
5.0,7.0,0.0,0.0,6.0,1.0,10.0,0,0.15181,27.32884658064516,6,14.929504417078512,54.0,0,28.0,0.07526930543048649,4,68.0,8.014109425540854,2.0,53.0,1,1.411,21.06553073249778,110.68039000000005,7.290351753758573,0.7532661557197571,0.15699197606053936,25.60666056057255
2.0,6.02865763313531,2.0,0.0,12.0,0.0,16.0,0,0.15181,27.32884658064516,6,13.0,79.0,0,6.0,1.8976169445183033,4,109.0,6.53377797521087,6.0,64.06935429174021,1,1.411,18.343,110.31799300000004,8.3553864945791,0.5748303532600403,0.1553404232778915,1000000.0
4.0,5.760227114804003,0.0,0.0,13.0,1.0,38.0,0,0.15181,27.32884658064516,6,21.70992395082652,50.0,0,0.0,1.1421312265235706,4,75.0,5.628770157877029,5.0,62.83962915902299,1,1.411,30.63270269461622,110.09000100000007,9.434791854681684,0.5133097171783447,0.1829206944998714,21.257718863454315
4.0,7.0,1.0,0.0,1.0,1.0,28.0,0,0.15181,27.32884658064516,6,33.0,42.0,0,27.0,1.1684607959264057,4,50.0,9.53076935002902,0.0,61.0,1,1.411,46.563,110.59328500000004,8.670740153558217,0.7521784901618958,0.2136999430211598,1000000.0
