Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,7.0,4,9.0,68.0,0.0,9.0,2.755951035264088,0.0,1,0,33.64687217213286,2.147162565177521,0,39.0,0.0,13.0,30.0,1.0,27.32884658064516,29.0,1.1425469404342998,1.596639959668374,53.721940627881146,108.69778700000002,8.750366445057299,0.9235521554946899,0.26542574501633165,28.059348683156742
5.0,7.0,4,15.0,68.0,0.0,5.0,6.681850254193321,2.0,1,0,30.41484433584362,2.147162565177521,0,13.0,0.0,12.0,4.0,1.0,27.32884658064516,9.0,1.4115199805061618,1.596639959668374,48.56155583370123,104.326127,7.542690186522796,0.8823683857917786,0.25244659006916004,28.70338247257985
8.0,7.239452805744813,4,1.0,60.0,0.0,5.0,6.007985533682885,1.0,1,2,24.88437926065328,2.147162565177521,0,25.0,0.0,18.0,0.0,0.0,27.32884658064516,24.0,0.0,1.596639959668374,39.73139429910197,105.138914,3.85538114357398,1.1148176193237305,0.2099535933925859,28.779596573627668
12.0,6.0,4,10.0,58.073110061927835,0.0,2.0,4.475082322041924,1.0,1,2,37.0,2.147162565177521,0,43.0,0.0,37.0,0.0,1.0,27.32884658064516,19.0,0.0,1.596639959668374,59.07567850772984,104.87020799999999,2.9295610321651466,1.02888822555542,0.22655562975239918,1000000.0
0.0,6.4418225756133936,4,2.0,64.0,960.0,4.0,3.3074350619954354,1.0,1,1,25.0,2.147162565177521,0,89.0,35.93958685279698,22.0,38.0,1.0,27.32884658064516,28.0,1.3624914065950993,1.596639959668374,39.91599899170935,104.79292899999999,7.465817187096784,0.513730525970459,0.20129778643079133,1000000.0
8.0,7.0,4,15.0,58.545878765381175,0.0,9.0,5.433080446140161,1.0,1,2,20.00680257152551,2.147162565177521,0,38.0,0.0,14.0,0.0,0.0,27.32884658064516,25.0,0.0,1.596639959668374,31.94366045089361,107.15610699999999,4.312022984205653,1.1011073589324951,0.18876994752241166,26.663299804797333
2.0,7.0,4,12.0,51.0,0.0,9.0,6.753833100588909,2.0,1,0,24.583258712968725,2.147162565177521,0,35.0,0.0,21.0,17.0,1.0,27.32884658064516,31.0,0.8422254982856658,1.596639959668374,39.25061319999159,108.264899,9.069609680396471,0.9353068470954895,0.2307291189317658,28.873589936411186
5.0,6.0,4,9.0,52.45329756226205,0.0,5.0,7.171837886075796,2.0,1,2,11.407068047394208,2.147162565177521,0,50.0,0.0,10.0,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,18.212980667125887,106.6983945,3.14277298537902,1.0943846702575684,0.13614798542620613,22.753530366432063
3.0,6.529968164159101,4,7.0,58.2832366298116,0.0,5.0,3.9488993132626016,1.0,1,2,39.509224485241596,2.147162565177521,0,43.0,0.0,20.0,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,63.08200658864488,111.72971950000004,2.408368985286554,1.0807173252105713,0.22580692635601124,1000000.0
5.0,6.783460392566139,4,3.0,62.57745527073713,0.0,9.0,2.9800517861149753,1.0,1,2,14.171891129970135,2.147162565177521,0,69.0,0.0,25.0,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,22.627407682180102,107.27026099999999,3.4745598170354097,1.1021416187286377,0.14842259898063415,22.714575088130555
0.0,7.0,4,13.0,59.49559770642145,0.0,3.0,8.220605401068683,1.0,1,2,24.96906708288425,2.147162565177521,0,31.0,0.0,18.0,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,39.86661026017324,110.29510950000005,3.5993712582337083,0.41271039843559265,0.23571967908523905,27.788124449049114
13.0,5.568051209462172,4,6.0,69.0,0.0,4.0,3.863878641714096,0.0,1,2,16.37313115537477,2.147162565177521,0,29.0,0.0,12.0,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,26.141995467562573,110.104549,3.547656522975641,1.032109022140503,0.18780815672448858,28.229169815147078
8.0,5.298763006272511,4,3.0,56.86550538318959,601.0,2.0,3.403700042667168,1.0,1,1,17.50432691064385,2.147162565177521,0,29.0,27.482228618968374,16.0,11.0,1.0,27.32884658064516,29.0,1.4421071738698448,1.596639959668374,27.948107812632433,107.79896799999999,6.197292960811518,0.9676141738891602,0.18681901350901509,28.485047042202737
4.0,6.0,4,1.0,55.0,0.0,5.0,4.639168754900815,1.0,1,2,33.0,2.147162565177521,0,28.0,0.0,37.0,0.0,0.0,27.32884658064516,17.0,0.0,1.596639959668374,52.68911866905634,106.782619,2.885813207855049,1.0911638736724854,0.18657302944203777,1000000.0
5.0,8.0,4,8.0,59.0,0.0,2.0,3.7995544064693796,2.0,1,2,35.0,2.147162565177521,0,31.0,0.0,18.0,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,55.88239858839309,111.614901,2.6566935487868513,1.0964362621307373,0.18737669239305332,1000000.0
