Material_Main,V3_Ventilation Duration (min),Additive_4,Initial pH,V2_Ventilation Interval (min),M1_is Enclosed,Turning times,Compost volume (m3),Material_3,Application Rate (%DW),Additive_1,Material_2,V4_Ventilation Day,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW), Composting Method,Initial GI (%),Period (d),Additive_3,Initial C/N (%),Additive_2,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2,4.968366263260799,1,8.0,1392.0,0.0,19.0,0.06,3.0,2.689787391053925,16.0,0.0,32.0,69.08223600931399,0.9799367302822448,1.0,27.32884658064516,49.0,4,21.74608116762383,12.0,1,1.775,38.5992940725323,97.64790699999998,6.736552088024884,1.0395077466964722,0.17686666723528455,1000000.0
2,1.9295518072451179,1,5.0,1083.0,1.0,18.0,0.06,0.0,9.92164951732348,7.0,5.0,10.0,52.30442592679413,0.8222897343323676,0.0,27.32884658064516,25.0,4,11.935628654083775,7.0,1,1.775,21.1857408609987,99.03721699999998,7.76654189232992,0.4165511727333069,0.12965727579778144,27.124549056296143
2,2.79448468753404,1,6.82117980847932,165.0,1.0,28.0,0.06,2.0,7.343016227367641,15.0,6.0,55.0,62.0,0.9808232537295205,0.0,27.32884658064516,68.0,4,35.55162027712349,2.0,1,1.775,63.10412599189419,98.36055200000001,9.425073769104117,0.7455976009368896,0.18213452429737859,26.701414709656493
2,0.0,1,6.0,0.0,1.0,31.0,0.06,3.0,7.619402432174207,11.0,0.0,0.0,56.64718825609958,0.0,0.0,27.32884658064516,103.0,4,22.0,5.0,2,1.775,39.05,96.15890499999999,10.00258345480866,0.610651433467865,0.18950592875176225,1000000.0
2,1.4195365568887697,1,5.004562625946746,602.0,1.0,11.0,0.06,0.0,8.043527262931363,2.0,6.0,42.0,69.69356311048558,1.6900428596709318,0.0,27.32884658064516,99.0,4,25.0,3.0,1,1.775,44.375,98.36055200000001,10.329012005702879,0.7471796870231628,0.19476806285312803,1000000.0
2,0.0,1,5.0,0.0,0.0,20.0,0.06,2.0,8.654452790598244,33.0,3.0,0.0,60.352554836527204,0.0,2.0,27.32884658064516,32.0,4,29.4263776525209,0.0,2,1.775,52.2318203332246,95.81084699999995,11.068995285748368,0.6125074625015259,0.15849875416709341,27.709375081460383
2,1.7667319386350333,1,7.0,317.0,0.0,18.0,0.06,3.0,4.073765344794944,19.0,5.0,19.0,53.519910493812546,0.5621163908240574,1.0,27.32884658064516,30.0,4,31.96559106281007,12.0,1,1.775,56.738924136487874,98.15538799999999,9.703800292830515,0.7693989872932434,0.16134658111028377,26.046457598812776
2,0.5186011161897675,1,6.0,1107.0,1.0,4.0,0.06,0.0,9.56015249581187,25.0,13.0,23.0,64.0,0.5270024495908074,0.0,27.32884658064516,32.0,4,11.0,11.0,1,1.775,19.525,98.34755499999997,10.054446216956258,0.5310964584350586,0.12029560186915547,1000000.0
2,3.8062083569445115,1,7.4074908281768295,155.0,0.0,30.0,0.06,3.0,3.816406911496255,27.0,6.0,18.0,51.95598585258686,0.659000082672732,1.0,27.32884658064516,37.0,4,25.491115800566064,11.0,1,1.775,45.24673054600476,97.70150899999999,6.1367702786903715,0.958855926990509,0.15810168820754694,27.44353525124353
2,6.276685950382124,1,7.0,1364.0,1.0,14.0,0.06,2.0,4.373937460403462,12.0,2.0,43.0,55.92343238915225,0.8061171494391006,0.0,27.32884658064516,109.0,4,14.19089835616894,3.0,1,1.775,25.188844582199867,98.28469099999998,9.860508329386317,1.0711644887924194,0.14691463154383816,26.633092641042214
