V4_Ventilation Day,V2_Ventilation Interval (min),M1_is Enclosed,Additive_4,Additive_2,Material_2,Additive_3, Composting Method,Initial C/N (%),Application Rate (%DW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Initial GI (%),Material_Main,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,Material_3,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
16.0,1055.0,0.0,1,12.0,5.0,4,2.0,33.26751775705131,8.99247051597699,7.0,19.0,55.57373817736224,6.0,0.045,27.32884658064516,9,42.0,59.050819032858946,1,0.0,0.8499210250394351,1.97,65.53700998139108,95.40950399999998,7.70127906858741,1.1010640859603882,0.1532772080736109,24.777602739362607
61.0,588.0,1.0,1,6.0,5.0,4,1.0,25.635123536897225,3.186872262601209,7.857868499647469,15.0,64.0,12.0,0.045,27.32884658064516,9,88.0,58.332780158750815,1,9.0,1.6965694940777993,1.97,50.501193367687534,95.58447199999995,5.820975608373748,1.0486382246017456,0.1553259505014466,26.50366220724477
42.0,768.0,1.0,1,5.0,6.0,4,2.0,22.609938417938846,8.463860323368408,6.234291591309788,10.0,56.0,36.0,0.045,27.32884658064516,9,90.0,58.90988319337444,1,4.0,1.435228124800363,1.97,44.54157868333952,95.78780099999996,6.495804379168804,1.0859261751174927,0.13414782672704295,25.206521045633227
82.0,156.0,1.0,1,11.0,8.0,4,1.0,19.720446301101713,3.0499948180045093,5.561267930309715,10.0,69.0,31.0,0.045,27.32884658064516,9,82.0,59.43439778717213,1,0.0,1.1481014385250574,1.97,38.84927921317038,95.75735899999997,7.127383439973177,1.1584426164627075,0.17119089059053913,29.48778879685955
23.0,193.0,1.0,1,7.0,0.0,4,2.0,13.047730363169748,6.201895016726629,5.861555496755134,29.0,64.0,7.0,0.045,27.32884658064516,9,58.0,57.10624654206318,1,2.0,1.8798754340602455,1.97,25.704028815444403,95.78826699999995,6.263051299204928,1.1039670705795288,0.15807343329553147,25.31674394344448
8.0,409.0,1.0,1,3.0,5.0,4,2.0,29.949441520858404,6.960051733667155,6.717799557552771,7.0,67.74425917606634,8.0,0.045,27.32884658064516,9,17.0,57.89760159203874,1,5.0,0.47443487165514675,1.97,59.00039979609105,95.60108999999997,6.1404141408259125,1.1217247247695923,0.20252533284993365,24.71382021522476
55.0,0.0,1.0,1,7.0,0.0,4,2.0,30.657829599275995,4.090919291782367,5.360511787125115,30.0,52.0,28.0,0.045,27.32884658064516,9,119.0,0.0,0,3.0,0.24925238635653124,1.97,60.39592431057371,95.11184200000001,2.0169579573789873,1.2653614282608032,0.19436427599795167,22.783729850908873
34.0,0.0,1.0,1,8.0,0.0,4,0.0,16.33168082563892,8.073808926742664,7.0,27.0,53.79835271946935,35.0,0.045,27.32884658064516,9,45.0,0.0,0,9.0,1.7774978169329603,1.97,32.17341122650867,94.930762,2.7445259940355657,1.2653615474700928,0.18612370581625626,30.573480504479654
30.0,1068.0,0.0,1,11.0,3.0,4,1.0,12.824707440921099,3.22388208732423,7.989059724160746,28.0,52.57884949680735,17.0,0.045,27.32884658064516,9,92.0,55.958757227725606,1,2.0,1.2200220530445338,1.97,25.264673658614566,95.03127999999995,5.446039268853105,1.1608786582946777,0.14894583033042152,26.04070660196983
20.0,468.0,0.0,1,6.0,6.0,4,1.0,14.0,5.64163912142833,7.0,21.0,52.58515982233489,10.0,0.045,27.32884658064516,9,60.0,54.36382792999561,1,2.0,0.4662285193354325,1.97,27.58,95.27924799999995,6.182556218602649,1.1039670705795288,0.15984616954247452,1000000.0
8.0,0.0,1.0,1,0.0,0.0,4,0.0,36.54500004839792,5.4055693808990695,7.041858074404667,3.0,65.21643132997292,28.0,0.045,27.32884658064516,9,25.0,0.0,0,4.0,1.366116533684834,1.97,71.9936500953439,94.94584800000001,3.164461395123936,1.3161472082138062,0.23804732313722432,22.6165564300624
31.0,209.0,1.0,1,10.0,4.0,4,0.0,17.0,6.233284365022338,6.0,3.0,59.0,19.0,0.045,27.32884658064516,9,62.0,57.579776347403396,1,4.0,1.737257057985107,1.97,33.49,96.04784699999996,6.1404141408259125,1.1039670705795288,0.14008239143566154,1000000.0
17.0,0.0,1.0,1,13.0,0.0,4,0.0,11.340108415515896,8.945765186465941,5.0,3.0,63.0,37.0,0.045,27.32884658064516,9,21.0,0.0,0,0.0,1.516992750598426,1.97,22.340013578566314,95.57716100000002,0.9220208963046905,1.378798484802246,0.1826799444368214,25.672714303020705
16.0,0.0,1.0,1,10.0,0.0,4,0.0,36.229628466347485,4.5833546367810385,6.697292977321059,2.0,51.0,20.0,0.045,27.32884658064516,9,33.0,0.0,0,5.0,1.3926592983693253,1.97,71.37236807870454,95.876591,3.312307882967884,1.2951544523239136,0.24735880480154585,22.239328595357097
48.0,0.0,1.0,1,5.0,0.0,4,2.0,29.0,8.288175382308474,7.0,18.0,56.0140167780729,33.0,0.045,27.32884658064516,9,65.0,0.0,0,3.0,0.7002706995067953,1.97,57.13,95.87626600000002,2.20445874576566,1.3415542840957642,0.19886662539901964,1000000.0
42.0,0.0,1.0,1,10.0,0.0,4,0.0,35.842370675120065,4.58346458620664,5.0,4.0,52.04566282138658,24.0,0.045,27.32884658064516,9,109.0,0.0,0,0.0,1.5281912230763526,1.97,70.60947022998653,95.52712200000002,3.1063068797373767,1.2951544523239136,0.245367316020005,20.367678622883915
70.0,1234.0,1.0,1,5.0,6.0,4,1.0,16.0,4.5017309806147185,7.525109925460862,15.0,69.0,20.0,0.045,27.32884658064516,9,114.0,58.093162929437085,1,2.0,0.1267826702629904,1.97,31.52,96.05736799999995,6.495431224066562,1.1083029508590698,0.13637251569276027,1000000.0
52.0,1382.0,1.0,1,2.0,5.0,4,1.0,28.917414010035195,5.25775702749879,6.0,23.0,54.0,12.0,0.045,27.32884658064516,9,66.0,57.42183827984931,1,9.0,1.399336322605453,1.97,56.96730559976933,95.88543399999998,7.185152526315969,0.8569865226745605,0.13406538179225602,25.03988584063224
22.0,0.0,0.0,1,8.0,0.0,4,2.0,26.852704579194747,7.94929372926163,7.0,17.0,58.0,12.0,0.045,27.32884658064516,9,38.0,0.0,0,3.0,1.588003836092545,1.97,52.89982802101365,94.94490199999998,2.995829064005949,1.293746829032898,0.23279509742779086,27.013013173889178
20.0,2.0,1.0,1,8.0,3.0,4,0.0,30.288561709142733,6.224004691122119,7.906704900873102,11.0,63.182387294497545,33.0,0.045,27.32884658064516,9,46.0,42.80925435723779,1,2.0,1.090874011269827,1.97,59.66846656701119,96.46618600000004,4.78531663953986,1.2155743837356567,0.22348623009294438,25.9685473034517
29.0,0.0,0.0,1,2.0,0.0,4,1.0,17.78593603290691,7.308880101618691,7.0,18.0,64.00264024467668,23.0,0.045,27.32884658064516,9,33.0,0.0,0,0.0,0.5795978476761579,1.97,35.038293984826616,94.851992,1.0857197728126526,1.293746829032898,0.24711992346912764,29.4856485497966
36.0,0.0,1.0,1,10.0,0.0,4,1.0,39.0,8.386436973193874,7.831158067510566,31.0,54.0,19.0,0.045,27.32884658064516,9,88.0,0.0,0,5.0,0.8719248942209645,1.97,76.83,95.52712200000002,2.421650777875568,1.293746829032898,0.2303878367665683,1000000.0
17.0,0.0,0.0,1,1.0,0.0,4,2.0,37.0,7.314235626371874,7.0,27.0,63.0,8.0,0.045,27.32884658064516,9,37.0,0.0,0,2.0,1.8676958296044357,1.97,72.89,95.52712200000002,1.4712075935378048,1.293746829032898,0.23731360531926307,1000000.0
54.0,0.0,1.0,1,6.0,0.0,4,0.0,36.79534400747712,6.43490746523769,7.0,19.0,55.79532555448273,20.0,0.045,27.32884658064516,9,111.0,0.0,0,9.0,0.32019726566986684,1.97,72.48682769472993,95.52712200000002,2.5796109883696707,1.2407937049865723,0.22775531477447153,23.66077506985942
44.0,815.0,1.0,1,11.0,2.0,4,0.0,20.771389498763284,3.3116186663554767,6.0,30.0,57.2451954769409,12.0,0.045,27.32884658064516,9,49.0,56.360129672734026,1,2.0,1.1949028215997424,1.97,40.91963731256367,95.00179899999993,5.077728260758256,1.1608786582946777,0.13710388193037415,1000000.0
59.0,734.0,1.0,1,11.0,3.0,4,0.0,23.0,6.448772280018247,6.0,1.0,69.66545469652557,33.0,0.045,27.32884658064516,9,114.0,57.32046346832525,1,0.0,0.4570188570167095,1.97,45.31,95.73934799999995,7.129868530680769,1.0888291597366333,0.10855800669977292,1000000.0
48.0,1265.0,1.0,1,15.0,6.0,4,2.0,34.601121448386,9.830139099325416,8.0,8.0,68.0,31.0,0.045,27.32884658064516,9,129.0,57.321510443639426,1,5.0,1.420808710060733,1.97,68.16420925332042,95.47653399999999,6.066639368463862,1.083540678024292,0.19136561235675797,25.754829127029872
14.0,812.0,1.0,1,6.0,4.0,4,2.0,37.0,2.037507371976541,7.0,0.0,64.0,30.0,0.045,27.32884658064516,9,17.0,58.72993330854844,1,3.0,0.8587613757256611,1.97,72.89,94.99978299999997,1000000.0,1000000.0,1000000.0,1000000.0
