Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
5,0,3,3,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,38.3
5,0,3,3,13,2,0,0,1.0,42.0,0,21.0,0.0,0.0,8.3,10.6,0.4,60.87,1.46,32.2
5,0,3,3,13,2,0,0,1.0,42.0,0,21.0,0.0,0.0,8.0,17.7,0.4,60.54,0.52,26.7
5,0,3,3,13,2,0,0,1.0,42.0,0,21.0,0.0,0.0,6.8,24.7,0.4,58.9,0.56,20.4
5,0,3,3,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,14.6
5,4,3,12,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,2.93,0.0,57.9,1.05,3.76
5,4,3,12,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,3.68,0.0,58.2,0.49,4.01
5,4,3,12,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,2.68,0.0,59.4,0.46,24.8
5,4,3,12,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,5.18,0.0,57.5,1.21,28.1
5,4,3,28,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,0.0,0.0,58.2,0.47,44.7
5,4,3,28,13,2,0,0,1.0,16.0,0,16.0,0.0,0.0,3.0,0.0,0.04,70.9,0.52,24.4
5,4,3,3,13,2,0,0,1.0,16.0,0,16.0,0.0,0.0,3.0,14.0,0.04,71.7,0.53,9.2
5,4,3,3,13,2,0,0,1.0,16.0,0,16.0,0.0,0.0,3.0,14.0,0.04,68.3,0.47,8.5
2,2,3,28,13,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,0.0,0.1,70.0,10.0,49.1
2,2,3,23,13,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,3.0,0.14,70.0,10.0,40.5
2,2,3,21,5,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,6.9,0.14,70.0,10.0,40.5
2,2,3,23,9,0,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,9.9,0.18,70.0,10.0,18.9
6,2,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,33.01
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,28.94
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.28
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,17.39
6,4,3,28,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,42.8
6,4,3,25,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,41.4
6,4,3,28,13,2,0,1,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.55
6,4,3,25,13,2,0,1,0.0,112.0,2,0.0,0.0,0.0,12.0,2.82,1.63,64.5,0.0,34.81
4,5,3,28,13,2,0,0,1.0,54.0,0,54.0,0.0,0.0,7.0,0.0,0.2,65.0,0.05,53.83
4,5,3,0,13,2,0,0,1.0,54.0,0,54.0,0.0,0.0,7.0,5.0,0.19,65.0,0.05,47.08
6,4,2,28,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,36.84
6,4,2,3,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,26.41
6,4,2,3,13,2,0,1,1.0,56.0,0,28.0,0.0,0.0,8.0,16.95,0.4,65.0,0.0,16.56
6,4,2,3,13,2,0,1,1.0,56.0,0,28.0,0.0,0.0,8.0,25.43,0.4,65.0,0.0,12.58
6,4,2,3,0,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.7
6,4,2,3,0,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.86
6,4,2,3,0,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,18.33
2,4,3,18,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.25,0.02,67.18,0.5,44.28
2,4,3,18,9,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.57,0.02,67.18,0.5,19.09
2,4,3,18,9,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,3.32,0.02,67.78,0.5,27.33
2,4,3,18,9,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,4.07,0.02,67.25,0.5,47.97
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,53.1
6,5,3,39,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,36.2
6,5,3,35,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.5
6,5,3,45,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,41.5
6,4,3,28,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,1.8,63.24,0.2,19.5
6,4,3,41,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.69,1.8,64.05,0.21,18.5
5,5,3,28,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.11,6.03
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.11,4.15
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.11,2.7
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.11,3.16
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.11,2.44
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.11,2.21
5,5,3,3,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.11,2.08
3,1,3,28,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,0.0,0.08,80.7,0.0,24.05
3,1,3,3,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,17.24
3,1,3,42,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,4.0,0.08,80.7,0.0,11.64
3,1,3,42,1,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,18.1
