Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N loss (%)
4,2,0,31,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,17.96
4,2,0,1,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,3.22
4,2,0,34,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,5.64
4,2,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.35
4,2,3,27,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.05
4,2,3,27,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.36
2,2,3,31,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,4.0,0.0,0.06,60.6,0.2,24.9
2,2,3,21,4,2,0,0,1.0,30.0,0,30.0,0.0,0.0,4.0,2.14,0.06,55.33,0.2,12.6
2,2,3,40,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,4.0,3.2,0.06,55.33,0.2,15.3
2,2,3,9,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,4.0,2.22,0.06,55.33,0.2,8.9
2,2,3,3,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,4.0,2.54,0.06,55.33,0.2,8.9
2,2,3,31,13,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,0.0,0.1,70.0,10.0,16.55
2,2,3,25,13,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,3.0,0.14,70.0,10.0,12.88
2,2,3,23,4,2,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,6.9,0.14,70.0,10.0,12.88
2,2,3,25,10,0,0,0,1.0,19.0,0,19.0,0.0,0.0,9.0,9.9,0.18,70.0,10.0,2.99
6,4,3,31,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.4
6,4,3,27,13,2,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.7
6,4,3,31,13,2,0,1,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,18.4
6,4,3,27,13,2,0,1,0.0,112.0,2,0.0,0.0,0.0,12.0,2.82,1.63,64.5,0.0,19.7
2,4,3,19,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.25,0.02,67.18,0.5,27.1
2,4,3,19,10,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,1.82,0.02,67.07,0.5,0.47
2,4,3,19,10,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.57,0.02,67.18,0.5,10.43
2,4,3,19,10,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,3.32,0.02,67.78,0.5,17.37
2,4,3,19,10,1,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,4.07,0.02,67.25,0.5,29.18
6,5,3,31,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,26.0
6,5,3,40,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,11.8
6,5,3,37,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.5
6,5,3,43,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.2
2,1,3,29,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.86
2,1,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.23
2,5,3,44,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.65
2,5,3,20,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.45
5,5,3,31,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.11,1.02
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.11,0.2
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.11,0.11
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.11,0.11
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.11,0.06
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.11,0.04
5,5,3,4,13,2,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.11,0.02
2,3,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.2
2,3,3,24,8,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,32.8
2,3,3,24,7,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.6
2,3,3,24,5,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,3.5
3,1,3,31,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,0.0,0.08,80.7,0.0,11.4
3,1,3,4,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,8.14
3,1,3,41,13,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,4.0,0.08,80.7,0.0,4.23
3,1,3,41,0,2,0,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,7.93
6,5,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,32.5
6,5,3,14,9,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,14.5
6,5,3,15,11,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,16.0
6,5,3,5,11,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,13.3
