Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),CH4-C loss (%)
5,0,0,6,4,0,0,1,0.0,77.4,2,0.0,0.0,0.0,14.8,0.0,0.4,66.36,0.0,0.4
4,3,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,0.02
4,4,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,0.2
4,1,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,0.15
1,2,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,0.34
1,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,0.27
1,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,0.2
1,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,0.12
5,4,0,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,0.06
5,3,2,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,0.05
5,4,0,9,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,0.02
5,3,2,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,0.03
0,4,0,6,4,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,0.2
0,4,0,6,4,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,0.3
0,4,0,6,4,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,0.43
0,4,0,6,4,0,0,1,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.16
