Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TC loss (%)
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,41.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,55.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,50.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,46.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,34.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,49.0
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,42.7
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,51.0
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,50.7
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,41.6
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,54.0
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,50.3
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,45.6
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,33.8
5,4,1,8,6,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,48.9
3,3,1,8,6,0,0,2,0.0,87.0,2,0.0,0.0,0.0,14.0,0.0,0.14,66.86,0.0,63.12
3,3,1,8,6,0,0,2,0.0,87.0,2,0.0,0.0,0.0,14.0,0.0,0.14,66.86,0.0,69.28
0,3,1,8,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.45,52.9
0,3,1,8,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.47,55.63
0,3,1,8,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.45,55.11
5,4,1,8,6,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,63.64
5,4,1,8,6,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,63.16
5,4,1,8,6,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,63.33
5,4,1,8,6,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,62.73
5,4,1,8,6,0,0,1,0.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,52.88
5,4,1,8,6,0,0,1,1.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,51.81
4,4,1,8,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,50.26
5,4,1,8,6,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,66.0
5,4,1,10,6,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,59.5
5,4,1,10,6,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,60.5
5,4,1,10,6,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,55.3
5,4,1,10,6,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,44.3
3,4,1,8,6,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,41.19
3,4,1,3,6,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,38.64
3,4,1,3,6,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,31.45
3,4,1,3,6,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,25.78
5,4,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,46.9
5,4,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,53.94
5,4,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,67.74
1,2,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,52.8
1,0,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,59.4
1,0,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,62.5
1,0,1,8,6,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,60.1
