Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Application Rate (%DW),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TC (%),CO2-C loss (%)
0,20.0,0.0,10.0,1.0,0,4,11,27,4,1,13,0.0,0.06,1.0,20.0,10.0,0.42,1.45,60.22,29.35,7.53,42.38,36.4
0,20.0,0.0,15.0,1.0,0,4,11,27,4,1,13,0.0,0.06,1.0,20.0,5.0,0.84,1.45,60.22,29.35,7.53,42.38,32.5
0,21.0,0.0,0.0,1.0,0,4,11,27,4,1,5,0.0,0.06,0.0,21.0,0.0,0.21,2.34,55.0,11.5,7.26,26.8,28.58548
0,21.0,0.0,0.0,1.0,0,4,11,17,4,1,5,20.0,0.06,0.0,21.0,0.0,0.21,2.52,55.0,14.7,7.36,36.1,18.60004
0,21.0,0.0,0.0,1.0,0,4,11,17,4,1,5,20.0,0.06,0.0,21.0,0.0,0.21,2.52,55.0,14.0,7.21,35.3,16.72771
0,31.0,15.5,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,31.0,0.0,0.09384,2.1,65.4,14.2,9.1,29.7,31.5
0,31.0,15.5,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,31.0,0.0,0.15639,2.1,65.4,14.2,9.1,29.7,46.1
0,31.0,15.5,20.0,1.0,0,4,11,27,4,1,13,0.0,0.06,1.0,31.0,10.0,0.28151,2.1,65.4,14.2,9.1,29.7,40.9
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,35.0,0.0,0.2,2.77826,72.1,10.57997,7.82186,29.3939,39.47
8,35.0,7.0,0.0,1.0,0,4,11,30,4,1,13,10.0,0.06,0.0,35.0,0.0,0.2,2.59565,72.1,11.30095,7.57287,29.3333,36.49
8,35.0,7.0,0.0,1.0,0,4,11,4,4,1,13,10.0,0.06,0.0,35.0,0.0,0.2,2.6837,72.1,10.89254,7.78543,29.2323,33.38
