Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
10,9.33333,0.0,0.0,1,1,11,25,4,8,4,112.0,0.0,42.0,0.1476,0.0,0.26221,2.94985,1.6,6.8,66.1,20.20054,2.02
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,0.0,1.11111,2.0,1.84239,7.8,55.0,25.08996,1.8
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,0.0,1.11111,4.0,1.8587,7.8,55.0,25.00167,0.57
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,0.0,1.11111,6.0,1.95109,8.0,55.0,23.99361,0.41
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,2.5,1.11111,8.0,2.11957,8.0,55.0,22.31769,0.09
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,2.5,1.11111,12.0,2.27717,8.1,55.0,21.13909,0.02
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.13,2.0,1.11111,18.0,2.42935,8.2,55.0,20.40002,0.05
10,8.75,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.06,0.0,0.3,0.0,2.04,8.23053,69.2,18.4,1.5
10,8.75,0.0,1.0,0,1,7,13,4,13,4,35.0,0.0,35.0,0.06,0.0,0.3,3.644,2.04,8.02421,69.2,18.4,1.4
10,8.75,0.0,1.0,0,1,9,31,4,13,4,35.0,0.0,35.0,0.06,0.0,0.3,3.644,2.04,7.96947,69.2,18.4,1.2
10,8.75,0.0,1.0,0,1,9,4,4,13,4,35.0,0.0,35.0,0.06,0.0,0.3,4.07943,2.04,8.16316,69.2,18.4,1.3
10,8.75,0.0,1.0,0,1,9,13,4,13,4,35.0,0.0,35.0,0.06,0.0,0.3,3.88618,2.04,6.85368,69.2,18.4,1.0
8,7.14286,60.0,1.0,0,1,11,27,4,13,4,50.0,1.0,50.0,0.288,20.0,0.3136,0.0,2.412,7.82,67.71,21.24,0.6
8,7.14286,60.0,1.0,0,1,11,2,4,13,4,50.0,1.0,50.0,0.288,20.0,0.31724,12.0,2.53,8.01,66.08,21.21,0.47
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.12,0.0,2.56621,5.0,1.94767,6.60761,63.39748,26.64686,2.08
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.12,0.0,2.56621,10.0,1.94767,6.57182,63.28348,25.54809,1.976
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.12,0.0,2.56621,20.0,1.94767,6.38097,62.028,20.82237,1.976
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.12,0.0,2.56621,1.0,1.94767,7.07281,63.89748,25.56959,2.132
10,7.0,0.0,1.0,0,1,11,27,4,14,4,28.0,0.0,28.0,0.06,0.0,0.36,0.0,1.95,7.79826,62.06,17.91,0.0025
10,7.0,0.0,1.0,0,1,11,4,4,14,4,28.0,0.0,28.0,0.06,0.0,0.36,10.0,1.96,7.89913,58.69,18.23,0.0149
10,3.71429,0.0,0.0,2,1,11,27,4,13,4,26.0,2.0,0.0,1.2,0.0,0.0,0.0,1.69,7.56,65.0,22.46154,1.37
10,3.71429,0.0,0.0,2,1,11,2,4,13,4,26.0,2.0,0.0,1.2,0.0,0.0,15.67944,1.51,8.03,65.0,24.96689,0.71
10,5.73722,0.0,0.0,2,1,11,2,4,13,4,50.06058,2.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.35
10,5.73722,0.0,0.0,2,1,11,2,4,13,4,50.06058,2.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.38
10,17.5,30.0,1.0,0,1,11,27,4,13,4,35.0,1.0,35.0,0.06,30.0,0.38,0.0,2.22446,7.779,67.6,17.4312,0.57
