Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
0,0.0,0.0,1.0,0,1,11,34,4,13,4,15.0,0.0,15.0,0.0,3.66885,0.17,0.28276,72.3,1.35,23.33835,9.0,16.66667
0,0.0,0.0,1.0,0,1,11,34,4,13,4,15.0,0.0,15.0,0.0,7.0174,0.17,0.27016,71.3,1.31,23.45908,8.7,12.9771
0,0.0,0.0,1.0,0,1,11,34,4,13,4,15.0,0.0,15.0,0.0,10.35227,0.17,0.26561,71.1,1.25,25.88788,8.7,13.2
10,7.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,0.0,1.2,0.0,72.29741,2.01423,18.89189,7.61099,35.3
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,3.3,1.2,0.0,73.39741,1.79573,18.89189,7.61099,28.0
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,6.6,1.2,0.0,69.09,1.83439,18.89189,7.60854,21.2
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,9.9,1.2,0.0,64.55,2.14198,18.89189,7.39161,16.8
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,13.2,1.2,0.0,62.48,2.11601,18.89189,7.39161,14.8
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,16.5,1.2,0.0,62.22,2.11601,18.89189,7.53961,8.3
7,2.16667,40.0,1.0,0,1,11,27,4,8,4,13.0,1.0,13.0,20.0,0.0,0.06,0.72,55.0,3.2,12.8125,8.20028,12.84
8,2.0,0.0,1.0,0,1,11,13,4,8,4,22.0,0.0,22.0,0.0,2.25361,0.0035,0.87187,59.4,2.14,14.0972,5.51,16.2936
8,2.0,0.0,1.0,0,1,11,13,4,8,4,22.0,0.0,22.0,0.0,5.49018,0.0035,1.29982,57.5,2.15,16.63468,6.48,18.7427
8,2.0,0.0,1.0,0,1,11,27,4,8,4,22.0,0.0,22.0,0.0,0.0,0.0035,0.83456,58.2,2.13,13.34768,7.56,33.8826
7,0.25,30.0,1.0,0,1,11,27,0,4,4,45.0,1.0,45.0,17.0,0.0,2.4,6.67,55.0,1.09466,30.4875,7.87459,17.965
