Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),Initial pH,CH4-C loss (%)
10,14.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2,0.0,0.0,17.4,64.0,2.22,7.4,0.25
10,14.0,0.0,1.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2,0.0,0.0,17.4,64.0,2.22,7.4,0.36
8,5.57143,20.0,1.0,0,1,11,27,4,13,4,39.0,1.0,39.0,20.0,0.288,0.0,0.455,25.38104,68.07,2.089,7.57,0.147
8,5.57143,20.0,1.0,0,1,11,27,4,8,4,39.0,1.0,39.0,20.0,0.288,0.0,0.455,24.5692,68.53,2.247,6.95,0.135
8,5.69962,0.0,0.0,2,1,11,27,4,0,4,51.20889,2.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.32
8,5.69962,240.0,0.0,2,1,11,27,4,0,4,51.20889,1.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.064
10,8.0,0.0,1.0,0,1,11,27,4,13,4,56.0,2.0,0.0,0.0,1.2,0.0,0.0,18.98238,67.6,2.03974,7.36426,0.27
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,0.0,1.2,3.3,0.0,18.98238,67.6,2.03974,7.36426,0.1
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,0.0,1.2,6.6,0.0,18.98238,67.6,2.03974,7.46537,0.21
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,0.0,1.2,9.9,0.0,18.98238,67.6,2.03974,7.46537,0.31
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,0.0,1.2,13.2,0.0,18.98238,67.6,2.03974,7.46537,0.28
7,3.11111,0.0,1.0,0,1,11,27,4,13,4,28.0,2.0,0.0,0.0,0.13,0.0,0.0,30.8801,61.4561,1.667,6.54514,0.34
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.0,0.13,2.0,0.0,30.0375,60.661,1.668,6.85143,0.31
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.0,0.13,4.0,0.0,30.3496,59.7109,1.613,6.44457,0.24
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.0,0.13,6.0,0.0,30.568,60.4548,1.562,6.54057,0.25
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.0,0.13,8.0,0.0,30.8801,60.0684,1.563,6.49486,0.19
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.0,0.13,10.0,0.0,31.0362,59.4546,1.555,6.55429,0.17
10,0.0,0.0,0.0,1,1,11,27,4,5,4,96.5,2.0,0.0,0.0,0.4,0.0,0.0,6.53,77.53,1.90678,6.2,0.13
10,0.0,0.0,0.0,1,1,11,27,4,0,4,120.1,2.0,0.0,0.0,0.4,0.0,0.0,9.22,66.36,1.56389,7.41,0.4
8,0.0,0.0,1.0,0,1,11,27,4,8,4,50.0,0.0,50.0,0.0,0.03,0.0,0.22286,19.11,72.13,2.21,5.67,0.01872
8,0.0,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,50.0,0.0,0.03,0.0,0.20526,13.27,69.74,2.93,7.56,0.20265
8,0.0,0.0,1.0,0,1,11,27,4,4,4,50.0,0.0,50.0,0.0,0.03,0.0,0.21455,13.56,71.05,3.48,8.08,0.14782
2,7.0,60.0,1.0,0,1,11,27,4,5,4,28.0,1.0,28.0,30.0,0.06,0.0,1.20727,25.0,66.9,1.5,5.75,0.34
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,30.0,0.06,0.0,0.96434,20.9,58.6,1.7,5.36,0.27
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,30.0,0.06,0.0,0.85547,18.7,53.1,1.9,5.13,0.2
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,30.0,0.06,0.0,0.76023,16.8,47.5,2.0,5.04,0.12
10,0.0,0.0,1.0,2,1,11,37,4,13,4,56.0,0.0,56.0,0.0,1.37,0.32468,0.108,19.5,69.2,2.33766,8.6,0.06
10,0.0,0.0,1.0,2,1,11,37,9,8,4,56.0,0.0,56.0,0.0,1.37,2.06897,0.108,21.2,71.0,2.31034,9.2,0.05
10,0.0,0.0,1.0,2,1,11,16,4,13,4,56.0,0.0,56.0,0.0,1.37,0.0,0.108,19.6,70.3,2.22222,7.5,0.02
10,0.0,0.0,1.0,2,1,11,37,9,8,4,56.0,0.0,56.0,0.0,1.18,2.83688,0.108,19.5,71.8,2.30496,8.4,0.03
0,0.0,0.0,0.0,1,1,11,27,4,13,4,64.0,2.0,0.0,0.0,1.1,0.0,0.0,17.898,74.27405,2.04892,7.9,0.197
0,0.0,0.0,1.0,1,1,11,27,4,13,4,64.0,2.0,0.0,0.0,1.1,0.0,0.0,17.898,74.27405,2.04892,7.9,0.296
0,5.33333,0.0,1.0,1,1,11,27,4,13,4,64.0,2.0,0.0,0.0,1.1,0.0,0.0,21.63185,74.27405,2.04892,7.9,0.428
0,5.69962,1410.0,1.0,1,1,11,27,4,13,4,51.20889,1.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.164
7,7.5,720.0,1.0,0,1,11,27,4,13,4,30.0,1.0,30.0,10.0,0.1,0.0,0.00833,41.11596,60.0,0.77987,7.7987,0.049
7,7.5,720.0,1.0,0,1,11,7,4,13,4,30.0,1.0,30.0,10.0,0.1,10.0,0.00833,38.25338,60.0,0.78831,7.88312,0.05
7,7.5,720.0,1.0,0,1,11,2,4,13,4,30.0,1.0,30.0,10.0,0.1,10.0,0.00833,42.9974,60.0,0.77338,7.73377,0.028
0,0.0,0.0,1.0,0,1,11,27,4,13,4,20.0,0.0,20.0,0.0,0.06,0.0,0.21,29.35,60.22,1.45,7.53,0.15
0,0.0,10.0,1.0,0,1,11,27,4,13,4,20.0,1.0,20.0,10.0,0.06,0.0,0.42,29.35,60.22,1.45,7.53,0.13
0,0.0,15.0,1.0,0,1,11,27,4,13,4,20.0,1.0,20.0,5.0,0.06,0.0,0.84,29.35,60.22,1.45,7.53,0.21
0,0.0,0.0,1.0,0,1,11,27,4,5,4,21.0,0.0,21.0,0.0,0.06,0.0,0.21,11.5,55.0,2.34,7.26,0.00012
0,0.0,0.0,1.0,0,1,11,17,4,5,4,21.0,0.0,21.0,0.0,0.06,20.0,0.21,14.7,55.0,2.52,7.36,4e-05
0,0.0,0.0,1.0,0,1,11,17,4,5,4,21.0,0.0,21.0,0.0,0.06,20.0,0.21,14.0,55.0,2.52,7.21,4e-05
0,15.5,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.06,0.0,0.09384,14.2,65.4,2.1,9.1,0.05
0,15.5,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.06,0.0,0.15639,14.2,65.4,2.1,9.1,0.04
0,15.5,20.0,1.0,0,1,11,27,4,13,4,31.0,1.0,31.0,10.0,0.06,0.0,0.28151,14.2,65.4,2.1,9.1,0.05
10,21.0,0.0,1.0,0,1,11,27,4,13,4,21.0,0.0,21.0,0.0,1.2096,0.0,0.24,19.9,59.81,1.91,7.3,0.38
10,21.0,0.0,1.0,0,1,11,27,4,0,4,21.0,0.0,21.0,0.0,1.2096,0.0,0.24,19.9,60.21,1.79,7.86,0.43
7,1.0,0.0,1.0,0,1,11,27,4,8,4,15.0,0.0,15.0,0.0,0.018,0.0,0.9532,12.88,65.03,2.16588,7.88046,0.38776
7,1.0,0.0,1.0,0,1,11,2,4,8,4,15.0,0.0,15.0,0.0,0.018,29.0,0.90506,24.41,63.17,1.92582,7.88046,0.2855
7,1.0,0.0,1.0,0,1,11,2,4,8,4,15.0,0.0,15.0,0.0,0.018,29.0,0.88629,27.43,62.39,1.84851,7.69614,0.32892
7,1.0,0.0,1.0,0,1,11,2,4,8,4,15.0,0.0,15.0,0.0,0.018,29.0,0.89127,28.06,62.6,1.81596,7.88046,0.30074
7,1.0,0.0,1.0,0,1,11,2,4,8,4,15.0,0.0,15.0,0.0,0.018,29.0,0.8765,16.31,61.97,2.06009,7.88046,0.34662
7,5.69962,0.0,1.0,0,1,11,2,4,8,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.30362
5,6.42857,0.0,0.0,0,1,11,27,4,13,4,45.0,2.0,0.0,0.0,0.06,0.0,0.0,23.8,70.79222,1.79,8.2,0.22
5,6.42857,0.0,0.0,0,1,11,27,4,13,4,45.0,2.0,0.0,0.0,0.06,0.0,0.0,30.6,67.0005,1.45,8.4,0.19
10,17.5,0.0,1.0,0,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2096,0.0,0.0,17.26269,63.6,2.12625,8.11709,0.24
10,5.69962,0.0,1.0,0,1,11,27,4,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.32
10,5.69962,0.0,1.0,0,1,11,27,4,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.09
10,5.69962,0.0,1.0,0,1,11,27,4,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.01
10,5.69962,20.0,1.0,0,1,11,27,4,13,4,51.20889,1.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.03
0,0.0,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.01,0.0,0.43,16.5,83.0,2.60606,8.45,0.08564
0,0.0,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.01,0.0,0.21,16.5,83.0,2.60606,8.45,0.17394
7,0.0,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.01,0.0,0.48,6.1,71.0,5.77049,6.8,0.03724
7,0.0,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,31.0,0.0,0.01,0.0,0.23,6.1,71.0,5.77049,6.8,0.03629
7,5.69962,0.0,1.0,0,1,11,2,4,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.00574
7,5.69962,0.0,1.0,0,1,11,2,4,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.00447
8,5.0,720.0,1.0,0,1,11,27,4,13,4,45.0,1.0,45.0,20.0,0.12,0.0,0.32985,20.87533,65.0,2.12881,7.26608,0.14
8,5.0,720.0,1.0,0,1,11,28,4,13,4,45.0,1.0,45.0,20.0,0.12,5.0,0.34188,24.02493,65.0,2.07981,6.76797,0.06
8,5.0,720.0,1.0,0,1,11,28,4,13,4,45.0,1.0,45.0,20.0,0.12,1.0,0.43058,23.62663,65.0,2.08171,6.57881,0.05
8,5.0,720.0,1.0,0,1,11,36,4,13,4,45.0,1.0,45.0,20.0,0.12,1.0,0.33485,22.43681,65.0,2.12881,6.9256,0.02
8,5.0,720.0,1.0,0,1,11,13,4,13,4,45.0,1.0,45.0,20.0,0.12,3.0,0.39378,24.14319,65.0,1.95851,6.13745,0.04
8,5.0,720.0,1.0,0,1,11,22,4,13,4,45.0,1.0,45.0,20.0,0.12,3.0,0.33485,20.67287,65.0,2.12881,7.07692,0.08
8,5.0,720.0,1.0,0,1,11,4,4,13,4,45.0,1.0,45.0,20.0,0.12,5.0,0.34188,24.02493,65.0,2.07981,6.70492,0.04
