Initial pH,Initial GI (%),Turning times,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Material_Main,Initial C/N (%),Initial Moisture Content (%),Material_3,Additive_3,Period (d),Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Application Rate (%DW),M1_is Enclosed,Additive_2,V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
5.0,27.32884658064516,3.0,8.0,1.7562051868471131,1.0,8,41.04096639107223,52.0,5.0,4.0,63.0,17.0,1383.0,4.210797122302158,4.461494942551246,1.0,15.0,52.79161832627823,8.0,1.0,2.0,2.1457865217391303,88.06515252111143,93.24618400000003,10.318138206630538,1.139431357383728,0.1530697923404567,22.74312378713276
12.006439409095364,27.32884658064516,21.0,10.0,0.7495961819940806,1.0,8,39.0,75.73521325553835,0.0,4.0,62.0,34.0,457.0,4.210797122302158,8.445030679380928,1.0,0.0,55.37623213683652,13.0,1.0,0.0,2.1457865217391303,78.76977113661312,96.70459,12.577806744699817,0.8984426259994507,0.17267876779671756,1000000.0
10.867765117511523,27.32884658064516,11.0,13.0,0.635046262597994,1.0,8,44.816949710740104,67.0,9.0,4.0,36.0,15.0,627.0,4.210797122302158,6.967018562838173,0.0,3.0,23.63902335332935,12.0,1.0,2.0,2.1457865217391303,96.16760663476653,91.94574266666665,11.989107988648517,0.9100128412246704,0.15454889979310646,29.764238744346095
6.0,27.32884658064516,14.0,64.0,0.5380364634798276,1.0,8,10.0,65.0,0.0,4.0,81.0,8.0,1050.0,4.210797122302158,5.074918438019307,1.0,0.0,53.39461450827289,6.0,1.0,2.0,2.1457865217391303,80.4970253478645,93.44575699999997,10.260182089075714,1.1295340061187744,0.19261157473527107,1000000.0
8.0,27.32884658064516,11.0,73.0,0.008055760266290068,1.0,8,26.0,60.0,9.0,4.0,81.0,21.0,481.0,4.210797122302158,9.03430102828533,0.0,3.0,58.54989840726421,3.0,1.0,1.0,2.1457865217391303,75.8107282319996,91.76042800000005,13.5675522952243,0.8738037347793579,0.15197415492749466,1000000.0
11.756288215888244,27.32884658064516,21.0,0.0,1.4967489562834102,1.0,8,13.0,76.34229015444285,9.0,4.0,61.0,34.0,0.0,4.210797122302158,5.094742481547761,1.0,0.0,0.0,14.0,0.0,0.0,2.1457865217391303,80.97421711439435,91.87173966666664,8.390680835114537,1.0289866924285889,0.21596943013079248,1000000.0
11.505915397589813,27.32884658064516,7.0,7.0,0.5298986633347751,1.0,8,43.63118969951013,79.59566300003704,2.0,4.0,89.0,2.0,702.0,4.210797122302158,4.5367860736759145,0.0,9.0,54.49833222318624,13.0,1.0,2.0,2.1457865217391303,93.62321878465201,93.86834100000002,12.566540544666159,1.196221113204956,0.13474519583329875,22.62542537467798
9.862314843857849,27.32884658064516,1.0,27.0,0.5466163801700952,1.0,8,41.199711563291515,83.1309996993246,3.0,4.0,107.0,31.0,1097.0,4.210797122302158,7.7670589147040525,1.0,1.0,52.562723613962355,6.0,1.0,0.0,2.1457865217391303,88.40578577205073,95.06257599999999,13.333382249115095,1.0887309312820435,0.12518739609401533,24.037709737106265
10.57168809788519,27.32884658064516,4.0,15.0,1.5610585257635474,1.0,8,27.0,64.51020221039528,9.0,4.0,18.0,37.0,1313.0,4.210797122302158,2.5422020052098206,0.0,0.0,55.50822541650731,13.0,1.0,2.0,2.1457865217391303,16.30077727036207,95.52310399999999,13.749191395271437,1.2825326919555664,0.1241196089289065,1000000.0
8.0,27.32884658064516,25.0,15.0,1.283212813276775,1.0,8,22.0,66.0,3.0,4.0,53.0,24.0,53.0,4.210797122302158,9.911547407185004,1.0,1.0,52.89556660474782,3.0,1.0,2.0,2.1457865217391303,16.030492222648896,95.461585,12.698635396732627,0.7899632453918457,0.2241480475229895,1000000.0
9.22113965185154,27.32884658064516,11.0,13.0,0.8501600926655373,1.0,8,36.0,77.48750310567468,4.0,4.0,131.0,37.0,790.0,4.210797122302158,2.0158764858619906,0.0,2.0,59.501434531182205,6.0,1.0,2.0,2.1457865217391303,28.57382999730494,96.320941,14.352483083788272,0.9039015173912048,0.15809110430722048,1000000.0
8.0,27.32884658064516,9.0,12.0,1.2694877895607182,1.0,8,43.625660565357755,64.0,5.0,4.0,75.0,31.0,990.0,4.210797122302158,8.867189298566265,1.0,1.0,41.208558930615624,3.0,1.0,0.0,2.1457865217391303,93.61135444311095,90.70070300000003,14.551362831079704,0.9439507126808167,0.17806415989752533,24.79918489075777
9.244228978330778,27.32884658064516,9.0,66.0,0.5232191210443193,1.0,8,42.07330356993166,76.24426220523257,3.0,4.0,119.0,34.0,2.0,4.210797122302158,9.078038354170754,1.0,0.0,59.32488044918635,3.0,1.0,0.0,2.1457865217391303,90.2803277253982,95.18274000000001,14.430534179046894,1.0200400352478027,0.2005648162285693,25.90388062175316
10.698930071087059,27.32884658064516,1.0,42.0,0.9219119698565781,1.0,8,18.0,59.0,2.0,4.0,61.0,17.0,1230.0,4.210797122302158,5.942713714583696,1.0,2.0,46.15721803312667,5.0,1.0,2.0,2.1457865217391303,40.24798202848847,92.83157500000003,10.414808206139906,1.0862932205200195,0.13997102797448505,1000000.0
8.862184835319647,27.32884658064516,24.0,39.0,0.6405465212528716,1.0,8,44.53301608492098,53.0,9.0,4.0,73.0,8.0,1272.0,4.210797122302158,8.285355437664224,1.0,13.0,56.178782565956894,3.0,1.0,1.0,2.1457865217391303,95.55834568741534,91.53400799999997,9.695744580805018,0.7389308214187622,0.16318537718499562,25.558605982592553
5.0,27.32884658064516,14.0,35.0,0.2662279842504729,1.0,8,18.0,69.0,9.0,4.0,83.0,36.0,1274.0,4.210797122302158,2.3578207331080927,1.0,5.0,52.55415128827127,14.0,1.0,1.0,2.1457865217391303,55.70873995653553,93.03741899999997,12.364757209295666,0.883643627166748,0.1736764568659133,1000000.0
8.081684574504171,27.32884658064516,16.0,41.0,1.7711796520909282,1.0,8,24.0,52.0,4.0,4.0,83.0,24.0,1162.0,4.210797122302158,7.830658056780563,1.0,5.0,54.782751636063985,12.0,1.0,2.0,2.1457865217391303,71.35068560102792,96.09349099999996,12.162945801859266,0.7623989582061768,0.17733114458086463,1000000.0
9.756982240262538,27.32884658064516,13.0,3.0,1.60054274407794,1.0,8,32.0,70.0,0.0,4.0,21.0,11.0,164.0,4.210797122302158,3.4516829288769513,1.0,0.0,48.906086450215994,13.0,1.0,0.0,2.1457865217391303,16.607828954745543,94.74935799999997,11.074127445440972,1.0155341625213623,0.17905927772820052,1000000.0
