Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,77.0,43.0,15.0,5.0,1.0,6,0.0,1.0,0.0,0.0,7.577925015553775,63.0,4.0,1.0672651151257102,4.0,11.0,0.15181,27.32884658064516,30.0,31.0,0.0,1.411,26.884713330541828,108.1459785,2.4937980888699474,1.1792184114456177,0.1941144780620495,1000000.0
11.655166861138191,53.0,0.0,29.0,9.0,1.0,6,2.0,1.0,0.0,0.0,5.829849717619133,76.02544948926646,4.0,0.0,4.0,11.0,0.15181,27.32884658064516,15.0,29.0,0.0,1.411,18.05302124411354,106.90220499999998,2.7900648953664327,1.135949969291687,0.18303232497179853,1000000.0
8.717846737541027,76.0,26.0,33.0,3.0,1.0,6,0.0,1.0,2.0,0.0,9.27158375052716,68.0,4.0,0.602519289511743,0.0,11.0,0.15181,27.32884658064516,18.0,27.0,0.0,1.411,45.25230756756107,105.94625299999998,2.586118976550512,1.4615329504013062,0.18659427555116043,1000000.0
10.22346255566055,82.0,43.0,35.0,2.0,1.0,6,1.0,1.0,2.0,48.76371182949087,2.4223523025896245,64.0,4.0,0.791851627615352,13.0,15.0,0.15181,27.32884658064516,33.0,31.0,376.0,1.411,52.484661087495475,105.01010349999997,4.706053885593908,1.3440829515457153,0.1273452894135187,1000000.0
8.0,70.0,0.0,27.0,9.0,1.0,6,2.0,1.0,2.0,0.0,4.430888952013712,80.33186800200721,4.0,0.0,13.0,11.0,0.15181,27.32884658064516,27.0,30.0,0.0,1.411,26.295010236864783,109.218702,3.400966583813751,1.462595820426941,0.19066183067534861,1000000.0
8.0,28.0,0.0,17.0,9.0,1.0,6,2.0,1.0,2.0,0.0,4.940425813614923,66.0,4.0,0.0,3.0,12.0,0.15181,27.32884658064516,6.0,31.0,0.0,1.411,11.808153293924603,110.60852900000003,2.882385783046997,1.4652765989303589,0.19162967812648776,1000000.0
8.819682340542125,89.0,17.0,30.0,3.0,1.0,6,0.0,1.0,0.0,0.0,7.873887161957638,69.0,4.0,1.6120829180400247,6.0,12.0,0.15181,27.32884658064516,18.0,25.0,0.0,1.411,46.46488199040913,104.15789999999997,2.4937980888699474,1.1932798624038696,0.21874587650666216,1000000.0
9.041950688834461,106.0,10.0,22.0,4.0,1.0,6,0.0,0.0,1.0,0.0,2.21804015963954,55.0,4.0,0.10728490714741001,14.0,5.0,0.15181,27.32884658064516,35.0,29.0,0.0,1.411,51.71980406015984,103.23995000000001,3.0704421542972686,1.1345628499984741,0.16266552503375212,1000000.0
6.0,39.0,0.0,18.0,5.0,1.0,6,2.0,1.0,1.0,0.0,7.045036496679314,60.0,4.0,0.0,8.0,12.0,0.15181,27.32884658064516,2.0,30.0,0.0,1.411,29.128385847586998,109.98589600000005,2.2679264629490627,1.3140987157821655,0.20418393419182446,1000000.0
10.719781349410209,20.0,19.0,30.0,9.0,1.0,6,1.0,1.0,0.0,10.181013666994447,4.391019574793978,60.0,4.0,0.1615653053089221,0.0,11.0,0.15181,27.32884658064516,27.0,30.0,43.0,1.411,17.836521033938578,107.85668149999998,4.4114501268128885,1.1323570013046265,0.16783096786364185,1000000.0
