Material_Main,Turning times,Intermittent ratio,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Material_2,Application Rate (%DW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial TC (%),Additive_1,Initial density (kg/L),Initial GI (%),Final GI (%)
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.66667,70.0,2.4,0.72,7.8286,35.2,0,0.25452,41.6342,66.1479
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,21.52632,75.0,1.9,0.24,7.50011,40.9,0,0.28466,43.7743,73.7354
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.70833,75.0,2.4,0.48,7.8286,35.3,0,0.27994,42.4125,53.3074
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,17.90476,75.0,2.1,0.72,7.8286,37.6,0,0.28592,46.6926,85.9922
3,0.0,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.12346,60.0,2.2314,0.82645,7.1,44.90358,0,0.3025,17.8712,97.0
3,0.0,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.01965,60.0,2.23068,1.64384,6.9,44.65753,0,0.30417,17.62688,106.28
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,15.04166,60.0,2.6237,0.8589,7.5192,39.4648,0,0.22888,18.448,75.0
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,19.96354,60.0,1.99111,0.92562,7.03311,39.7496,0,0.21239,21.0835,88.5
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,24.98683,60.0,1.60222,0.90323,6.67756,40.0344,0,0.21765,33.47,116.05
1,7.0,0.5,0,0,0,0,3,0,3,0.06,3,0.0,25.0,66.9,1.5,1.20727,5.75,37.5,0,0.55333,44.4,70.8
1,7.0,0.5,0,0,0,0,3,0,3,0.06,0,0.0,20.9,58.6,1.7,0.96434,5.36,36.1,0,0.51833,51.4,121.4
3,0.0,1.0,0,0,2,0,1,0,1,0.87401,2,0.0,30.3,59.79,1.147,0.15543,8.89,34.7541,0,0.41463,23.09146,107.576
3,0.0,1.0,0,0,2,0,1,0,1,0.87401,2,0.0,30.3,59.79,1.147,0.31087,8.89,34.7541,0,0.41463,23.09146,117.677
3,0.0,1.0,0,0,2,0,1,0,1,0.87401,2,0.0,30.3,59.79,1.147,0.15543,8.89,34.7541,0,0.41463,23.09146,88.3838
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,0.0,16.4,71.2,2.46,0.50062,7.43,40.344,0,0.38766,69.0167,101.1
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,12.96947,12.5,69.1,2.74,2.32291,7.19,34.25,10,0.25734,37.2913,65.5
