Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,57.9821
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,46.8214
5,1,7.0,0,91.0,0,10.0,0.0,0.0,8,0.25,0.01275,60.0,65.3036
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,58.9643
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,57.625
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,51.1071
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.77937,75.32,22.82
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.58699,69.37,43.09
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.80324,66.06,49.76
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.77937,76.28,23.45
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.60935,72.85,37.55
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.61862,63.45,57.58
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.59399,67.86,32.63
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.77937,76.28,36.19
6,0,11.66667,2,70.0,0,0.0,0.0,0.0,2,22.5,0.0,67.924,34.44421
6,0,11.66667,2,70.0,0,0.0,0.0,0.6,2,22.5,0.0,67.924,28.30697
6,0,11.66667,2,70.0,0,0.0,0.0,1.0,2,22.5,0.0,67.924,29.97245
6,0,11.66667,2,70.0,0,0.0,0.0,1.7,2,22.5,0.0,67.924,30.68183
6,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,2,0.77243,0.76419,64.04016,46.88991
6,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,2,0.77243,0.76419,64.04016,34.85462
6,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,2,0.77243,0.76419,64.04016,33.33327
