Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
5,1,7.0,0,91.0,0,10.0,0.0,0.0,5,0.25,0.01275,60.0,77.6786
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,107.143
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,90.5357
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,109.286
5,1,7.0,0,91.0,0,10.0,0.0,0.0,5,0.25,0.01275,60.0,84.6429
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,117.321
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,95.8929
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,126.429
5,1,7.0,0,91.0,0,10.0,0.0,0.0,5,0.25,0.01275,60.0,96.9643
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,129.643
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,103.393
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,130.179
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,5,0.045,0.22,60.0,57.1649
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,5,0.045,0.44,60.0,82.0
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,5,0.045,0.66,60.0,87.0482
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.22,65.0,81.0978
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.44,65.0,86.9231
0,1,12.0,0,60.0,0,60.0,0.0,2.79709,5,0.045,0.66,65.0,66.8675
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.22,70.0,73.0185
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.44,70.0,58.9231
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.66,70.0,82.0783
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,65.0,62.2568
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,65.0,90.856
