Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,64.1,1.6
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,71.3,1.5
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,75.7,2.1
8,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.54
8,0,7.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,0.81
8,1,7.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,0.96
8,0,14.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,1.05
8,1,14.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,1.07
7,1,5.57143,0,39.0,4,39.0,20.0,0.0,5,0.288,0.455,68.07,1.11
7,1,5.57143,0,39.0,4,39.0,20.0,0.0,4,0.288,0.455,68.53,1.37
8,0,7.85714,2,55.0,0,0.0,0.0,0.0,0,11.25,0.0,60.04,0.0397
8,0,3.66667,2,55.0,0,0.0,0.0,0.0,0,11.25,0.0,60.04,0.0169
7,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,0,0.77243,0.76419,64.04016,0.018
7,0,5.06243,2,43.71769,7,23.34776,3.82857,4.36513,0,0.77243,0.76419,64.04016,0.0066
7,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,0.5
8,1,8.0,0,56.0,0,0.0,0.0,0.0,5,1.2,0.0,67.6,1.0
8,1,8.0,0,56.0,0,0.0,0.0,3.3,5,1.2,0.0,67.6,0.79
8,1,8.0,0,56.0,0,0.0,0.0,6.6,5,1.2,0.0,67.6,0.74
8,1,8.0,0,56.0,0,0.0,0.0,9.9,5,1.2,0.0,67.6,0.68
8,1,8.0,0,56.0,0,0.0,0.0,13.2,5,1.2,0.0,67.6,0.86
6,1,3.11111,0,28.0,0,0.0,0.0,0.0,5,0.13,0.0,61.4561,2.05
6,1,3.11111,0,28.0,0,0.0,0.0,2.0,5,0.13,0.0,60.661,2.01
6,1,3.11111,0,28.0,0,0.0,0.0,4.0,5,0.13,0.0,59.7109,1.53
6,1,3.11111,0,28.0,0,0.0,0.0,6.0,5,0.13,0.0,60.4548,1.42
6,1,3.11111,0,28.0,0,0.0,0.0,8.0,5,0.13,0.0,60.0684,1.24
6,1,3.11111,0,28.0,0,0.0,0.0,10.0,5,0.13,0.0,59.4546,0.75
0,0,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.1
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.11
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.06
0,1,5.33333,1,64.0,0,64.0,0.0,0.0,5,1.0,1.157,74.0,0.06
6,1,0.0,0,25.0,5,25.0,30.0,0.0,5,0.06,0.08242,60.0,0.69491
6,1,0.0,0,25.0,5,25.0,30.0,0.0,5,0.06,0.82645,60.0,0.26553
6,1,0.0,0,25.0,5,25.0,30.0,0.0,5,0.06,1.64384,60.0,0.16811
8,0,0.0,1,109.6,0,0.0,0.0,0.0,5,0.4,0.0,77.53,0.02
8,0,0.0,1,109.6,0,0.0,0.0,0.0,0,0.4,0.0,66.71,1.1
8,0,0.0,1,109.6,0,0.0,0.0,0.0,0,0.4,0.0,66.36,1.2
8,0,0.0,1,61.1,0,0.0,0.0,0.0,0,0.15121,0.0,67.68,0.004
8,0,0.0,1,58.1,0,0.0,0.0,0.0,0,0.15121,0.0,66.26,0.033
7,1,0.0,0,50.0,0,50.0,0.0,0.0,4,0.03,0.22286,72.13,0.05951
7,1,0.0,0,50.0,0,50.0,0.0,0.0,5,0.03,0.20526,69.74,0.04235
7,1,0.0,0,50.0,0,50.0,0.0,0.0,2,0.03,0.21455,71.05,0.0336
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.8589,60.0,0.136
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.92562,60.0,0.214
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.90323,60.0,0.279
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.90909,60.0,0.315
2,1,7.0,0,28.0,6,28.0,30.0,0.0,5,0.06,1.20727,66.9,1.68
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.96434,58.6,0.69
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.85547,53.1,1.34
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.76023,47.5,2.36
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.9
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,1.1
8,1,0.0,2,56.0,0,56.0,0.0,0.0,5,1.37,0.108,69.4,1.13
8,1,0.0,2,56.0,0,56.0,0.0,1.7301,5,1.37,0.108,71.1,1.06
8,1,0.0,2,56.0,0,56.0,0.0,1.38889,5,1.37,0.108,71.2,1.02
8,1,0.0,2,56.0,0,56.0,0.0,3.7037,5,1.37,0.108,67.6,0.71
8,1,0.0,2,56.0,0,56.0,0.0,0.32468,5,1.37,0.108,69.2,0.81
8,1,0.0,2,56.0,0,56.0,0.0,2.06897,4,1.37,0.108,71.0,0.77
8,1,0.0,2,56.0,0,56.0,0.0,0.0,5,1.37,0.108,70.3,1.2
8,1,0.0,2,56.0,0,56.0,0.0,2.83688,4,1.18,0.108,71.8,1.03
0,0,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.11274
0,1,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.11492
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.06709
0,1,5.06243,1,43.71769,9,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.06553
6,1,7.5,0,30.0,8,30.0,10.0,0.0,5,0.1,0.00833,60.0,0.024
6,1,7.5,0,30.0,8,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.016
6,1,7.5,0,30.0,8,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.006
0,1,0.0,0,20.0,0,20.0,0.0,0.0,5,0.06,0.21,60.22,0.4004
0,1,0.0,0,20.0,2,20.0,10.0,0.0,5,0.06,0.42,60.22,0.534
0,1,0.0,0,20.0,3,20.0,5.0,0.0,5,0.06,0.84,60.22,0.6341
8,1,6.22222,0,56.0,0,0.0,0.0,0.0,5,0.1,0.0,67.70741,0.72
8,1,6.22222,0,56.0,0,0.0,0.0,15.0,5,0.1,0.0,62.32171,0.73
8,1,6.22222,0,56.0,0,0.0,0.0,10.0,5,0.1,0.0,63.24,0.45
8,1,6.22222,0,56.0,0,0.0,0.0,25.0,5,0.1,0.0,61.27,0.55
0,1,0.0,0,21.0,0,21.0,0.0,0.0,5,0.06,0.21,55.0,0.00623
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.00162
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.00224
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.09384,65.4,0.74
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.15639,65.4,0.83
0,1,15.5,0,31.0,4,31.0,10.0,0.0,5,0.06,0.28151,65.4,0.93
7,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,0.88
7,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,1.11
7,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,0.6
7,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,0.24
7,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,0.23
8,1,21.0,0,21.0,0,21.0,0.0,0.0,5,1.2096,0.24,59.81,2.3
8,1,21.0,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,1.24
5,0,6.42857,0,45.0,0,0.0,0.0,0.0,5,0.06,0.0,63.48,0.41
5,0,6.42857,0,45.0,0,0.0,0.0,0.0,5,0.06,0.0,63.48,0.09
8,1,17.5,0,70.0,0,0.0,0.0,0.0,5,1.2096,0.0,63.6,1.4
8,1,17.5,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.18,63.6,1.2
8,1,17.5,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.36,63.6,1.7
0,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.43,83.0,0.10748
0,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.21,83.0,0.11495
6,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.48,71.0,0.0821
6,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.23,71.0,0.1254
6,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.0394
