M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,2.0,27.32884658064516,4.0,1270.0,6.0,53.0,2.0,104.0,51.54669082672918,1.0,23.0,16.0,1.0,6.0,1.2349496936592437,1,29.0,3.7633197106863285,1.0,0.0996875,5.0,2.754411318174137,64.68822380237448,93.08344100000004,5.859562568380741,0.23111099004745483,0.15659118434289768,1000000.0
0.0,4.0,27.32884658064516,4.0,679.0,5.0,51.0,6.0,54.0,33.048982256662406,1.0,51.0,13.0,2.0,10.286901870880156,1.2103553284532353,1,16.0,4.732500470087458,1.0,0.0996875,0.0,2.754411318174137,51.20339806092096,90.14143200000004,4.818338462501911,0.24758169054985046,0.14052210433677972,1000000.0
1.0,6.0,27.32884658064516,4.0,0.0,15.0,50.0,2.0,70.0,0.0,1.0,0.0,21.0,1.0,5.0,0.0,1,31.87907138920211,7.010888698307879,2.0,0.0996875,5.0,2.754411318174137,109.26465261684632,89.54279800000002,6.175298271748462,0.2292976975440979,0.16885013117260905,1000000.0
1.0,6.0,27.32884658064516,4.0,1116.0,6.0,66.0,3.0,63.0,47.77988733705254,1.0,10.0,23.0,2.0,8.0,1.2990311571436308,1,32.0,8.532135905125273,1.0,0.0996875,0.0,2.754411318174137,68.48418401683465,90.94491700000002,7.19449181526757,-0.009391211904585361,0.169972934963636,1000000.0
1.0,2.0,27.32884658064516,4.0,509.0,1.0,78.056771892014,0.0,64.0,57.4133354964895,1.0,28.0,0.0,0.0,11.965298796127616,1.4480760740072445,1,23.0,7.689237125986684,1.0,0.0996875,3.0,2.754411318174137,84.16219297651978,92.52919200000004,7.520473363330569,0.25776389241218567,0.15259033016831566,1000000.0
1.0,4.0,27.32884658064516,4.0,1208.0,5.0,51.0,4.0,123.0,5.805550256304228,1.0,35.0,5.0,1.0,11.93022537549584,0.5895672274567221,1,41.085911661471435,2.2073216313335386,1.0,0.0996875,5.0,2.754411318174137,113.16750009785969,91.66460000000006,4.818338462501911,0.3670089840888977,0.15164785551137136,19.242296726309092
1.0,7.0,27.32884658064516,4.0,290.0,15.0,75.34069835689449,4.0,79.0,21.06726498589129,1.0,62.0,14.0,0.0,8.0,1.1645762526575556,1,16.0,9.258882692276838,1.0,0.0996875,5.0,2.754411318174137,107.43731578927274,91.15004300000004,6.164830147097844,0.2441883683204651,0.18562352160572582,1000000.0
0.0,2.0,27.328846580645163,4.0,352.0,10.0,70.56699157203924,3.0,89.0,4.992250414231729,1.0,26.0,12.0,1.0,7.0,0.39989092120097314,1,20.0,4.50448438647487,1.0,0.0996875,0.0,2.754411318174137,104.01455504947205,92.27337700000005,5.859562568380741,0.2794409394264221,0.1644020545831166,1000000.0
1.0,8.0,27.328846580645163,4.0,13.0,13.0,55.0,0.0,128.0,5.2854748017697855,1.0,40.0,3.0,0.0,5.0,1.9169974007216406,1,34.15896836636321,6.539388257881916,1.0,0.0996875,4.0,2.754411318174137,24.67868849804369,90.20302600000002,6.326642137222288,0.2512059509754181,0.16234363030319532,1000000.0
0.0,7.0,27.32884658064516,4.0,1214.0,2.0,69.0,0.0,128.0,40.66767566744341,1.0,21.0,27.0,1.0,8.074990363001627,0.48810800596109205,1,13.0,5.197056032702981,1.0,0.0996875,5.0,2.754411318174137,66.64051498772876,89.38432900000004,7.692723200101222,0.01427438948303461,0.12790849907862673,1000000.0
