Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,4.0,9.0,70.0,1.0,21.0,27.32884658064516,0.0,0.0,2.0,0.0,36.0,1.0,5,81.0,0.1188395774616069,0.0,3.417395529396789,0.314,5.0,32.0,117.0,1.4280600332415827,7.515786466400843,104.296108,6.7787356808719865,0.6527686715126038,0.20668661154677784,1000000.0
5.0,4.0,0.0,56.0,1.0,2.0,27.32884658064516,0.0,2.0,12.0,0.0,25.0,0.0,5,0.0,0.0,2.0,3.683754819186486,0.314,7.0,36.0,109.0,1.4280600332415827,31.050353397705937,108.757415,6.642142840338956,0.5684486031532288,0.16688900878120955,1000000.0
11.0,4.0,5.0,78.9435138167627,1.0,17.0,27.32884658064516,752.0,2.0,12.0,34.42020603626953,36.0,0.0,5,4.0,1.7526948734562882,1.0,2.682732570398848,0.314,6.0,40.94231779408411,30.0,1.4280600332415827,58.4680877100072,109.64323700000004,11.246702115833628,0.8329366445541382,0.17885793173164946,24.31760274039835
7.0,4.0,3.0,71.38840088740758,1.0,5.0,27.32884658064516,0.0,2.0,8.0,0.0,4.0,0.0,5,0.0,0.0,2.0,4.158409092654401,0.314,6.0,34.0,14.0,1.4280600332415827,37.89999524478432,110.92962800000005,5.542543232831523,0.6587847471237183,0.16436991945274626,1000000.0
2.0,4.0,0.0,50.0,1.0,30.0,27.32884658064516,0.0,2.0,0.0,0.0,31.0,0.0,5,0.0,0.0,2.0,2.6918455344507537,0.314,5.0,36.0,122.0,1.4280600332415827,30.12423465538657,108.43146300000002,6.642142840338956,0.5664579272270203,0.16429155199934856,1000000.0
8.0,4.0,5.0,67.0,1.0,29.0,27.32884658064516,0.0,2.0,2.0,0.0,17.0,0.0,5,0.0,0.0,2.0,3.4038612977601312,0.314,7.0,37.0,52.0,1.4280600332415827,51.96179483349537,110.63697800000006,6.565161149340946,0.6664850115776062,0.17905159142432533,1000000.0
15.0,4.0,0.0,73.32584225587156,1.0,22.0,27.32884658064516,0.0,1.0,6.0,0.0,20.0,1.0,5,0.0,0.0,2.0,3.587081362036159,0.314,6.0,43.38054675450637,118.0,1.4280600332415827,61.9500250402784,107.226701,6.6905328275954306,0.6020774245262146,0.22235525603151027,17.915638542309306
7.0,4.0,5.0,59.0,1.0,8.0,27.32884658064516,0.0,1.0,3.0,0.0,35.0,1.0,5,0.0,0.0,2.0,2.0990203821275966,0.314,5.0,36.0,43.0,1.4280600332415827,28.95482613171742,111.65130500000005,6.5675080327819595,0.465963214635849,0.2069374021361195,1000000.0
9.0,4.0,3.0,57.0,1.0,17.0,27.32884658064516,0.0,2.0,14.0,0.0,2.0,0.0,5,0.0,0.0,2.0,4.536474444426755,0.314,5.0,41.19339861363601,28.0,1.4280600332415827,58.82664619352281,107.56188500000002,7.188111752585724,0.5777148008346558,0.1108243638065867,26.21741679166326
11.0,4.0,3.0,78.74292341270888,1.0,23.0,27.32884658064516,0.0,2.0,14.0,0.0,7.0,1.0,5,44.0,0.18388281046646515,0.0,2.9544967319091864,0.314,6.0,37.0,45.0,1.4280600332415827,47.064121652996874,107.89955200000003,5.1128538434931405,0.674693763256073,0.19864301577596388,1000000.0
12.0,4.0,4.0,64.0,1.0,23.0,27.32884658064516,563.0,0.0,0.0,17.170498301790904,37.0,1.0,5,4.0,1.2051481307815144,1.0,4.103593835333755,0.314,6.0,40.0,14.0,1.4280600332415827,56.41906815743586,108.37867300000002,8.889357844194343,0.8329366445541382,0.17758190755156178,1000000.0
7.0,4.0,2.0,66.0,1.0,18.0,27.32884658064516,0.0,2.0,2.0,0.0,15.0,1.0,5,0.0,0.0,2.0,1.947744339722573,0.314,5.0,34.0,101.0,1.4280600332415827,42.663212376545424,109.76702600000003,6.5675080327819595,0.3858150839805603,0.20588570876970907,1000000.0
6.0,4.0,0.0,58.0,1.0,3.0,27.32884658064516,184.0,0.0,14.0,8.298836713908118,13.0,1.0,5,28.0,1.2188961411439059,1.0,4.07640754205344,0.314,7.000000000000001,30.12648041506419,86.0,1.4280600332415827,20.057985221151846,107.80557899999997,8.437215832011232,0.8717060685157776,0.19888068278401644,1000000.0
7.0,4.0,4.0,58.0,1.0,31.0,27.32884658064516,0.0,2.0,8.0,0.0,33.0,0.0,5,0.0,0.0,2.0,5.0771477248199925,0.314,5.0,31.0,33.0,1.4280600332415827,42.318809134716915,108.84224900000005,6.5675080327819595,0.6602253317832947,0.14677063521810435,1000000.0
13.0,4.0,4.0,66.0,1.0,21.0,27.328846580645163,0.0,2.0,3.0,0.0,13.0,0.0,5,0.0,0.6059368792725333,2.0,2.0428289082187012,0.314,11.93213331733413,41.46137401145855,38.0,1.4280600332415827,59.20933114904519,106.05381000000003,6.565161149340946,0.24766433238983154,0.17785074653556368,25.988179877436927
11.0,4.0,4.0,63.061277857005045,1.0,22.0,27.32884658064516,0.0,0.0,14.0,0.0,27.0,1.0,5,0.0,0.0,2.0,2.045544604016125,0.314,6.0,31.0,126.0,1.4280600332415827,50.76965918123025,108.469024,6.565161149340946,0.23781481385231018,0.2463980833870339,1000000.0
9.0,4.0,0.0,63.0,1.0,24.0,27.32884658064516,0.0,1.0,13.0,0.0,13.0,1.0,5,0.0,0.0,2.0,2.1065724778691655,0.314,5.0,44.964274287505205,21.0,1.4280600332415827,64.21168303369832,110.78882400000003,7.328542906046571,0.4319206774234772,0.23757317094572036,29.204538521355733
1.0,4.0,9.0,83.5959255272158,1.0,20.0,27.32884658064516,0.0,1.0,8.0,0.0,13.0,0.0,5,0.0,0.0,2.0,3.4647848662090244,0.314,6.0,36.0,76.0,1.4280600332415827,32.732632045290885,108.43442300000002,6.683555807408292,0.4068969488143921,0.16801884976607234,1000000.0
