Initial C/N (%),V4_Ventilation Day,Additive_2,Initial Moisture Content (%),Period (d), Composting Method,Compost volume (m3),Material_2,V1_Ventilation Type,V3_Ventilation Duration (min),Additive_3,Additive_4,Material_Main,Turning times,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V2_Ventilation Interval (min),M1_is Enclosed,Material_3,Initial GI (%),Initial pH,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
18.0,9.0,7.0,55.0,58.0,1.0,0.6277154746460176,3.0,1.0,11.08148407986394,4.0,1.0,10,6.0,1.7535100997290791,5.883758251831926,945.0,1.0,0.0,27.32884658064516,7.0,20.0,2.0952942734506244,56.14535053336782,97.67603699999997,7.009030016731061,1.3832411766052246,0.1612928490842594,1000000.0
32.0,41.0,5.0,67.0,63.0,0.0,0.6277154746460176,4.0,1.0,17.546809757617126,4.0,1.0,10,29.0,1.2226788524267487,2.1686309999864193,532.0,1.0,5.0,27.32884658064516,9.97177220936501,2.0,2.0952942734506244,27.85091069010821,97.44972799999996,7.565956813665233,1.354384422302246,0.16795909847117432,1000000.0
43.12910759753636,2.0,11.0,64.0,106.0,1.0,0.6277154746460176,14.0,1.0,19.856550179176683,4.0,1.0,10,6.0,0.5170842732114425,3.5126696021280095,252.0,1.0,2.0,27.32884658064516,5.0,21.0,2.0952942734506244,90.36817216815375,97.58556399999996,9.617292308535063,0.7111703753471375,0.1452976226763108,22.294301482963405
39.0,7.0,11.0,81.75205056680556,17.0,2.0,0.6277154746460176,0.0,1.0,31.159603524509482,4.0,1.0,10,14.0,0.37794271168335514,6.355689870087706,1043.0,0.0,3.0,27.32884658064516,7.0,31.0,2.0952942734506244,18.6463074479214,98.23847899999996,5.8910119252546735,0.6473987102508545,0.14968166547598577,1000000.0
29.85730846262047,1.0,5.0,58.362774007141645,126.0,1.0,0.6277154746460176,4.0,1.0,25.268401587889752,4.0,1.0,10,16.0,0.6574237929476308,6.921381707471963,862.0,1.0,0.0,27.32884658064516,6.0,23.0,2.0952942734506244,49.686357050839405,99.63481899999995,8.656136729945684,0.43456903100013733,0.16373817656284753,1000000.0
19.0,6.0,8.0,50.0,89.0,1.0,0.6277154746460176,5.0,1.0,29.11017125651405,4.0,1.0,10,1.0,1.9439038181166512,2.343572048600896,481.0,1.0,4.0,27.32884658064516,6.0,33.0,2.0952942734506244,36.33555954983568,101.41669099999997,9.429210190931544,0.7967183589935303,0.14444211996690895,1000000.0
10.0,39.0,8.0,60.0,48.0,2.0,0.6277154746460176,2.0,1.0,53.79318757342746,4.0,1.0,10,19.0,1.8372266508737627,7.7056186256761885,323.0,0.0,5.0,27.32884658064516,11.860431889134038,28.0,2.0952942734506244,40.70931034098853,96.45623199999993,6.338260761235066,1.2293405532836914,0.17102102162383334,1000000.0
17.0,0.0,6.0,71.5805087853237,40.0,2.0,0.6277154746460176,5.0,1.0,50.22306037725531,4.0,1.0,10,30.0,1.9760097045278917,3.5303250174069962,1369.0,1.0,5.0,27.32884658064516,10.574938627104448,37.0,2.0952942734506244,83.09872410968573,97.55462899999993,6.6133601536599205,1.1069940328598022,0.16835492972928004,1000000.0
39.0,16.0,11.0,54.0,117.0,0.0,0.6277154746460176,5.0,1.0,32.894380978158,4.0,1.0,10,8.0,1.4251665421450823,2.2393111676733257,377.0,1.0,9.0,27.32884658064516,8.845281430092095,35.0,2.0952942734506244,48.749749738435085,97.67147899999996,8.672359624799366,1.3321070671081543,0.17887438594310337,1000000.0
34.0,7.0,15.0,80.08373575036825,34.0,2.0,0.6277154746460176,0.0,1.0,1.122212153090505,4.0,1.0,10,0.0,1.6381505584646057,9.105498435038578,533.0,0.0,0.0,27.32884658064516,10.171183789727676,10.0,2.0952942734506244,49.94708695922565,98.44205999999994,2.5489479225060534,1.0290555953979492,0.14094277506250572,1000000.0
