Initial GI (%),V4_Ventilation Day,V2_Ventilation Interval (min), Composting Method,Material_3,Additive_3,Compost volume (m3),Turning times,Initial Moisture Content (%),Initial pH,Period (d),V5_Ventilation rate (L/min/kg iniDW),M1_is Enclosed,Initial C/N (%),Application Rate (%DW),Additive_4,Material_Main,Additive_2,Material_2,V1_Ventilation Type,V3_Ventilation Duration (min),Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
27.32884658064516,6.0,723.0,0.0,4.0,4.0,0.6292491869918699,5.0,79.93783193206698,6.0,14.0,1.661772308859566,1.0,13.0,9.603268135757304,1.0,7,1.0,12.0,1.0,55.191656525899496,36.0,2.4967368849582217,64.93027161056793,105.76454100000005,7.755731946336798,0.22602730989456177,0.11774723705391621,1000000.0
27.32884658064516,4.0,418.0,2.0,9.0,4.0,0.6292491869918699,8.0,69.0,10.856645823121909,13.0,0.8405408603643088,1.0,24.27065265024703,6.7648673392863765,1.0,7,9.0,12.0,1.0,33.49581909875517,23.0,2.4967368849582217,77.44891402742537,101.99160400000002,8.123783993663919,0.8395833373069763,0.19171930738147946,1000000.0
27.32884658064516,5.0,666.0,1.0,3.0,4.0,0.6292491869918699,22.0,51.0,10.07371698802243,45.0,0.6205864781421055,0.0,13.0,4.08014052236605,1.0,7,3.0,3.0,1.0,53.46249119771165,28.0,2.4967368849582217,32.42343346821672,108.34445800000003,8.825683858639735,0.3934166729450226,0.12719729443096642,1000000.0
27.32884658064516,56.0,1244.0,1.0,9.0,4.0,0.6292491869918699,9.0,59.0,9.784834482273013,116.0,0.0815728784634957,1.0,30.0,5.834431576231101,1.0,7,3.0,12.0,1.0,28.9341282341642,31.0,2.4967368849582217,76.76399128412069,101.8851256666667,9.305688202192492,0.33553147315979004,0.1362789151989653,1000000.0
27.32884658064516,43.0,1279.0,2.0,4.0,4.0,0.6292491869918699,11.0,78.89735828907064,9.855792263625197,94.0,1.3131080382311004,0.0,10.0,5.986969533395047,1.0,7,5.0,13.0,1.0,54.84724253474647,23.0,2.4967368849582217,51.60475268959862,103.17710900000002,10.223336912616894,0.33358871936798096,0.1474262868111728,1000000.0
27.32884658064516,21.0,250.0,0.0,5.0,4.0,0.6292491869918699,5.0,60.0,5.0,68.0,0.9944298071330786,1.0,28.999999999999996,6.701318872175527,1.0,7,2.0,0.0,1.0,29.340542885989603,10.0,2.4967368849582217,62.49997017335861,102.70228000000003,6.104175213578431,0.42415452003479004,0.20113929469506492,1000000.0
27.328846580645163,19.0,1383.0,0.0,9.0,4.0,0.6292491869918699,0.0,58.0,8.231187312853557,51.0,0.43087001608946096,1.0,23.0,6.087815296839718,1.0,7,12.0,12.0,1.0,57.22418907898228,35.0,2.4967368849582217,31.260784177956133,99.34383700000004,8.725464098029555,0.30784881114959717,0.15137279144161675,1000000.0
27.32884658064516,0.0,1205.0,2.0,9.0,4.0,0.6292491869918699,0.0,73.24319073348765,10.620445233320254,94.0,1.6445311118434915,0.0,38.0,3.8545485986082237,1.0,7,12.0,8.0,1.0,33.02266883839091,19.0,2.4967368849582217,34.006263836052675,101.92673900000001,8.269826086224777,0.19419372081756592,0.16171718514016806,1000000.0
27.32884658064516,62.0,665.0,0.0,0.0,4.0,0.6292491869918699,5.0,71.66949469199768,9.38576292817724,105.0,1.0795497761552322,1.0,17.0,8.880605054260494,1.0,7,3.0,5.0,1.0,25.572101878813214,15.0,2.4967368849582217,24.30335180690793,101.61354400000003,7.923455015957627,0.30648210644721985,0.16013805625462954,1000000.0
27.32884658064516,13.0,659.0,0.0,5.0,4.0,0.6292491869918699,8.0,62.50710527715669,9.79749456607738,116.0,0.835702333453324,1.0,36.0,5.309892856385739,1.0,7,5.0,12.0,1.0,33.169322027020485,13.0,2.4967368849582217,49.715336877781795,102.45462200000003,8.176421707687425,0.33553147315979004,0.15462953240661034,1000000.0
27.32884658064516,28.0,183.0,0.0,9.0,4.0,0.6292491869918699,3.0,73.65470653917741,6.0,93.0,0.931658304630357,1.0,38.0,6.79019157830508,1.0,7,3.0,4.0,1.0,43.04912364841762,31.0,2.4967368849582217,96.4440925082248,106.08102000000004,8.725464098029555,0.3022046387195587,0.18003501269526792,1000000.0
27.32884658064516,55.0,302.0,2.0,2.0,4.0,0.6292491869918699,1.0,62.0,6.0,79.0,0.5431649017655487,0.0,36.0,8.36093335877635,1.0,7,3.0,6.0,1.0,34.555336891701856,30.0,2.4967368849582217,34.11356836083532,105.85858200000006,9.571079173234702,0.29695945978164673,0.1210755076620068,1000000.0
27.32884658064516,48.0,807.0,2.0,5.0,4.0,0.6292491869918699,15.0,56.0,7.0,54.0,1.421500230925781,1.0,36.0,2.411578301612969,1.0,7,2.0,8.0,1.0,52.46401316746823,18.0,2.4967368849582217,49.75867242883546,104.15660800000003,10.988419566701891,0.2216816246509552,0.17051180320983503,1000000.0
27.32884658064516,62.0,1176.0,1.0,5.0,4.0,0.6292491869918699,0.0,64.0,7.0,110.0,0.015593373203732552,1.0,21.0,8.605601894691512,1.0,7,3.0,2.0,1.0,35.94554709235051,15.0,2.4967368849582217,15.32939559782072,105.74511100000001,8.43325146309708,0.589080810546875,0.16359317308563828,1000000.0
27.32884658064516,6.0,21.0,0.0,3.0,4.0,0.6292491869918699,23.0,70.70414417797014,7.0,74.0,0.06078029221107517,1.0,19.0,9.741092281458142,1.0,7,0.0,5.0,1.0,34.36024554203749,7.0,2.4967368849582217,54.35539849527788,108.3360306666667,10.233853908632966,1.0475497245788574,0.1943920729684512,1000000.0
27.328846580645163,17.0,938.0,1.0,3.0,4.0,0.6292491869918699,8.0,73.65610171029685,11.166984184525733,75.0,0.40788707462910034,1.0,37.0,6.034319015152285,1.0,7,5.0,12.0,1.0,37.418853316739614,34.0,2.4967368849582217,24.446168291473626,102.29086200000003,8.763933582510539,0.33553147315979004,0.15536423501690821,1000000.0
