Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),N2O-N loss (%)
23,2,3,4,1,2,85.90523907410035,48.9075951085292,-0.2504824154090919,196.84891491550675,13.34173994134663,1.5843904092178989,0.40785507962378653,49.003845648880194,3.542091104638039,1.5619894702930868,15.13610350805399,1,5.75683977915966,35.05802730702424,1,12.84580153630312,1.2558438537002177,906.0859595249262,488.9609109767375,2.2192572412433527,[1.8651511]
13,8,0,1,3,0,9.154052767481131,35.14202315559156,28.956481712394588,199.52495844578226,25.798330978659408,1.7948981516564977,0.31067766546820186,51.82237901590775,-0.07836920467181485,3.996868996085327,20.54971496601914,2,1.0649000106260387,1.4495954143695813,4,9.366939837438071,0.9170413464726019,561.5164281790072,215.20539055033007,1.273345614873566,[1.72673163]
4,6,3,1,1,3,21.142211522803,38.885243126093535,29.991025541113036,84.19311547214608,30.774365614197002,20.76719747851223,3.6726804813910894,70.68743037103515,5.657996357422924,0.3508764207605954,8.528725663088185,0,3.309402660649288,19.25285462907965,2,1.1537169187704517,1.1695804327253032,817.3825297209635,957.5385852730327,9.263900497443627,[1.72327432]
10,2,2,3,7,1,38.070501164285524,43.70030128064297,21.443002869330517,225.5997842459673,17.03790711139772,20.53370074075651,7.841636739823612,9.471407781025981,5.693762789136497,0.8225626289145577,11.123287697092152,0,2.5077258577255366,50.43084703685102,2,11.938831083851728,0.252177301629591,1275.459217171145,827.9616444760331,8.915544566694798,[1.65050997]
4,0,1,2,1,0,22.4780600434341,53.97989547941475,-0.6536348081007333,35.222411629910034,5.500276303094708,1.436391897930867,0.6916185971883562,21.793320199577284,1.0752594301933254,1.53013907425649,22.172441706739143,2,1.6460334466990956,40.87697966569315,2,8.96842253972887,0.5891536281231694,2844.6554778829436,419.3151078676334,9.053908498618686,[1.82800503]
18,4,1,3,1,3,38.975065901500706,8.498454049380417,7.072205661326064,162.501137038943,32.145771183028145,7.418021852176996,8.510698360852992,58.687236148342315,5.544849531277194,0.1236331619692291,6.030873408343218,2,4.310504639976614,25.494210845263922,0,3.677658765512901,1.3520981281886026,503.73824489262813,411.0793282638395,8.417967540626645,[1.70899835]
9,8,1,3,0,2,40.724012526980545,26.395759615426037,1.6884799051671715,184.30755806257224,0.7163124745715643,1.8793135941509385,0.5674579147855736,80.40143303907361,1.9843416734079486,2.405214419803508,2.2501091298393696,0,5.2655668958750415,26.208462049904693,1,0.5164765931191189,0.5686263199658712,3139.4488295252568,209.0517601179531,3.3172688101585615,[2.03804886]
20,1,0,0,1,1,30.330386703938988,20.289931751426955,12.967585483509692,7.164460577753172,32.6659518719946,10.234554478476264,6.849160838118102,34.49382504968935,3.2830758734316428,1.114805812020521,12.53280204376141,0,1.4576677948525587,43.66239431836264,1,10.706693448972675,0.9743378816559298,354.98338429842295,664.0640578357063,2.2646613653666154,[1.701385]
12,2,1,4,6,3,76.05412381844802,65.33047606342947,7.016340045763638,97.79654202006459,15.959461646999575,1.2343878261627705,0.040905755616156836,38.15358040127458,2.5213538281302212,0.6495538909158628,4.785441724428423,0,2.6015931655932,33.17536581626913,2,0.7720128480341947,0.18496014912998143,2148.4503804976953,9.058590080850365,8.774476813851098,[2.09451194]
20,5,3,1,2,2,76.79587315822725,24.976426016739126,14.778059683284198,30.77185479665713,27.3002800754041,26.881487917525472,10.478684578498887,23.161369891986535,4.463750043821972,0.3762653440520459,7.659742509662132,0,0.5112306078845241,43.7954456885622,2,2.0096248961977197,1.3487081885751293,641.3319431166258,970.5957205891376,4.795689776572513,[1.81169193]
