Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
25,7,4,4,8,4,109.1402981081995,19.196206100691096,55.95671156593407,198.56287722269593,3.288470014797202,30.95633705891497,3.53262207832096,74.28551562462812,10.958455942145623,1.250054010521569,30.099920140361753,2,7.890233576355754,16.334992773268144,1,8.670486646205068,1.9247387563618836,808.4314148886187,566.5342925679895,5.448401549120747,[26.70271]
22,7,3,8,6,4,53.352057268872315,64.6585785169043,19.157458099583458,117.79140972246833,7.402845015417783,10.995187568444132,1.8769888339606253,60.08098008624973,-0.5248371626189852,3.4407098357272616,3.359129584239845,0,5.48834346734516,53.19512542854166,2,4.8228277937714,1.0562667270120496,3258.9116618225044,360.43847908290536,0.6795850011732827,[25.745415]
42,6,1,3,4,4,106.63101952268721,36.77137589037201,46.29586830539148,127.91324168434195,17.292878001251484,25.65730992152934,10.026943763672099,55.50227018026094,14.301776066146644,0.6695193091386619,30.47656623863632,2,0.25074043601503565,14.662102573209163,1,4.415905710656514,1.6126151699634463,2418.039640854332,202.77949217090946,0.7604411330928372,[25.276648]
25,3,5,8,11,4,37.815031490861465,14.476307973974308,43.18608829460398,59.94441958545814,1.1837247763051528,16.240864940510416,7.712886292913211,59.93327843155365,6.5893559035148,1.8032888397496192,29.42017096161985,2,9.08081888725384,49.35337186007945,2,13.565372795106038,1.014696438335905,3374.0276359131076,629.9046945297453,2.1856890449156574,[29.971233]
1,4,4,7,5,4,104.69845218185145,31.783177356054182,26.12824069921143,120.46175658921452,23.552903611282773,35.88571113401294,0.19282513759481978,66.77697745209566,1.3972440911426927,0.6443459350142943,15.394611867460783,2,9.054097938091369,37.547438638632705,1,3.264986493155039,1.0009494362482787,2134.517550506704,487.1802898510567,8.953141662788772,[32.674065]
32,16,4,2,12,4,89.57256071391727,1.623617826642508,49.876349407203634,62.383806277644005,22.566467356066727,4.40310904383518,10.180667563313303,74.4336853281142,11.649350494002443,1.9299606659987865,1.477254477286684,2,1.8984302015515464,53.16555930576799,1,5.310618830172263,0.5803159699337699,2070.1128379697884,376.65526897475894,5.7579215575579195,[29.136408]
18,4,5,5,9,4,21.592353814429877,52.17142848583987,7.632509779867259,210.27975494014586,3.535930004699447,24.93839923378684,0.6616813530339684,3.8719383465379322,14.698303676582512,3.7620508108752406,43.18042374634322,1,8.946144699666283,32.61880899647107,4,5.987220471073573,0.21772035121575528,1773.0222895258503,45.53992146983503,9.397428397122294,[28.152115]
5,7,4,5,8,4,104.83904592416125,-0.5282496460445201,35.9332905553289,126.2663038151095,36.242097408997445,14.316547754858071,5.920978576824021,70.61073856040628,7.33289024666054,1.4266821821626017,20.980450411296623,2,1.5137685540036863,55.06290335910131,3,10.763840300114259,0.5212911438463135,1289.065888618774,111.30133434120359,5.252581478238742,[26.608784]
31,9,4,9,0,4,107.20306113736882,16.859360978019566,47.500676992609584,43.2103290136704,34.220527237477384,14.30721814404582,8.628055764019331,63.08017352538516,2.1445707804483356,4.224711645489388,14.466009391395076,0,0.38040049579234525,51.57048997102602,4,14.350521212593714,0.08790150675617792,1721.453451611845,656.7589325753904,9.367075605136488,[24.57447]
12,16,4,1,5,4,32.69762116262304,35.42869876857993,10.522644247121608,27.75867425213846,3.9596058017046563,25.323429951504995,8.529067113173296,13.968595928574164,11.378038657945485,4.072686904299932,42.728467233676994,0,8.818123450937012,44.92985918818468,3,4.5332327162198975,0.17339321012818218,1355.7156464269012,495.3281539844466,0.4131612276838701,[26.37496]
