Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N (g)
22,5,2,6,4,2,25.077221086253132,29.68730442407772,52.438832242138844,29.743610495658128,17.021497598462396,30.86228920703598,9.926291317910232,57.07833133898974,6.063897824618305,3.8913630030792716,24.642098643958285,1,8.053265950710378,24.645197433115978,4,4.3517948569369524,1.3466356935729062,3780.1503197126876,680.4609235041959,6.448585761204685,[13606.45209252]
7,5,0,5,0,0,55.683530341483106,51.14145341896213,20.16913036746925,134.5890575579111,14.415104178733378,2.6535049765564986,1.5344520073266354,14.341557106416033,14.863463679810842,4.038923737022838,35.71347425802377,2,6.099956636522898,26.92978678908951,0,12.097057034789053,0.5795178339918876,3912.1350021553926,647.5469320110105,10.101854786459533,[13623.30950756]
35,9,2,7,3,3,58.726678855389345,19.098497100354972,37.06504401474339,282.29895269959536,6.44729083311959,3.9588154410368057,7.1396445729928075,0.37425392577547273,15.77032217871865,1.3855338048375394,1.8958344602235595,0,3.8693029234734193,14.750825462783395,0,4.303295248320258,1.4622384920587839,3477.5741148118595,550.4324387472134,10.262853058681289,[11984.49727538]
4,1,3,2,2,3,23.746724915587333,5.6987035139334505,30.46505333166292,59.14416748339039,10.125483445471737,3.849229834793478,3.738072705919709,64.43611782399387,2.549839581120269,2.458450514740877,22.62565461769363,1,3.2687027789985645,17.315356270425504,3,11.088840197765677,2.079895648291672,3825.7163072599296,478.91422797886804,2.4895457771245124,[12304.48676255]
19,6,3,1,5,5,60.34646825940365,28.830820672792395,30.850947683259495,214.74728651380562,19.072961049033033,29.978004192479375,5.600764343539999,8.972284039520911,4.541882458579223,4.0881548401158865,0.9891040709258271,1,1.2723536825475221,38.835272538614,1,12.708562510677023,0.7348183689632707,3915.117275550997,426.31725026757454,9.116173633412204,[12127.37987294]
31,10,2,8,3,0,29.46913061709181,45.01582491207891,56.63753258643594,339.7525059757946,3.714702614370675,22.7795301010223,10.407333591926745,29.307486874655307,14.233513161849054,3.4101164452093906,10.458203112995562,0,0.8892162612415114,16.366165803336486,4,13.082785941939557,2.1678408320736673,3942.635106987104,643.0324390042459,10.805532946923206,[13299.28167255]
20,4,2,4,8,5,61.72182275359203,35.7472170710721,45.103787279365875,193.4410762124218,17.74753839022509,27.01100388166092,10.860670030644048,5.079845915329047,1.7093181207510182,3.4231510462307764,1.2795888969926403,0,0.01902302683646595,23.038083976128405,2,3.8714404705031975,2.148466440043716,3612.7434196363106,557.7228875931789,3.316212248297256,[12527.70337116]
23,4,1,4,1,3,58.07552593771622,16.07454203648752,45.10812968099876,47.62363232083049,16.890954509376897,18.294363350798292,9.972930066137266,6.771162649173043,6.374403650153279,2.2622605390239103,12.761621091348298,1,5.287583224878202,22.56282193791745,1,4.400263153520344,0.5088210580729605,3751.8465654078423,590.2698870224364,1.2037194597022756,[13742.40754735]
21,4,3,0,6,4,42.27828498909288,13.147944989991178,56.36405983479037,20.597842787556665,23.808933098161923,23.681467192540126,6.37304620027932,58.900658247378594,0.6067368056236582,2.0136430852230514,13.052412212613195,2,9.087692766233735,23.462514197193045,4,14.01478913634163,0.4545691098920303,3842.556105008122,618.0668097258092,0.030867333356595944,[13383.17260395]
12,8,2,6,5,6,57.36731759869304,27.25173127731007,35.56722670587132,76.65680964137287,21.488900088495416,2.5700352291104793,7.505975691126511,11.267992973532072,1.4777035039060364,2.7905694799871834,25.3435954730646,1,8.49394159789827,27.773625443485063,1,6.834340836869465,0.9418090678299437,3619.664308502028,681.3519753370587,6.258261921164639,[13552.23294715]
15,9,0,2,1,6,56.243079289103726,44.926469492927986,40.16146756720537,174.83538252888474,14.232064380760146,22.1684418024318,5.142710574582841,7.670956732481065,17.11498396966701,2.498851813137745,5.257077909314675,1,8.21140866123854,3.558316621156209,2,13.174963054892746,0.49249220455472403,3760.888276866881,586.3833626753546,6.332862448745454,[13455.18970595]
32,9,0,8,3,0,17.965236165023203,9.36062853953683,10.545451529811976,90.06605255102336,16.224248597254316,24.684412205169682,4.254479811339224,17.265208477422203,11.378582598065554,1.4916095915897425,3.5267241100012985,0,8.367314578780809,4.214882885179724,0,13.81321619905619,1.5856392153344583,3848.725336743791,369.5197584087155,3.0026935797872856,[13068.30168343]
4,6,2,0,7,2,15.0761102608483,52.56180368566968,35.12272306042243,137.01612228362674,14.708821997237408,19.12556247144519,4.277703343394066,15.012091963755992,15.441876305522399,4.20155829028613,15.802768565999395,1,6.9456036723014,26.370655803929708,1,5.692189535625192,1.0569452127075274,3798.045536356673,680.9663625948762,0.6308259883496928,[14329.30583412]
18,10,1,1,7,5,54.3247499722757,19.562046487160895,2.496195085138381,347.54955940692855,15.542155297463175,21.22969337227049,8.790278304601562,10.62085886461309,5.225740257712692,0.037774441092511844,6.151377934997165,1,3.441017004693178,31.529064224323136,3,12.729554279276044,0.9034937609330599,3724.2699185782944,591.3307321934468,6.1137702552248445,[12366.35949818]
29,1,2,2,7,2,17.36756568973066,0.2823128791411653,58.90700190341314,470.1670919348085,13.26518978513786,1.893753531140563,3.0181666473872637,2.7313028033716327,14.314108461683773,1.2960335555469056,0.3772201999969742,0,3.7375111145951894,18.14178712781326,0,13.199993104899551,0.5864597417389064,3633.8160681838804,593.4332763073693,7.084295612959937,[12613.0700588]
46,10,3,4,9,1,33.43412632335415,42.63012347370948,11.48392876870636,26.977806154104613,3.4076787044960968,12.045987733139228,7.563982071124948,10.022531637335504,9.91007159064955,1.792470573519102,5.375338033835693,0,0.07066154853902454,36.334665709675846,2,0.6390069141633485,0.12972860286585944,3716.605773885032,653.8991334751104,4.416501506084646,[14203.26781949]
28,0,0,0,3,2,45.348320672993324,61.37994404048374,48.12772547965205,149.87133652779477,3.2540095995203027,30.83397470300507,1.165423025530829,25.792040572113017,17.407084536783554,3.0158110909650007,9.490402913292822,2,3.302496207778247,8.942062022946613,3,8.417748246872824,0.020670751014291135,3791.6668886295074,604.377011619526,6.771393691896516,[13209.3557889]
