Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),N2O-N (g)
13,0,0,3,1,2,83.85673341141383,62.40161733931155,19.357622891662903,363.19949627970664,16.313854518618722,3.0549039184826787,9.45864918503265,64.89935944165946,1.9149327764835673,4.6826271026041315,2.702385292167731,0,5.602688471213143,31.728747489826493,3,11.1232715604721,1.168188815947747,3769.1963407064704,183.16363767120225,7.4187650959207625,[5816.44648255]
18,1,1,4,1,1,86.58794041836015,11.296503135073209,14.324776946158295,155.91062657611602,14.975876893313211,28.311685522711496,7.440312240995268,37.54432784652566,4.2899761600339605,2.4873782288726654,27.543643993326953,0,6.391658761209856,35.52780251233481,1,0.8493414146061408,0.22548107647960616,3779.4842759694493,112.58609830515887,3.3667658888448666,[5822.61031777]
10,0,1,2,0,4,33.11027071074462,7.259661111505028,14.568239504409327,329.1287792088638,14.285456103438225,27.723796517830678,6.910343202958006,36.771980736835914,1.0588602909896547,0.16460130609245305,32.2450069823025,0,5.969821591393425,45.02677879349887,2,1.9504634346902274,0.1622921615844937,3868.014913145431,640.0991007383416,2.493899365102255,[5816.54368735]
19,0,0,1,1,4,91.6558387551064,39.717971127764216,3.9237463076683365,169.78257664935867,18.449548100222586,25.801078553950944,10.79248542563545,31.185915960181184,5.847282076031089,2.9222821827746617,26.85465300871565,2,0.3526410276520324,49.45100229304282,3,4.293676358731911,0.979662085565318,3659.2942272978185,640.2872378151424,4.630203750561854,[5817.52130089]
0,1,0,1,3,0,98.20478459419519,2.437566465074486,25.16162602792314,425.6339171808069,15.096393804986372,10.042586934557809,10.357550212534129,69.1850253121254,2.011965314810592,4.495183701418493,22.894967937848087,2,2.8922195479591286,49.62940656756927,1,6.3198481303856475,1.1608820110903284,3469.951060798571,371.38075002513085,3.64108458070588,[5821.21538566]
2,2,0,3,3,3,84.52105074510284,59.048153512365154,18.344965204281895,296.79608248356163,14.760157796223956,25.268394551111847,7.514681004973952,49.91980001597759,4.973528982726197,2.715937799371464,10.778195471432198,2,3.8821547299734904,35.74148829557333,2,2.1195447842281325,0.1919112245753543,3508.397791805467,167.80647526825942,1.6624359715421322,[5822.71328134]
13,1,1,4,4,1,49.800254219321715,26.838037719191487,14.184958355310297,226.9275886767366,13.640319932505271,29.015957405298998,8.613144095217825,43.4208684688981,4.305820855977119,3.0305205419775736,11.936057763959884,0,8.608624438496006,25.31397550012062,3,8.244053449985804,1.312492327121921,3414.2358426159967,748.1426804634993,5.952247982750153,[5840.38181034]
0,2,0,0,2,4,109.19369171709143,2.933543195093926,22.4889983474288,332.12901656552305,15.72958469903557,29.268263330179604,7.84105986347842,60.88053152270212,4.072747025345966,0.5369581387671191,31.67838177679,1,1.9091396932395768,10.511752527941686,3,12.564405100507855,1.2696412411521496,3446.322838079074,407.7502957793175,6.58609664110426,[5834.93927209]
0,1,1,3,1,2,81.05353662391323,55.563594579151015,14.086558600724336,419.6878407280975,19.155914569458822,12.585853391497425,11.149684979576183,9.410388651848836,-0.8351484248860754,2.3398374725928615,6.041816691508466,1,5.344412565208634,40.73637001844938,2,3.7889884916320575,0.5892407309754704,3406.1323469821705,181.67805351105736,8.51137757044736,[5810.69457347]
16,2,0,1,0,1,109.44487704207535,38.20918789885127,7.860760743758509,30.491941285959047,14.51342117473873,22.12064771963537,10.195290503087787,9.036625383489348,1.0724060494131358,2.330631962881599,1.8837093735487458,0,4.066651945627561,23.866901127361086,0,0.9815975964440313,1.3177042820056029,3612.6906325186046,304.879785463956,9.349794117997321,[5833.53245478]
