Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TN loss (%)
30,10,4,8,1,5,87.10568828122628,22.102126005842084,23.182900688845763,27.518758899068548,38.36153246741523,24.55514012044745,1.5925218630424332,29.95032341195203,10.579044422507563,0.9525763333434117,9.390377965323513,2,9.843044960198231,7.961759089830682,4,2.75018999902084,1.7518031637093447,7498.198117754848,289.3880504946019,2.639938705912516,[54.09157072]
17,14,1,4,0,2,87.63343575084792,15.623296264095575,2.024102342271367,236.9213013181455,24.46844182664076,16.01474935196569,8.885763333892177,19.520361837636738,7.67751903061569,1.4091292604573613,37.61323434229413,1,10.552702894006298,4.736934537780618,0,12.763367734279994,1.5541908549316164,4380.480300214923,3756.755876501745,6.398079545822643,[57.43290801]
25,0,4,12,1,1,111.15456482052937,42.88705278813588,16.978097088099474,304.85348742260635,17.591845058232288,33.77674340075553,9.538157276045773,17.181172098248098,11.641927314122961,1.2122150929603384,34.74743369234929,1,9.969436782514313,4.603229572529989,4,11.898737164216962,1.6421388726172332,6252.604720847124,4140.948231806509,1.5754283053683498,[61.73163122]
0,6,2,11,6,3,98.96198404094083,20.703671591992773,28.96307465977412,183.3472044596492,5.064325299942601,32.970083093606064,13.887282415388759,4.916958003492145,14.225805325486442,0.7309776032747509,42.46837523156446,2,10.096379785130075,16.028443803640624,3,9.634539791703938,0.12038857468176632,17344.036302608914,6592.993192456872,5.859708210031621,[68.87766967]
7,9,2,8,2,4,99.21519814650257,14.640921247020502,15.021485500755574,142.98846720097634,24.46376805270217,7.851019974579671,5.189583957689476,31.838853084164764,5.218749920624665,3.500556835049765,26.879743876485556,0,10.172293200127276,18.28356447130012,3,5.874963522230844,1.2983413977253624,12328.956838411763,1869.68098016446,1.5263818547960415,[61.66255351]
28,0,0,7,8,4,46.95639941882838,17.617886068166207,30.023926357725227,332.5493639482124,26.57475507149966,0.4644692846217673,5.418009812963385,8.581682000499132,-0.7531716184244587,3.554465455432138,42.2170897302846,2,10.632958857316426,22.552800302811686,3,8.81778235560191,0.5590399463580478,530.2702478358923,333.899975347224,9.090480673725542,[53.15943397]
33,13,0,9,2,2,87.66636553620619,14.557063347724643,37.84700987983077,70.33331065540003,28.32375223376317,35.96520059856975,14.576776212545557,9.65430740890657,9.216192809535116,3.4913104251132143,29.944348673168694,1,9.012309162035201,46.97937290889275,2,3.268244094518144,0.008860463771767791,14416.942298470482,1003.115755835173,0.5207800718574972,[60.39556463]
27,4,3,9,0,1,92.11400023455883,9.65248254887997,10.54462346218692,68.28643048329221,37.925833413761666,21.956735331642935,11.049342285329388,38.6160636431068,6.109752724579406,0.6861315248013341,38.47917045537447,1,8.988369904023527,29.911611197206557,1,8.867175308590852,0.07429500018339229,9865.062711841914,771.8240589741188,1.5655936472616605,[56.0568868]
24,0,5,12,9,5,44.58092020834502,13.015512123843203,13.693882881934105,276.65887295490523,39.6606032628419,0.963438413101521,14.455331274584491,74.91539490801907,12.079842624338044,3.439961489719156,9.87677001247901,1,4.025933091315848,13.617816632412401,0,11.643653359644407,1.8970672192587705,12304.69334399093,4502.45727768641,2.480581556551773,[58.19622164]
7,5,0,12,2,2,103.49491843851379,42.5499355028824,19.1782466913956,97.37391262099754,38.82389824019946,0.5281362350887157,12.86126349818719,19.257218080421673,8.973265755294694,3.081325735402851,35.65575061338796,1,10.235914136972031,31.9524973014657,4,10.741126357023242,0.8375342608770496,16803.263065621697,3005.020105864695,3.3437993339642524,[66.28641815]
23,4,4,11,7,2,92.72347161752727,62.779450001183584,29.779475402970505,173.94157756511748,40.998166557883025,0.43053251743164167,5.0500867293611424,40.05465704952086,15.599008194906183,0.7829913412440683,7.877008221008594,2,8.642475046840046,25.931591869717565,2,6.773131790769188,0.05419927656659787,3593.1461369115154,5379.281813125669,6.487807244261123,[59.03838984]
41,15,2,6,6,2,92.21184182450273,55.59661173249628,21.17816501100847,36.504905657834186,34.10198488994365,23.143779235496538,12.541237436781412,15.746476634738379,3.0579657704136824,3.4681338610467844,35.7160624035238,2,8.448017328060994,54.49541025020318,4,12.265711714137538,0.5632633823239317,5216.07928752223,2070.5582150577548,2.8933907057413095,[61.6693101]
21,15,0,5,0,5,106.45340718997652,11.367148932463826,32.6818044686697,213.25219488851295,10.54946578229073,24.921063219000445,4.587742511029294,47.17790673568739,16.08170192981038,3.841544133978434,19.871475630478017,0,9.558200391858087,43.32976081159921,4,8.029935963778858,1.9095589400452355,9827.883492443392,5272.597331580516,5.766084328738178,[59.17929439]
15,9,1,1,11,5,88.21160757339828,32.829337304104946,10.478404609851003,52.50427743458627,11.809834890499015,3.0434468481967256,2.8170107400658644,38.347018800431634,9.741422107483473,3.048447446447127,23.429294795243706,2,9.756379660749607,1.973739718178007,1,7.4714033335784205,0.2818408341169387,4355.269312328499,4406.973008434129,7.504082340304064,[65.91671501]
10,6,5,0,9,3,108.47786039993608,55.12379178270117,-0.9697600679459585,204.39889602027117,33.7637652934104,0.8606554072665562,11.641583407113092,35.83949003481821,5.140772838979062,3.4635992771679023,35.973863335915965,2,9.217303229893334,37.193120820290765,4,5.698069447420443,1.983825968396449,5740.831609135586,1369.6135412120975,7.900368184518704,[63.6705795]
13,10,2,7,2,5,88.71258948970345,45.1900762720145,0.9905234088006398,158.07788484112194,23.508116154604558,5.482731298978139,14.106157488889568,15.289432941076859,14.955105358321418,3.83675839135172,0.19780462242459995,1,9.941958166030446,8.603266492430793,4,7.0596057453217,1.1098475782297765,11024.912870854012,4989.902158929136,8.46584719436864,[65.49400631]
13,12,1,9,5,0,88.01595468556535,28.14821868467742,35.50482293614187,83.79276492324415,23.548014052774988,14.783858658565029,12.122305304787671,18.92978333151575,7.411911136769149,3.0707705045011844,43.322912235748234,0,10.212500012384137,38.95536059383359,0,9.863290511739907,1.3898659879850062,15219.336679833841,4938.583194422657,3.064591990625892,[61.41187086]
28,7,3,3,8,4,100.1873827615667,17.390056504537867,13.82924702949993,200.90752923405572,30.289533017351843,13.362324571421512,1.6884618512744805,46.6963076394483,11.695583393801634,2.774102576529175,38.880448725567966,0,8.081114404035779,54.8024607694976,1,9.888351379600756,0.26196050416963196,14140.869739188145,71.3122297030805,2.999339293296249,[50.17673499]
0,10,4,6,10,0,89.39941949772899,59.30922383951769,22.85805361944057,226.80413387879264,1.937769397452286,23.573160629287642,11.892836888748677,19.90888555926601,15.688779575143485,0.16286766982774886,40.277864102699446,1,8.553337426100974,8.37543724434867,3,2.0892379430033223,0.28747860203280085,18462.79282260168,55.57452186030816,3.650462971376105,[67.40813417]
34,4,2,10,5,4,107.22121476943438,17.065403228149712,11.438632459533213,308.3050242675416,38.3347259743026,9.06678121395241,9.449327067636187,22.034472054223873,10.820170915003326,0.9875655713512701,29.513410310311507,0,9.30071926728675,44.15273500316557,3,12.688233533551136,0.015956145067087826,18616.42258693482,402.21810918999944,4.65806598605383,[62.10855508]
7,2,5,6,1,0,92.77545660051143,17.720956720292296,8.126366019385365,62.861712425083184,14.482657607576042,9.254235331351232,2.905001020384505,1.743984216752078,11.378591704414442,3.594923264912132,14.894515328581889,0,8.943668573026313,49.74248908522845,3,6.761940010788839,0.2597182007563459,3625.7861223023783,4307.542698098521,0.6190799625071077,[60.35687279]
31,8,1,5,2,1,109.36618141709452,49.98077660841526,17.528795107512487,306.1367856229824,36.82816148257538,21.57303787900712,12.03160143773342,1.8674881110888604,1.2233714250765373,0.35972504291853047,42.112643635919724,2,10.037873626764616,52.269945006638046,4,12.32739571342388,1.4639594960390776,15548.408077126871,2102.9451820972195,7.050044347863869,[58.4338607]
