Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CO2-C (g)
2,4,2,4,3,3,99.89490463005382,50.875343167301615,9.055500898233205,402.77929600355446,0.6146204551978437,5.768812525500126,2.2397067098943935,41.7003685089544,8.901907587217792,2.4607760710833477,29.55072969846009,0,7.14524379506198,46.019429121918954,2,4.21292215563711,0.7004581406338207,2271.8126277886313,515.7662416726147,7.317381241318977,[188297.28]
17,6,2,1,6,2,108.72841915027756,74.10597604212074,13.657237258038947,333.4487826100191,8.847009525307568,21.545289824600374,2.3113213206512433,18.084753223553687,0.38129156178162127,0.05630147714805129,31.580665800725246,1,5.227179787352989,15.426688453115753,2,3.4667175947436197,1.8258445800043823,1066.1266987401868,688.5536395059793,3.2990212983172493,[180574.98]
4,1,4,1,1,0,66.81077863046224,40.19357861421849,8.913500076582574,87.94146307201967,10.36803697149942,18.225478992108147,2.0488006787069195,67.68399830607925,17.072637249972104,3.1527334431363974,9.696492205170017,0,8.343567903523736,44.53098853910101,2,7.602511494691119,1.0621775968866227,1389.6673313033962,939.0522799642063,8.02894586301371,[195990.19]
14,1,3,3,7,1,62.542673181278445,67.85596030254843,12.508048308870789,404.2503807174641,7.1960692846465815,30.843088105979007,2.2490233573619207,31.472770141392132,3.7488747762280505,0.46523965748855245,21.278038475300335,0,7.229382142499382,1.248386538524946,4,3.928522814777076,1.5688335542280305,1000.3912703310626,567.1267414373485,9.660067335938175,[191228.36]
9,8,2,3,6,2,36.41490464217975,56.57294868188495,28.84393245290394,404.97965799050434,8.168814518563043,18.22986035170491,2.4746149180973886,76.08837348612124,12.842053662493377,2.858797727684421,4.7572922638077,0,8.94524782371282,24.08770008115394,0,2.414639388205878,1.9168477707394678,2364.733552770701,360.0542256649932,8.209381722284723,[190870.11]
24,6,3,4,6,3,53.939194086915464,65.45380130080252,19.963787138678676,55.05962147637047,10.947052339727101,4.137642657799701,2.2401632707585843,62.67463429155515,1.5003459622025517,1.2990020140182497,23.858508704188523,1,2.7478254749369153,0.9197155683538734,1,4.760149285592424,1.3362185776021227,2635.8427427880247,785.0943040331839,6.729510758425302,[185376.72]
21,7,3,5,4,0,49.7538525191102,9.467112503621285,1.2383752312321974,349.6286344839154,8.241124446022697,34.06218312785903,2.2522136514926037,69.04107075841694,3.383238242368841,0.7716352032850391,19.58341212436367,0,8.617142965998099,13.3049333186373,3,4.866580286618392,1.864211814890245,1679.8134241202988,549.6035691181812,5.545827260148449,[195244.02]
15,4,2,1,4,2,89.0392590509569,7.950116820103208,13.828170474770628,235.0568192295119,10.078253039628665,24.930235340430823,2.2943422109746625,36.47986670255668,0.7023508828497116,1.7232780452133705,18.202538461951956,0,6.193630640258276,26.556675023959507,2,0.12917124767369487,1.4591998543816382,1909.3931270991623,941.2506626580196,7.496335602087003,[186412.7]
1,2,3,4,5,3,87.35099804946843,61.11097204008091,25.66758055026887,3.6832611510845643,10.330960246578234,13.327342141786774,2.4956772332391184,53.68341212003758,9.638436815976187,3.5628194321335247,7.466653188961159,2,7.696932378972979,27.662599807311494,0,11.333373909409671,0.5197394352387674,2160.29910825689,399.3142848890977,4.361920520527448,[194185.75]
9,2,1,4,4,0,76.30416806420811,75.18565925377311,-0.14624924324510113,391.134164618792,6.945301997935645,8.093465384715765,2.4561374504003965,75.32126627183987,10.423591218378975,1.0130375035089627,31.615137944153968,1,0.32205543885583277,26.62331495969662,2,8.267821074305337,0.7127785978536842,2396.881270226683,869.9300408746624,7.9558161813288795,[193588.9]
14,4,3,1,5,2,66.89706228563735,32.613683465681724,15.607855893801375,72.44234897526704,11.44322489679278,12.730992626866072,2.0873078429239778,61.311156333655056,17.415982218728484,4.916480373272574,31.656913888711095,1,8.501338820377718,29.51156912927764,2,2.885865546683464,1.541891066053166,1335.1665307938215,643.8747559876698,3.445221272330061,[185105.08]
10,7,3,4,2,0,56.63911252468684,58.69765127001345,26.952186269592872,104.3803937163872,6.832543159709573,24.92321535387297,2.006993726940889,72.83155556299306,2.054289668046433,1.4717863262170314,11.489237989436038,1,7.566802473633321,14.193342113728729,0,3.67177678743576,1.4330076958908056,1972.635301651933,399.9576550723386,1.9115886316118516,[202753.52]
20,2,1,2,4,2,70.87885845755181,66.6706099451834,7.362081256644556,55.675232137296994,2.9352338836993077,7.781834378808942,2.454391617461524,73.51167887117057,1.0435176147735326,0.8452911949276568,28.569969596516753,1,7.800973765195168,35.695621274951506,1,2.8836853428247076,0.6806696814484683,2696.846582679372,625.5257933069468,1.8038967634440137,[193063.78]
18,4,4,5,0,0,78.71360269711977,53.39328107475423,0.9641976567706312,28.905371695773777,7.519404680452699,28.689796755201282,2.370423797404297,48.98895972679529,17.814696146771627,0.1956695109098846,20.101095402650014,1,7.3856100738147,19.8164298704061,0,2.3706386395142705,1.9491443584910932,2679.3297291708295,747.3128883333941,10.083341983446884,[198128.77]
24,3,0,5,3,0,69.33315417866515,20.240641700025595,7.0148471452584165,124.45881948554637,7.457954175055287,21.582828805032,2.086160307340814,22.970821396067368,6.549196125220423,0.9809561626077791,3.4367717446608115,2,8.266065966986698,14.701880241410787,2,1.0241275222859807,0.7178956938537676,1951.9370567066826,624.286127969415,5.198780667743516,[195536.58]
14,7,0,4,8,3,67.24132869109215,0.7986147411613627,13.889971962144239,52.65778221144235,10.170398436203378,10.631833460723975,2.288194395709197,41.83056668069637,14.485032043624535,3.162889047400079,27.685691939285505,2,6.07900791779874,23.615193246080658,2,11.337562350019093,1.4179763708470525,2557.297356760391,705.3575015682903,7.295933918341585,[186364.98]
16,2,2,1,1,0,105.21689818056215,50.76655538244367,19.75507488845632,342.83214280958873,2.7947142939642955,36.391688073995,2.2122182851755814,48.987923959808384,13.535839078161937,2.8119568707022395,1.7721080258593251,2,8.962839078258323,15.015400017446488,2,6.814684086784021,1.6782424254511217,2523.917282447074,515.4596530307815,9.328545212829097,[186354.45]
