Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TN loss (%)
19.0,19.0,0.0,0.0,9.0,6.9,0.5028000000000001,70.0,10.0,1.61,40.5
19.0,19.0,0.0,0.0,9.0,9.9,0.5328,70.0,10.0,1.61,18.9
35.0,35.0,10.0,240.00000000000003,6.0,2.386634845,0.187,58.1,5.966587112,1.8680998,33.01
35.0,35.0,10.0,240.00000000000003,6.0,14.31980907,0.187,58.1,5.966587112,1.7369734999999997,28.94
35.0,35.0,10.0,240.00000000000003,6.0,26.25298329,0.187,58.1,5.966587112,1.5455498,21.28
35.0,35.0,10.0,240.00000000000003,6.0,38.18615752,0.187,58.1,5.966587112,1.4885897,17.39
35.0,0.0,0.0,0.0,7.0,3.016290988,1.0,66.8467,0.0,1.6298,15.2
35.0,0.0,0.0,0.0,7.0,6.06463077,1.0,67.0219,0.0,1.62781,10.5
35.0,0.0,0.0,0.0,7.0,8.869232043,1.0,66.1752,0.0,1.62185,9.0
35.0,0.0,0.0,0.0,7.0,11.87687246,1.0,66.3211,0.0,1.62384,4.2
112.0,42.0,0.0,0.0,12.0,0.0,0.37700000000000006,65.4,0.256904303,1.4,42.8
112.0,42.0,0.0,0.0,12.0,2.949852507,0.37700000000000006,66.1,0.262209112,1.6,41.4
112.0,0.0,0.0,0.0,12.0,0.0,1.0664000000000002,64.9,0.0,3.4,46.54837872
112.0,0.0,0.0,0.0,12.0,2.816901408,1.0664,64.5,0.0,3.1,34.81424527
54.0,54.0,0.0,0.0,7.0,5.0,0.18768,65.0,0.05000000000000001,2.1275276207,47.08
55.99999999999999,28.0,0.0,0.0,8.0,0.0,0.39999999999999997,65.0,5.37e-05,1.5415893999999999,36.8405
55.99999999999999,28.0,0.0,0.0,8.0,8.477096966,0.39999999999999997,65.0,4.99e-05,1.2947124000000003,26.4139
55.99999999999999,28.0,0.0,0.0,8.0,16.95419393,0.39999999999999997,65.0,4.67e-05,1.4759448880000001,16.5561
55.99999999999999,28.0,0.0,0.0,8.0,25.4312909,0.39999999999999997,65.0,4.38e-05,1.5344041737,12.5751
55.99999999999999,28.0,0.0,0.0,8.0,9.042236764,0.39999999999999997,65.0,5.37e-05,1.2947124000000003,12.7014
55.99999999999999,28.0,0.0,0.0,8.0,9.607376562,0.39999999999999997,65.0,5.37e-05,1.4786124,9.85783
55.99999999999999,28.0,0.0,0.0,8.0,10.17251636,0.39999999999999997,65.0,5.37e-05,1.5272504,18.3255
35.0,35.0,0.0,0.0,9.0,2.25,0.02,67.01599999999999,0.5,1.9516000000000002,44.2829
35.0,35.0,0.0,0.0,9.0,2.5709,0.02,66.726,0.5,1.9516000000000002,19.0891
35.0,35.0,0.0,0.0,9.0,3.3209,0.02,67.326,0.5,1.8539619999999999,27.3256
35.0,35.0,0.0,0.0,9.0,4.0709,0.02,67.47600000000001,0.5,1.8933350000000002,47.9651
