Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N loss (%)
37.0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,2.09,24.9
21.0,21.0,0.0,0.0,0.0,0.0,0.49080000000000007,71.66,16.47,1.762549,5.37
21.0,21.0,0.0,0.0,0.0,0.0,0.49080000000000007,69.89,16.47,1.762549,2.589
31.0,30.0,0.0,0.0,1.0,2.9894175695,0.95,69.47,0.312,2.57,23.81
35.0,35.0,0.0,0.0,9.0,0.0,0.1559,66.03,0.6571987049,1.817,12.59
35.0,35.0,0.0,0.0,9.0,0.0,0.2984,65.69,0.7258317014999999,1.8129999999999997,16.16
35.0,35.0,0.0,0.0,9.0,0.0,0.5697,66.14,0.6571987049,1.7959999999999998,17.44
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,29.5
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,26.6
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,27.9
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,23.7
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,12.8
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,10.3
55.0,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,1.998,4.51
55.0,0.0,0.0,0.0,15.000000000000002,0.0,11.25,60.04,0.0,1.998,2.502
30.0,0.0,0.0,0.0,12.0,0.0,140.0,64.83,0.0,2.664,4.44
16.0,16.0,1200.0,240.00000000000003,6.0,0.0,202.5,57.48,0.456,2.313,2.18
35.0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.20000000000000004,2.68,21.16
55.99999999999999,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,2.039744803,35.7
55.99999999999999,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,2.039744803,27.4
55.99999999999999,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,2.039744803,20.7
55.99999999999999,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,2.039744803,15.7
55.99999999999999,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,2.039744803,12.9
28.0,0.0,0.0,0.0,9.0,0.0,0.13,61.4561,0.0,1.667,36.3
28.0,0.0,0.0,0.0,9.0,2.0,0.13,60.661,0.0,1.6679999999999997,33.2
28.0,0.0,0.0,0.0,9.0,4.0,0.13,59.7109,0.0,1.613,26.6
28.0,0.0,0.0,0.0,9.0,6.0,0.13,60.4548,0.0,1.562,20.4
28.0,0.0,0.0,0.0,9.0,8.0,0.13,60.06839999999999,0.0,1.563,14.9
28.0,0.0,0.0,0.0,9.0,10.0,0.13,59.4546,0.0,1.555,10.7
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23336,8.12
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.28344,7.47
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23179,16.56
64.0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.157,2.11755,22.51
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.08241758199999999,2.230494505,0.043108757
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.826446281,2.231404959,10.75925926
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,1.643835616,2.230684932,19.90911324
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,77.53,0.0,3.2533060000000003,2.6
77.39999999999999,0.0,0.0,0.0,20.599999999999998,0.0,0.39999999999999997,66.71,0.0,2.1712804803000005,1.2
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,66.36,0.0,2.287306,0.55
74.3,0.0,0.0,0.0,11.3,0.0,4.7194,67.68,0.0,2.0982349606,0.15
74.3,0.0,0.0,0.0,11.1,0.0,4.6137999999999995,66.26,0.0,2.287306,0.25
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,19.05907681
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,13.69849181
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,11.6819935
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.858895706,2.6237,18.35
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9256198349999999,1.99111,20.72
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9032258060000001,1.60222,25.05
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.909090909,1.32741,25.95
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,66.9,1.207272727,1.5,34.9
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,58.6,0.964341085,1.6999999999999997,18.2
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,53.1,0.855474453,1.8999999999999997,6.5
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,47.5,0.7602339179999998,2.0,1.4
287.0,0.0,0.0,0.0,0.0,0.0,0.0490625,80.89,0.0,2.516,16.06
287.0,0.0,0.0,0.0,0.0,0.0,0.098125,80.82,0.0,2.83,7.55
50.0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.20000000000000004,3.12,13.53
65.0,0.0,0.0,0.0,18.0,0.0,7.082,80.3,0.0,2.204,35.57168784
65.0,0.0,0.0,0.0,18.0,0.0,9.292,70.4,0.0,1.783,27.93045429
65.0,0.0,0.0,0.0,18.0,0.0,5.002,71.6,0.0,1.8279999999999998,25.76586433
