Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N (g)
55.99999999999999,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.111111111,2.11957,0.67
55.99999999999999,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.111111111,2.27717,0.43
55.99999999999999,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.111111111,2.42935,0.22
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.8677777777,1.80701,9.90847376
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.7866666666000001,1.7722599999999997,7.8949112
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.7866666666000001,1.78861,6.48813329
30.0,30.0,40.0,20.0,4.0,0.0,0.06,53.589999999999996,0.34439884809999993,1.1,22.37508049
30.0,30.0,40.0,20.0,4.0,0.0,0.06,58.78381000000001,1.0150362609999999,1.7644439999999997,13.52102426
30.0,30.0,40.0,20.0,4.0,0.0,0.06,58.02870149300001,0.7784154439000001,1.7644440000000001,12.66137336
50.0,50.0,0.0,0.0,5.0,0.0,0.09999999999999999,58.0,0.7464444444,1.8,9.0104
50.0,50.0,0.0,0.0,5.0,10.0,0.09999999999999999,59.36789999999999,0.5269999999999999,1.6696363639999998,5.773517647
50.0,50.0,0.0,0.0,5.0,10.0,0.09999999999999999,59.36789999999999,0.5269999999999999,1.621181818,6.209502353
50.0,50.0,0.0,0.0,5.0,20.0,0.09999999999999999,50.99999999999999,13.947743054999998,1.53825,3.316138824
28.0,28.0,0.0,0.0,5.0,2.449875,0.06,59.51982261999999,0.48,2.14833,34.74067059
21.0,21.0,10.0,360.0,0.0,0.0,0.09999999999999999,60.81480999999999,0.20000000000000004,3.07,10.28588235
21.0,21.0,10.0,360.0,0.0,0.25,0.09999999999999999,60.81480999999999,0.20000000000000004,3.15,5.369411765
21.0,21.0,10.0,360.0,0.0,5.25,0.09999999999999999,61.382709999999996,0.20000000000000004,2.99,3.771764706
21.0,21.0,10.0,360.0,0.0,5.0,0.09999999999999999,61.382709999999996,0.20000000000000004,2.92,8.037647059
41.99999999999999,42.0,0.0,0.0,2.0,10.8,0.165,49.3,0.065334059,2.65,34.0
41.99999999999999,42.0,0.0,0.0,2.0,21.6,0.165,50.2,0.07022849,2.45,28.0
29.0,28.999999999999996,720.0000000000001,720.0,0.0,0.0,0.0141,68.2,4.0,1.79,2.080416471
29.0,28.999999999999996,720.0000000000001,720.0,0.0,5.5,0.0141,76.4,4.0,1.9699999999999998,1.752882353
29.0,28.999999999999996,720.0000000000001,720.0,0.0,5.25,0.0141,70.6,4.0,2.09,1.317358824
50.0,40.6,5.0,120.00000000000001,9.0,0.0,0.09999999999999999,59.99999999999999,3.2597500000000004,2.1519154663999998,14.8405047
50.0,45.6,5.999999999999999,144.0,9.0,2.0,0.09999999999999999,59.99999999999999,3.882,2.1230154664,12.7947313
50.0,44.800000000000004,7.0,168.00000000000003,9.0,4.0,0.09999999999999999,59.99999999999999,4.506999999999999,1.9973411569,10.2219127
50.0,43.400000000000006,7.05,170.00000000000003,9.0,6.0,0.09999999999999999,59.99999999999999,5.00275,1.9150308182,9.3585359
50.0,38.400000000000006,3.0,72.0,9.0,8.0,0.09999999999999999,59.99999999999999,2.5327499999999996,1.9797091611,7.9264947
