Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TC loss (%)
37.0,37.0,25.0,5.0,4.0,0.0,0.06,75.0,0.48,2.4,34.0
37.0,37.0,25.0,5.0,4.0,0.0,0.06,75.0,0.72,2.1,49.0
37.0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,42.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,2.08,51.0
37.0,37.0,0.0,0.0,4.0,0.0,0.06,63.699999999999996,0.72,1.8999999999999997,50.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,41.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,1.8999999999999997,54.0
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,2.35,50.3
37.0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,45.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,2.37,33.8
37.0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,2.09,48.9
87.0,0.0,0.0,0.0,14.0,0.0,0.144,65.76881,0.0,2.7375733766000003,63.12
87.0,0.0,0.0,0.0,14.0,0.0,0.144,65.76881,0.0,2.7375733766000003,69.28
35.0,35.0,0.0,0.0,9.0,0.0,0.1559,66.03,0.6571987049,1.817,52.90177222
35.0,35.0,0.0,0.0,9.0,0.0,0.2984,65.69,0.7258317014999999,1.8129999999999997,55.63030675
35.0,35.0,0.0,0.0,9.0,0.0,0.5697,66.14,0.6571987049,1.7959999999999998,55.11272173
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,63.64
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,63.16
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,63.33
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,62.73
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,52.88
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,51.81
35.0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.20000000000000004,2.68,50.26
55.99999999999999,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,2.039744803,66.0
