Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),N2O-N loss (%)
50.0,43.400000000000006,7.05,170.00000000000003,9.0,6.0,0.09999999999999999,59.99999999999999,5.00275,1.9150308182,1.42
50.0,38.400000000000006,3.0,72.0,9.0,8.0,0.09999999999999999,59.99999999999999,2.5327499999999996,1.9797091611,1.24
50.0,36.3,3.0,72.0,9.0,10.0,0.09999999999999999,59.99999999999999,2.037,2.1711501611000004,0.75
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,0.78311
50.0,50.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.22936000000001,0.3,2.1185258182,0.29833
50.0,50.0,0.0,0.0,9.0,20.0,0.09999999999999999,61.48046,0.3,2.2679318182,0.197106
50.0,50.0,0.0,0.0,9.0,20.5,0.09999999999999999,60.708859999999994,0.3,2.2679318182,0.18645
50.0,50.0,0.0,0.0,9.0,21.0,0.09999999999999999,59.72446,0.3,2.2679318182,0.170472
50.0,50.0,0.0,0.0,9.0,22.0,0.09999999999999999,59.72446,0.3,2.34885,0.170472
84.0,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,3.86,0.55
84.0,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,3.18,0.57
84.0,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,2.16,0.06
84.0,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,2.25,0.03
84.0,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,1.8199999999999998,0.01
84.0,0.0,0.0,0.0,0.0,22.28321168,0.12,84.1,0.0,2.26,0.12
84.0,0.0,0.0,0.0,0.0,9.53373494,0.12,80.7,0.0,2.21,0.02
84.0,0.0,0.0,0.0,0.0,15.843828720000001,0.12,81.5,0.0,2.03,0.07
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,0.016192095
28.0,28.0,0.0,0.0,0.0,0.0,0.01,62.99999999999999,0.28,3.7,0.011813455
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,0.01812054
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,0.027629135
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,0.042231076
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,0.012789408
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,0.01040794
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,0.007072277
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,0.007794803
37.0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,1.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,1.5
37.0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,2.1
31.0,30.0,0.0,0.0,1.0,2.9894175695,0.95,69.47,0.312,2.57,0.54
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,0.81
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,0.96
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,1.05
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,1.07
39.0,39.0,20.0,20.0,7.0,0.0,0.288,68.07,0.455,2.089,1.11
39.0,39.0,20.0,20.0,7.0,0.0,0.288,68.53,0.455,2.247,1.37
55.0,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,1.998,0.0397
55.0,0.0,0.0,0.0,15.000000000000002,0.0,11.25,60.04,0.0,1.998,0.0169
30.0,0.0,0.0,0.0,12.0,0.0,140.0,64.83,0.0,2.664,0.018
16.0,16.0,1200.0,240.00000000000003,6.0,0.0,202.5,57.48,0.456,2.313,0.0066
