Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
6,1.0,0,0,0,0.0,21,2,6,2,34.0,34.0,0,0.0,6.0,10.29,65.0,0.26,11.37,0.25
6,1.0,0,0,0,0.0,21,2,6,2,34.0,34.0,0,0.0,6.0,14.57,65.0,0.26,11.37,0.13
7,1.0,0,0,0,0.0,15,2,6,7,35.0,0.0,0,0.0,6.0,0.0,69.2,0.25,18.43,1.5
7,1.0,0,0,0,0.0,10,2,6,5,35.0,0.0,0,0.0,6.0,6.3,67.79,0.25,18.43,1.4
7,1.0,0,0,0,0.0,21,2,6,7,35.0,0.0,0,0.0,6.0,4.0,68.85,0.25,18.43,1.4
7,1.0,0,0,0,0.0,10,2,6,7,35.0,0.0,0,0.0,6.0,6.3,67.79,0.25,18.43,2.0
5,1.0,0,0,0,0.0,15,2,6,7,50.0,28.4,0,0.05,9.0,0.0,60.0,0.2,31.01,2.05
5,1.0,0,0,0,0.0,6,2,6,7,50.0,26.8,0,0.03,9.0,2.0,60.0,0.27,30.06,2.01
5,1.0,0,0,0,0.0,6,2,6,7,50.0,29.8,0,0.03,9.0,4.0,60.0,0.22,30.33,1.53
5,1.0,0,0,0,0.0,6,2,6,7,50.0,31.3,0,0.03,9.0,6.0,60.0,0.21,30.55,1.42
5,1.0,0,0,0,0.0,6,2,6,7,50.0,29.2,0,0.03,9.0,8.0,60.0,0.16,31.04,1.24
5,1.0,0,0,0,0.0,6,2,6,7,50.0,29.2,0,0.03,9.0,10.0,60.0,0.37,30.79,0.75
7,1.0,0,0,0,0.0,15,2,6,7,50.0,50.0,0,0.0,9.0,0.0,55.0,0.3,25.0,0.78
7,1.0,0,0,0,0.0,2,2,6,7,50.0,50.0,0,0.0,9.0,10.0,60.66,0.3,25.94,0.3
7,1.0,0,0,0,0.0,2,2,6,9,50.0,50.0,0,0.0,9.0,20.0,61.98,0.3,19.43,0.2
7,1.0,0,0,1,0.0,2,2,6,9,50.0,50.0,0,0.0,9.0,20.5,62.48,0.3,17.95,0.19
7,1.0,0,0,1,0.0,2,2,6,9,50.0,50.0,0,0.0,9.0,21.0,61.99,0.3,17.95,0.17
7,1.0,0,0,1,0.0,2,2,6,9,50.0,50.0,0,0.0,9.0,22.0,61.99,0.3,17.95,0.17
7,0.0,0,0,0,0.0,15,2,3,7,84.0,0.0,2,0.0,0.0,0.0,81.0,0.0,12.2,0.55
7,0.0,0,0,0,0.0,15,2,6,7,84.0,0.0,2,0.0,0.0,0.0,75.8,0.0,15.3,0.57
1,0.0,0,0,0,0.0,15,2,6,7,84.0,0.0,2,0.0,0.0,0.0,77.3,0.0,22.3,0.06
1,0.0,0,0,0,0.0,15,2,6,7,84.0,0.0,2,0.0,0.0,0.0,77.0,0.0,20.1,0.03
1,0.0,0,0,0,0.0,15,2,0,7,84.0,0.0,2,0.0,0.0,0.0,80.0,0.0,29.9,0.01
1,0.0,0,0,0,0.0,2,2,3,7,84.0,0.0,2,0.0,0.0,22.28,84.1,0.0,16.9,0.12
1,0.0,0,0,0,0.0,2,2,6,7,84.0,0.0,2,0.0,0.0,9.53,80.7,0.0,20.5,0.02
1,0.0,0,0,0,0.0,2,2,6,7,84.0,0.0,2,0.0,0.0,15.84,81.5,0.0,21.3,0.07
1,1.0,0,0,0,0.0,15,2,3,7,28.0,28.0,0,0.0,0.0,0.0,69.0,0.28,11.0,0.02
1,1.0,0,0,0,0.0,15,2,4,7,28.0,28.0,0,0.0,0.0,0.0,63.0,0.28,11.0,0.01
1,1.0,0,0,0,0.0,15,2,4,7,28.0,28.0,0,0.0,0.0,0.0,66.0,0.28,11.0,0.02
1,1.0,0,0,0,0.0,15,2,5,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,14.7,0.03
1,1.0,0,0,0,0.0,15,2,5,7,28.0,28.0,0,0.0,0.0,0.0,67.0,0.28,12.9,0.04
1,1.0,0,0,0,0.0,2,2,3,7,28.0,28.0,0,0.0,0.0,25.0,65.0,0.28,16.7,0.01
1,1.0,0,0,0,0.0,2,2,3,7,28.0,28.0,0,0.0,0.0,14.29,67.0,0.28,14.0,0.01
1,1.0,0,0,0,0.0,15,2,6,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,14.0,0.01
1,1.0,0,0,0,0.0,15,2,1,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,12.1,0.01
