Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,1.0,0,0,2,690.0,43,3,6,13,40.0,30.0,1,30.0,6.0,1.46,65.17,7.79,16.35,20.2
3,0.77,0,0,2,12.28,29,3,1,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,12.86
3,0.77,0,0,2,12.28,31,3,1,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,10.23
3,0.77,0,0,2,12.28,44,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,9.65
3,0.77,0,0,2,12.28,20,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,13.45
8,1.0,0,0,2,0.0,31,3,6,13,56.0,56.0,1,0.0,11.0,0.0,55.0,1.11,25.02,1.02
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,2.0,55.0,1.11,25.09,0.2
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,4.0,55.0,1.11,25.0,0.11
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,6.0,55.0,1.11,23.99,0.11
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,8.0,55.0,1.11,22.32,0.06
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,12.0,55.0,1.11,21.14,0.04
8,1.0,0,0,2,0.0,4,3,6,13,56.0,56.0,1,0.0,11.0,18.0,55.0,1.11,20.4,0.02
3,0.77,0,0,2,12.28,31,3,3,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,21.2
