Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,74.0,0.72,18.0,48.9
5,0.0,2,0,0,0.0,9,1,4,7,87.0,0.0,2,0.0,14.0,0.0,71.31,0.0,20.0,63.12
5,0.0,2,0,0,0.0,9,1,4,7,87.0,0.0,2,0.0,14.0,0.0,69.91,0.0,25.0,69.28
0,1.0,0,0,0,0.0,9,1,4,7,35.0,35.0,0,0.0,9.0,0.0,66.03,0.81,21.96,52.9
0,1.0,0,0,0,0.0,9,1,4,7,35.0,35.0,0,0.0,9.0,0.0,65.69,0.81,21.51,55.63
0,1.0,0,0,0,0.0,9,1,4,7,35.0,35.0,0,0.0,9.0,0.0,66.14,0.81,21.64,55.11
7,0.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,63.64
7,1.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,63.16
7,0.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,63.33
7,1.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,62.73
7,0.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,0.0,0.0,64.0,0.0,17.4,52.88
7,1.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,0.0,0.0,64.0,0.0,17.4,51.81
6,1.0,0,0,0,0.0,9,1,5,7,35.0,35.0,0,0.0,5.0,0.0,72.1,0.2,11.37,50.26
7,1.0,0,0,0,0.0,9,1,5,7,56.0,0.0,2,0.0,7.0,0.0,67.6,0.0,18.98,66.0
7,1.0,0,0,0,0.0,11,1,5,7,56.0,0.0,2,0.0,7.0,3.3,67.6,0.0,18.98,59.5
7,1.0,0,0,0,0.0,11,1,5,7,56.0,0.0,2,0.0,7.0,6.6,67.6,0.0,18.98,60.5
7,1.0,0,0,0,0.0,11,1,5,7,56.0,0.0,2,0.0,7.0,9.9,67.6,0.0,18.98,55.3
7,1.0,0,0,0,0.0,11,1,5,7,56.0,0.0,2,0.0,7.0,13.2,67.6,0.0,18.98,44.3
